source,benchmark,mu_eV,exclusion_probability
M33_X-7,eddington,3.1622776601683793e-22,0.0
M33_X-7,eddington,3.3500408299131226e-22,0.0
M33_X-7,eddington,3.548952612051e-22,0.0
M33_X-7,eddington,3.7596749657854597e-22,0.0
M33_X-7,eddington,3.98290915476188e-22,0.0
M33_X-7,eddington,4.219398080805024e-22,0.0
M33_X-7,eddington,4.469928756224795e-22,0.0
M33_X-7,eddington,4.735334922917121e-22,0.0
M33_X-7,eddington,5.016499826976354e-22,0.0
M33_X-7,eddington,5.314359158053252e-22,0.0
M33_X-7,eddington,5.6299041632394675e-22,0.0
M33_X-7,eddington,5.964184945842484e-22,0.0
M33_X-7,eddington,6.31831396002767e-22,0.0
M33_X-7,eddington,6.693469712958641e-22,0.0
M33_X-7,eddington,7.090900686755171e-22,0.0
M33_X-7,eddington,7.511929493320953e-22,0.0
M33_X-7,eddington,7.957957275868697e-22,0.0
M33_X-7,eddington,8.430468371788967e-22,0.0
M33_X-7,eddington,8.93103525238212e-22,0.0
M33_X-7,eddington,9.461323755890779e-22,0.0
M33_X-7,eddington,1.0023098631248402e-21,0.0
M33_X-7,eddington,1.0618229410993868e-21,0.0
M33_X-7,eddington,1.1248696632894588e-21,0.0
M33_X-7,eddington,1.1916598430985636e-21,0.0
M33_X-7,eddington,1.2624157517956499e-21,0.0
M33_X-7,eddington,1.3373728582124922e-21,0.0
M33_X-7,eddington,1.4167806123611999e-21,0.0
M33_X-7,eddington,1.5009032755797336e-21,0.0
M33_X-7,eddington,1.5900207999682005e-21,0.0
M33_X-7,eddington,1.684429760042315e-21,0.0
M33_X-7,eddington,1.7844443397048366e-21,0.0
M33_X-7,eddington,1.8903973778192232e-21,0.0
M33_X-7,eddington,2.0026414758651832e-21,0.0
M33_X-7,eddington,2.1215501713624566e-21,0.0
M33_X-7,eddington,2.2475191809674852e-21,0.0
M33_X-7,eddington,2.380967717380368e-21,0.0
M33_X-7,eddington,2.522339884444104e-21,0.0
M33_X-7,eddington,2.672106155079427e-21,0.0
M33_X-7,eddington,2.830764936973206e-21,0.0
M33_X-7,eddington,2.998844231231025e-21,0.0
M33_X-7,eddington,3.1769033895140375e-21,0.0
M33_X-7,eddington,3.3655349755070944e-21,0.0
M33_X-7,eddington,3.565366736913637e-21,0.0
M33_X-7,eddington,3.777063694539373e-21,0.0
M33_X-7,eddington,4.001330355417197e-21,0.0
M33_X-7,eddington,4.2389130573387915e-21,0.0
M33_X-7,eddington,4.490602452594467e-21,0.0
M33_X-7,eddington,4.7572361391878696e-21,0.0
M33_X-7,eddington,5.039701448281167e-21,0.0
M33_X-7,eddington,5.338938397147339e-21,0.0
M33_X-7,eddington,5.655942817457184e-21,0.0
M33_X-7,eddington,5.991769669310613e-21,0.0
M33_X-7,eddington,6.3475365520423566e-21,0.0
M33_X-7,eddington,6.724427423484249e-21,0.0
M33_X-7,eddington,7.123696540062915e-21,0.0
M33_X-7,eddington,7.546672630843902e-21,0.0
M33_X-7,eddington,7.994763319413514e-21,0.0
M33_X-7,eddington,8.469459808314611e-21,0.0
M33_X-7,eddington,8.972341841624165e-21,0.0
M33_X-7,eddington,9.505082962189551e-21,0.0
M33_X-7,eddington,1.0069456081016958e-20,0.0
M33_X-7,eddington,1.0667339377348549e-20,0.0
M33_X-7,eddington,1.1300722549061409e-20,0.0
M33_X-7,eddington,1.1971713434189657e-20,0.0
M33_X-7,eddington,1.2682545025606525e-20,0.0
M33_X-7,eddington,1.3435582902208262e-20,0.0
M33_X-7,eddington,1.4233333101332957e-20,0.0
M33_X-7,eddington,1.5078450458610542e-20,0.0
M33_X-7,eddington,1.5973747442999017e-20,0.0
M33_X-7,eddington,1.6922203516410424e-20,0.0
M33_X-7,eddington,1.7926975049071374e-20,0.0
M33_X-7,eddington,1.8991405823619278e-20,0.0
M33_X-7,eddington,2.0119038162887735e-20,0.0
M33_X-7,eddington,2.1313624718414332e-20,0.0
M33_X-7,eddington,2.2579140958903754e-20,0.0
M33_X-7,eddington,2.3919798400202372e-20,0.0
M33_X-7,eddington,2.534005862081777e-20,0.0
M33_X-7,eddington,2.6844648109619652e-20,0.0
M33_X-7,eddington,2.843857399513978e-20,0.0
M33_X-7,eddington,3.01271407088117e-20,0.0
M33_X-7,eddington,3.1915967637605546e-20,0.0
M33_X-7,eddington,3.3811007824806954e-20,0.0
M33_X-7,eddington,3.5818567781168297e-20,0.0
M33_X-7,eddington,3.794532847236958e-20,0.0
M33_X-7,eddington,4.019836755262485e-20,0.0
M33_X-7,eddington,4.2585182918434057e-20,0.0
M33_X-7,eddington,4.5113717660857745e-20,0.0
M33_X-7,eddington,4.779238649935595e-20,0.0
M33_X-7,eddington,5.0630103785164155e-20,0.0
M33_X-7,eddington,5.3636313167392457e-20,0.0
M33_X-7,eddington,5.682101902057648e-20,0.0
M33_X-7,eddington,6.019481973827287e-20,0.0
M33_X-7,eddington,6.3768943003486e-20,0.0
M33_X-7,eddington,6.755528315331668e-20,0.0
M33_X-7,eddington,7.156644076216339e-20,0.0
M33_X-7,eddington,7.581576457522087e-20,0.0
M33_X-7,eddington,8.031739593181363e-20,0.0
M33_X-7,eddington,8.508631582640564e-20,0.0
M33_X-7,eddington,9.013839476390788e-20,0.0
M33_X-7,eddington,9.549044557518077e-20,0.0
M33_X-7,eddington,1.011602793685175e-19,0.0
M33_X-7,eddington,1.0716676480328644e-19,0.0
M33_X-7,eddington,1.1352989088301311e-19,0.0
M33_X-7,eddington,1.2027083347685144e-19,0.0
M33_X-7,eddington,1.274120257908285e-19,0.0
M33_X-7,eddington,1.3497723302339473e-19,0.0
M33_X-7,eddington,1.4299163145370142e-19,0.0
M33_X-7,eddington,1.514818922258341e-19,0.0
M33_X-7,eddington,1.6047627010780158e-19,0.0
M33_X-7,eddington,1.7000469752067146e-19,0.0
M33_X-7,eddington,1.8009888415078622e-19,0.0
M33_X-7,eddington,1.9079242247652651e-19,0.0
M33_X-7,eddington,2.021208995608453e-19,0.0
M33_X-7,eddington,2.1412201548157315e-19,0.0
M33_X-7,eddington,2.2683570879363115e-19,0.0
M33_X-7,eddington,2.4030428944069744e-19,0.0
M33_X-7,eddington,2.545725795585997e-19,0.0
M33_X-7,eddington,2.6968806263907034e-19,0.0
M33_X-7,eddington,2.857010415502057e-19,0.0
M33_X-7,eddington,3.026648059395683e-19,0.0
M33_X-7,eddington,3.2063580957698237e-19,0.0
M33_X-7,eddington,3.3967385822722028e-19,0.0
M33_X-7,eddington,3.5984230867783083e-19,0.0
M33_X-7,eddington,3.812082795843888e-19,0.0
M33_X-7,eddington,4.0384287483492237e-19,0.0
M33_X-7,eddington,4.2782142017676217e-19,0.0
M33_X-7,eddington,4.532237138933769e-19,0.0
M33_X-7,eddington,4.801342923653465e-19,0.0
M33_X-7,eddington,5.086427113992609e-19,0.0
M33_X-7,eddington,5.388438442608202e-19,0.0
M33_X-7,eddington,5.708381974038904e-19,0.0
M33_X-7,eddington,6.04732244946263e-19,0.0
M33_X-7,eddington,6.406387830052693e-19,0.0
M33_X-7,eddington,6.786773050723288e-19,0.0
M33_X-7,eddington,7.189743996757907e-19,0.0
M33_X-7,eddington,7.616641716552892e-19,0.0
M33_X-7,eddington,8.0688868844973995e-19,0.0
M33_X-7,eddington,8.547984528840423e-19,0.0
M33_X-7,eddington,9.055529040279257e-19,0.0
M33_X-7,eddington,9.59320947793827e-19,0.0
M33_X-7,eddington,1.0162815190393986e-18,0.0
M33_X-7,eddington,1.0766241770454977e-18,0.0
M33_X-7,eddington,1.1405497363511042e-18,0.0
M33_X-7,eddington,1.2082709350447735e-18,0.0
M33_X-7,eddington,1.2800131427364295e-18,0.0
M33_X-7,eddington,1.356015110565632e-18,0.0
M33_X-7,eddington,1.4365297657423857e-18,0.0
M33_X-7,eddington,1.5218250532643871e-18,0.0
M33_X-7,eddington,1.6121848276121808e-18,0.0
