mu_eV,fa95_min_GeV,lambda95_max
3.1622776601683793e-22,inf,
3.3500408299131226e-22,inf,
3.548952612051e-22,inf,
3.7596749657854597e-22,inf,
3.98290915476188e-22,inf,
4.219398080805024e-22,inf,
4.469928756224795e-22,inf,
4.735334922917121e-22,inf,
5.016499826976354e-22,inf,
5.314359158053252e-22,inf,
5.6299041632394675e-22,inf,
5.964184945842484e-22,inf,
6.31831396002767e-22,inf,
6.693469712958641e-22,inf,
7.090900686755171e-22,inf,
7.511929493320953e-22,inf,
7.957957275868697e-22,inf,
8.430468371788967e-22,inf,
8.93103525238212e-22,inf,
9.461323755890779e-22,inf,
1.0023098631248402e-21,inf,
1.0618229410993868e-21,inf,
1.1248696632894588e-21,inf,
1.1916598430985636e-21,inf,
1.2624157517956499e-21,inf,
1.3373728582124922e-21,inf,
1.4167806123611999e-21,inf,
1.5009032755797336e-21,inf,
1.5900207999682005e-21,inf,
1.684429760042315e-21,inf,
1.7844443397048366e-21,inf,
1.8903973778192232e-21,inf,
2.0026414758651832e-21,inf,
2.1215501713624566e-21,inf,
2.2475191809674852e-21,inf,
2.380967717380368e-21,inf,
2.522339884444104e-21,inf,
2.672106155079427e-21,inf,
2.830764936973206e-21,inf,
2.998844231231025e-21,inf,
3.1769033895140375e-21,inf,
3.3655349755070944e-21,inf,
3.565366736913637e-21,inf,
3.777063694539373e-21,inf,
4.001330355417197e-21,inf,
4.2389130573387915e-21,inf,
4.490602452594467e-21,inf,
4.7572361391878696e-21,inf,
5.039701448281167e-21,inf,
5.338938397147339e-21,inf,
5.655942817457184e-21,inf,
5.991769669310613e-21,inf,
6.3475365520423566e-21,inf,
6.724427423484249e-21,inf,
7.123696540062915e-21,inf,
7.546672630843902e-21,inf,
7.994763319413514e-21,inf,
8.469459808314611e-21,inf,
8.972341841624165e-21,inf,
9.505082962189551e-21,inf,
1.0069456081016958e-20,inf,
1.0667339377348549e-20,inf,
1.1300722549061409e-20,inf,
1.1971713434189657e-20,inf,
1.2682545025606525e-20,inf,
1.3435582902208262e-20,inf,
1.4233333101332957e-20,inf,
1.5078450458610542e-20,inf,
1.5973747442999017e-20,inf,
1.6922203516410424e-20,inf,
1.7926975049071374e-20,inf,
1.8991405823619278e-20,inf,
2.0119038162887735e-20,inf,
2.1313624718414332e-20,inf,
2.2579140958903754e-20,inf,
2.3919798400202372e-20,inf,
2.534005862081777e-20,inf,
2.6844648109619652e-20,inf,
