# mu_eV,exclusion_probability
9.999999999999999075e-22,0.000000000000000000e+00
1.059560179277614746e-21,0.000000000000000000e+00
1.122667773510811247e-21,0.000000000000000000e+00
1.189534067370315827e-21,0.000000000000000000e+00
1.260382929679732582e-21,0.000000000000000000e+00
1.335451562929902873e-21,0.000000000000000000e+00
1.414991297434578837e-21,0.000000000000000000e+00
1.499268432786047107e-21,0.000000000000000000e+00
1.588565129428052721e-21,0.000000000000000000e+00
1.683180353330954915e-21,0.000000000000000000e+00
1.783430876931905724e-21,0.000000000000000000e+00
1.889652339691203904e-21,0.000000000000000000e+00
2.002200371815592589e-21,0.000000000000000000e+00
2.121451784910636283e-21,0.000000000000000000e+00
2.247805833548729932e-21,0.000000000000000000e+00
2.381685551976160573e-21,0.000000000000000000e+00
2.523539170434765820e-21,0.000000000000000000e+00
2.673841615839943827e-21,0.000000000000000000e+00
2.833096101839318318e-21,0.000000000000000000e+00
3.001835813575579953e-21,0.000000000000000000e+00
3.180625692794132287e-21,0.000000000000000000e+00
3.370064329271938420e-21,0.000000000000000000e+00
3.570785964900470229e-21,0.000000000000000000e+00
3.783462617131933139e-21,0.000000000000000000e+00
4.008806328898464316e-21,0.000000000000000000e+00
4.247571552536893919e-21,0.000000000000000000e+00
4.500557675700487969e-21,0.000000000000000000e+00
4.768611697714454913e-21,0.000000000000000000e+00
5.052631065335700123e-21,0.000000000000000000e+00
5.353566677410740614e-21,0.000000000000000000e+00
5.672426068491989398e-21,0.000000000000000000e+00
6.010276782070387671e-21,0.000000000000000000e+00
6.368249944718586472e-21,0.000000000000000000e+00
6.747544053110685928e-21,0.000000000000000000e+00
7.149428986597562374e-21,0.000000000000000000e+00
7.575250258771889491e-21,0.000000000000000000e+00
8.026433522257206843e-21,0.000000000000000000e+00
8.504489341802703549e-21,0.000000000000000000e+00
9.011018251665037151e-21,5.000000000000000104e-04
9.547716114208065616e-21,5.000000000000000104e-04
1.011637979766206994e-20,1.500000000000000031e-03
1.071891319205126348e-20,1.500000000000000031e-03
1.135733358343102802e-20,4.000000000000000083e-03
1.203377840777585512e-20,5.499999999999999681e-03
1.275051240713018117e-20,7.000000000000000146e-03
1.350993521198030697e-20,8.500000000000000611e-03
1.431458937523481484e-20,1.099999999999999936e-02
1.516716888470923936e-20,1.549999999999999989e-02
1.607052818261638504e-20,2.000000000000000042e-02
1.702769172225897822e-20,2.649999999999999925e-02
1.804186409392068100e-20,3.300000000000000155e-02
1.911644075385695907e-20,4.399999999999999745e-02
2.025501939230674853e-20,6.099999999999999867e-02
2.146141197858410218e-20,7.649999999999999856e-02
2.273965752357932084e-20,9.349999999999999978e-02
2.409403560239526930e-20,1.184999999999999942e-01
2.552908068239516679e-20,1.454999999999999905e-01
2.704959730463131400e-20,1.739999999999999880e-01
2.866067616948244334e-20,2.069999999999999896e-01
3.036771118035448047e-20,2.404999999999999916e-01
3.217641750250748456e-20,2.819999999999999729e-01
3.409285069746821600e-20,3.220000000000000084e-01
3.612342699709437640e-20,3.669999999999999929e-01
3.827494478516314750e-20,4.119999999999999774e-01
4.055460735840827439e-20,4.550000000000000155e-01
4.297004704320834893e-20,4.979999999999999982e-01
4.552935074866938378e-20,5.360000000000000320e-01
4.824108704165353744e-20,5.835000000000000187e-01
5.111433483440186140e-20,6.310000000000000053e-01
5.415871378079487251e-20,6.704999999999999849e-01
5.738441648302404633e-20,7.015000000000000124e-01
6.080224261649427167e-20,7.375000000000000444e-01
6.442363508721370424e-20,7.714999999999999636e-01
6.826071834272379335e-20,7.974999999999999867e-01
7.232633896483518203e-20,8.229999999999999538e-01
7.663410868007430410e-20,8.515000000000000346e-01
8.119844993184041974e-20,8.770000000000000018e-01
8.603464416684527185e-20,8.954999999999999627e-01
9.115888299750837085e-20,9.134999999999999787e-01
9.658832241158708112e-20,9.270000000000000462e-01
1.023411402105452756e-19,9.405000000000000027e-01
1.084365968689608602e-19,9.515000000000000124e-01
1.148951000187306319e-19,9.565000000000000169e-01
1.217382727739667034e-19,9.655000000000000249e-01
1.289890261253313447e-19,9.805000000000000382e-01
1.366716356462010205e-19,9.869999999999999885e-01
1.448118227674535893e-19,9.909999999999999920e-01
1.534368408930013095e-19,9.925000000000000488e-01
1.625755666443793438e-19,9.955000000000000515e-01
1.722585965398783866e-19,9.975000000000000533e-01
1.825183494319038642e-19,9.975000000000000533e-01
1.933891750455224071e-19,9.969999999999999973e-01
2.049074689815854466e-19,9.949999999999999956e-01
2.171117945694509949e-19,9.925000000000000488e-01
2.300430119772921488e-19,9.909999999999999920e-01
2.437444150122221792e-19,9.889999999999999902e-01
2.582618760682674864e-19,9.879999999999999893e-01
2.736439997074666255e-19,9.849999999999999867e-01
2.899422853882869432e-19,9.815000000000000391e-01
3.072112998861771568e-19,9.755000000000000338e-01
3.255088599835069596e-19,9.675000000000000266e-01
3.448962260405766594e-19,9.575000000000000178e-01
3.654383070957261987e-19,9.425000000000000044e-01
3.872038781812556889e-19,9.304999999999999938e-01
4.102658105827190475e-19,9.160000000000000364e-01
4.347013158125017832e-19,8.974999999999999645e-01
4.605922041145094451e-19,8.774999999999999467e-01
4.880251583654413740e-19,8.509999999999999787e-01
5.170920242896776413e-19,8.235000000000000098e-01
5.478901179593956158e-19,7.984999999999999876e-01
5.805225516094907185e-19,7.664999999999999591e-01
6.150985788580503934e-19,7.269999999999999796e-01
6.517339604882420171e-19,6.985000000000000098e-01
6.905513520162316494e-19,6.604999999999999760e-01
7.316807143427177558e-19,6.260000000000000009e-01
7.752597488629495781e-19,5.815000000000000169e-01
8.214343584919455909e-19,5.394999999999999796e-01
8.703591361485183186e-19,5.060000000000000053e-01
9.221978823334340052e-19,4.699999999999999734e-01
9.771241535346502344e-19,4.334999999999999964e-01
1.035321843295661635e-18,3.940000000000000169e-01
1.096985797892381732e-18,3.574999999999999845e-01
1.162322468679849474e-18,3.280000000000000138e-01
1.231550603292821150e-18,2.954999999999999849e-01
1.304901978014406966e-18,2.665000000000000147e-01
1.382622173764659290e-18,2.424999999999999933e-01
1.464971398307287773e-18,2.079999999999999905e-01
1.552225357427047942e-18,1.774999999999999911e-01
1.644676177994662673e-18,1.565000000000000002e-01
1.742633386009647047e-18,1.360000000000000098e-01
1.846424942895538683e-18,1.160000000000000059e-01
1.956398343517072866e-18,1.000000000000000056e-01
2.072921779595378474e-18,8.599999999999999312e-02
2.196385372416551538e-18,7.149999999999999412e-02
2.327202478960411900e-18,6.149999999999999911e-02
2.465811075822603922e-18,5.199999999999999761e-02
2.612675225563326430e-18,4.250000000000000305e-02
2.768286630392061036e-18,3.799999999999999906e-02
2.933166278390036465e-18,2.599999999999999881e-02
3.107866187782001292e-18,2.000000000000000042e-02
3.292971255097161471e-18,1.299999999999999940e-02
3.489101213406780963e-18,8.999999999999999320e-03
3.696912707195032442e-18,7.499999999999999722e-03
3.917101490809260255e-18,4.499999999999999660e-03
4.150404757850472822e-18,1.500000000000000031e-03
4.397603609302712193e-18,1.500000000000000031e-03
4.659525668664668043e-18,0.000000000000000000e+00
4.937047852839023944e-18,0.000000000000000000e+00
5.231099308056279775e-18,0.000000000000000000e+00
5.542664520663118426e-18,0.000000000000000000e+00
5.872786613189488686e-18,0.000000000000000000e+00
6.222570836730230958e-18,0.000000000000000000e+00
6.593188271333541837e-18,0.000000000000000000e+00
6.985879746785234078e-18,0.000000000000000000e+00
7.401959996915622286e-18,0.000000000000000000e+00
7.842822061337649750e-18,0.000000000000000000e+00
8.309941949353421475e-18,0.000000000000000000e+00
8.804883581643482564e-18,0.000000000000000000e+00
9.329304026284695614e-18,0.000000000000000000e+00
9.884959046625586213e-18,0.000000000000000000e+00
1.047370897959448586e-17,0.000000000000000000e+00
1.109752496412069840e-17,0.000000000000000000e+00
1.175849554052153305e-17,0.000000000000000000e+00
1.245883364295013187e-17,0.000000000000000000e+00
1.320088400831422157e-17,0.000000000000000000e+00
