source,mu_ev,log10_mu_ev,p_exclusion_growth_window,p_exclusion_kinematic,posterior_fraction_in_alpha_window,median_alpha_in_window,median_chi_sat_in_window,growth_time_proxy_s_median,fa_crit_GeV_median,fa_crit_GeV_q16,fa_crit_GeV_q84,quartic_lambda_crit_median
M33_X-7,1.57525365623146e-20,-19.802649503695502,0.0,1.0,0.0,,,,,,,
M33_X-7,1.5888031629404278e-20,-19.798929904267748,0.0,1.0,0.0,,,,,,,
M33_X-7,1.6024692154078074e-20,-19.795210304839994,0.0,1.0,0.0,,,,,,,
M33_X-7,1.6162528160991565e-20,-19.79149070541224,0.0,1.0,0.0,,,,,,,
M33_X-7,1.630154976102717e-20,-19.787771105984486,0.0,1.0,0.0,,,,,,,
M33_X-7,1.6441767152035822e-20,-19.784051506556732,0.0,1.0,0.0,,,,,,,
M33_X-7,1.6583190619585013e-20,-19.78033190712898,0.0,1.0,0.0,,,,,,,
M33_X-7,1.6725830537713312e-20,-19.776612307701225,0.0,1.0,0.0,,,,,,,
M33_X-7,1.6869697369691326e-20,-19.77289270827347,0.0,1.0,0.0,,,,,,,
M33_X-7,1.7014801668789237e-20,-19.769173108845717,0.0,1.0,0.0,,,,,,,
M33_X-7,1.716115407905093e-20,-19.765453509417963,0.0,1.0,0.0,,,,,,,
M33_X-7,1.7308765336074773e-20,-19.76173390999021,0.0,1.0,0.0,,,,,,,
M33_X-7,1.7457646267801132e-20,-19.758014310562455,0.0,1.0,0.0,,,,,,,
M33_X-7,1.7607807795306644e-20,-19.7542947111347,0.0,1.0,0.0,,,,,,,
M33_X-7,1.7759260933605325e-20,-19.750575111706947,0.0,1.0,0.0,,,,,,,
M33_X-7,1.7912016792456564e-20,-19.746855512279193,0.0,1.0,0.0,,,,,,,
M33_X-7,1.8066086577180095e-20,-19.74313591285144,0.0,1.0,0.0,,,,,,,
M33_X-7,1.8221481589477927e-20,-19.739416313423686,0.0,1.0,0.0,,,,,,,
M33_X-7,1.83782132282634e-20,-19.73569671399593,0.0,1.0,0.0,,,,,,,
M33_X-7,1.853629299049733e-20,-19.731977114568178,0.0,1.0,0.0,,,,,,,
M33_X-7,1.8695732472031363e-20,-19.728257515140424,0.0,1.0,0.0,,,,,,,
M33_X-7,1.8856543368458598e-20,-19.72453791571267,0.0,1.0,0.0,,,,,,,
M33_X-7,1.9018737475971483e-20,-19.720818316284916,0.0,1.0,0.0,,,,,,,
M33_X-7,1.9182326692227146e-20,-19.717098716857162,0.0,1.0,0.0,,,,,,,
M33_X-7,1.9347323017220126e-20,-19.713379117429408,0.0,1.0,0.0,,,,,,,
M33_X-7,1.9513738554162622e-20,-19.709659518001654,0.0,1.0,0.0,,,,,,,
M33_X-7,1.9681585510372335e-20,-19.7059399185739,0.0,1.0,0.0,,,,,,,
M33_X-7,1.9850876198167906e-20,-19.702220319146146,0.0,1.0,0.0,,,,,,,
M33_X-7,2.00216230357721e-20,-19.698500719718393,0.0,1.0,0.0,,,,,,,
M33_X-7,2.0193838548222722e-20,-19.69478112029064,0.0,1.0,0.0,,,,,,,
M33_X-7,2.0367535368291395e-20,-19.691061520862885,0.0,1.0,0.0,,,,,,,
M33_X-7,2.0542726237410226e-20,-19.68734192143513,0.0,1.0,0.0,,,,,,,
M33_X-7,2.071942400660644e-20,-19.683622322007377,0.0,1.0,0.0,,,,,,,
M33_X-7,2.0897641637445072e-20,-19.679902722579623,0.0,1.0,0.0,,,,,,,
M33_X-7,2.1077392202979746e-20,-19.67618312315187,0.0,1.0,0.0,,,,,,,
M33_X-7,2.1258688888711645e-20,-19.672463523724115,0.0,1.0,0.0,,,,,,,
M33_X-7,2.1441544993556726e-20,-19.66874392429636,0.0,1.0,0.0,,,,,,,
M33_X-7,2.1625973930821255e-20,-19.665024324868607,0.0,1.0,0.0,,,,,,,
M33_X-7,2.181198922918573e-20,-19.661304725440854,0.0,1.0,0.0,,,,,,,
M33_X-7,2.199960453369727e-20,-19.6575851260131,0.0,1.0,0.0,,,,,,,
M33_X-7,2.218883360677055e-20,-19.653865526585346,0.0,1.0,0.0,,,,,,,
M33_X-7,2.237969032919731e-20,-19.650145927157592,0.0,1.0,0.0,,,,,,,
M33_X-7,2.2572188701164603e-20,-19.646426327729838,0.0,1.0,0.0,,,,,,,
M33_X-7,2.2766342843281747e-20,-19.642706728302084,0.0,1.0,0.0,,,,,,,
M33_X-7,2.2962166997616154e-20,-19.63898712887433,0.0,1.0,0.0,,,,,,,
M33_X-7,2.315967552873803e-20,-19.635267529446576,0.0,1.0,0.0,,,,,,,
M33_X-7,2.3358882924774092e-20,-19.631547930018822,0.0,1.0,0.0,,,,,,,
M33_X-7,2.355980379847033e-20,-19.62782833059107,0.0,1.0,0.0,,,,,,,
M33_X-7,2.3762452888263926e-20,-19.624108731163314,0.0,1.0,0.0,,,,,,,
M33_X-7,2.396684505936437e-20,-19.62038913173556,0.0,1.0,0.0,,,,,,,
M33_X-7,2.4172995304843904e-20,-19.616669532307807,0.0,1.0,0.0,,,,,,,
M33_X-7,2.4380918746737318e-20,-19.612949932880053,0.0,1.0,0.0,,,,,,,
M33_X-7,2.4590630637151225e-20,-19.6092303334523,0.0,1.0,0.0,,,,,,,
M33_X-7,2.4802146359382867e-20,-19.605510734024545,0.0,1.0,0.0,,,,,,,
M33_X-7,2.5015481429048548e-20,-19.60179113459679,0.0,1.0,0.0,,,,,,,
M33_X-7,2.5230651495221782e-20,-19.598071535169037,0.0,1.0,0.0,,,,,,,
M33_X-7,2.5447672341581212e-20,-19.594351935741283,0.0,1.0,0.0,,,,,,,
M33_X-7,2.5666559887568412e-20,-19.59063233631353,0.0,1.0,0.0,,,,,,,
M33_X-7,2.5887330189555657e-20,-19.586912736885775,0.0,1.0,0.0,,,,,,,
M33_X-7,2.610999944202394e-20,-19.583193137458018,0.0,1.0,0.0,,,,,,,
M33_X-7,2.6334583978750044e-20,-19.579473538030264,0.0,1.0,0.0,,,,,,,
M33_X-7,2.6561100274006e-20,-19.57575393860251,0.0,1.0,0.0,,,,,,,
M33_X-7,2.6789564943766672e-20,-19.572034339174756,0.0,1.0,0.0,,,,,,,
M33_X-7,2.7019994746928836e-20,-19.568314739747002,0.0,1.0,0.0,,,,,,,
M33_X-7,2.725240658654052e-20,-19.56459514031925,0.0,1.0,0.0,,,,,,,
M33_X-7,2.7486817511040923e-20,-19.560875540891494,0.0,1.0,0.0,,,,,,,
M33_X-7,2.7723244715510965e-20,-19.55715594146374,0.0,1.0,0.0,,,,,,,
M33_X-7,2.796170554293467e-20,-19.553436342035987,0.0,1.0,0.0,,,,,,,
M33_X-7,2.8202217485471314e-20,-19.549716742608233,0.0,1.0,0.0,,,,,,,
M33_X-7,2.8444798185738556e-20,-19.54599714318048,0.0,1.0,0.0,,,,,,,
M33_X-7,2.8689465438106623e-20,-19.542277543752725,0.0,1.0,0.0,,,,,,,
M33_X-7,2.893623719000358e-20,-19.53855794432497,0.0,1.0,0.0,,,,,,,
M33_X-7,2.9185131543231873e-20,-19.534838344897217,0.0,1.0,0.0,,,,,,,
M33_X-7,2.9436166755296174e-20,-19.531118745469463,0.0,1.0,0.0,,,,,,,
M33_X-7,2.9689361240742635e-20,-19.52739914604171,0.0,1.0,0.0,,,,,,,
M33_X-7,2.9944733572509694e-20,-19.523679546613955,0.0,1.0,0.0,,,,,,,
M33_X-7,3.0202302483290474e-20,-19.5199599471862,0.0,1.0,0.0,,,,,,,
M33_X-7,3.0462086866906904e-20,-19.516240347758448,0.0,1.0,0.0,,,,,,,
M33_X-7,3.072410577969568e-20,-19.512520748330694,0.0,1.0,0.0,,,,,,,
M33_X-7,3.098837844190612e-20,-19.50880114890294,0.0,1.0,0.0,,,,,,,
M33_X-7,3.125492423911007e-20,-19.505081549475186,0.0,1.0,0.0,,,,,,,
M33_X-7,3.152376272362388e-20,-19.501361950047432,0.0,1.0,0.0,,,,,,,
M33_X-7,3.17949136159427e-20,-19.497642350619678,0.0,1.0,0.0,,,,,,,
M33_X-7,3.2068396806187055e-20,-19.493922751191924,0.0,1.0,0.0,,,,,,,
M33_X-7,3.234423235556186e-20,-19.49020315176417,0.0,1.0,0.0,,,,,,,
M33_X-7,3.2622440497828e-20,-19.486483552336416,0.0,1.0,0.0,,,,,,,
M33_X-7,3.2903041640786574e-20,-19.482763952908662,0.0,1.0,0.0,,,,,,,
M33_X-7,3.31860563677759e-20,-19.47904435348091,0.0,1.0,0.0,,,,,,,
M33_X-7,3.3471505439181386e-20,-19.475324754053155,0.0,1.0,0.0,,,,,,,
M33_X-7,3.3759409793958394e-20,-19.4716051546254,0.0,1.0,0.0,,,,,,,
M33_X-7,3.404979055116822e-20,-19.467885555197647,0.0,1.0,0.0,,,,,,,
M33_X-7,3.434266901152725e-20,-19.464165955769893,0.0,1.0,0.0,,,,,,,
M33_X-7,3.463806665896948e-20,-19.46044635634214,0.0,1.0,0.0,,,,,,,
M33_X-7,3.493600516222246e-20,-19.456726756914385,0.0,1.0,0.0,,,,,,,
M33_X-7,3.523650637639676e-20,-19.45300715748663,0.0,1.0,0.0,,,,,,,
M33_X-7,3.553959234458919e-20,-19.449287558058877,0.0,1.0,0.0,,,,,,,
M33_X-7,3.584528529949971e-20,-19.445567958631123,0.0,1.0,0.0,,,,,,,
M33_X-7,3.615360766506232e-20,-19.44184835920337,0.0,1.0,0.0,,,,,,,
M33_X-7,3.646458205808996e-20,-19.438128759775616,0.0,1.0,0.0,,,,,,,
M33_X-7,3.6778231289933546e-20,-19.43440916034786,0.0,1.0,0.0,,,,,,,
M33_X-7,3.709457836815528e-20,-19.430689560920108,0.0,1.0,0.0,,,,,,,
M33_X-7,3.7413646498216357e-20,-19.426969961492354,0.0,1.0,0.0,,,,,,,
M33_X-7,3.773545908517921e-20,-19.4232503620646,0.0,1.0,0.0,,,,,,,
M33_X-7,3.806003973542433e-20,-19.419530762636846,0.0,1.0,0.0,,,,,,,
M33_X-7,3.838741225838196e-20,-19.415811163209092,0.0,1.0,0.0,,,,,,,
M33_X-7,3.871760066827855e-20,-19.41209156378134,0.0,1.0,0.0,,,,,,,
M33_X-7,3.9050629185898377e-20,-19.408371964353584,0.0,1.0,0.0,,,,,,,
M33_X-7,3.9386522240360204e-20,-19.40465236492583,0.0,1.0,0.0,,,,,,,
M33_X-7,3.972530447090927e-20,-19.400932765498077,0.0,1.0,0.0,,,,,,,
M33_X-7,4.0067000728724705e-20,-19.397213166070323,0.0,1.0,0.0,,,,,,,
M33_X-7,4.0411636078742456e-20,-19.39349356664257,0.0,1.0,0.0,,,,,,,
M33_X-7,4.0759235801493926e-20,-19.389773967214815,0.0,1.0,0.0,,,,,,,
