model,parameter,mean,sigma
LambdaCDM,omega_m,0.3037,0.0037
LambdaCDM,H0,68.12,0.28
LambdaCDM,sigma8,0.8101,0.0055
LambdaCDM,ns,0.9672,0.0034
LambdaCDM,ombh2,0.02229,0.00012
LambdaCDM,ln10As,3.056,0.014
LambdaCDM,tau,0.0621,0.0075
EDE,omega_m,0.2999,0.0038
EDE,H0,70.9,1.0
EDE,sigma8,0.8283,0.0093
EDE,ns,0.9817,0.0063
EDE,ombh2,0.02241,0.00018
EDE,ln10As,3.067,0.017
EDE,tau,0.0582,0.0074
w0wa,omega_m,0.353,0.021
w0wa,H0,63.5,1.9
w0wa,sigma8,0.78,0.016
w0wa,ns,0.9632,0.0037
w0wa,ombh2,0.02218,0.00013
w0wa,ln10As,3.037,0.013
w0wa,tau,0.052,0.0071
