z,value,error,dataset
0.295,-0.02,0.01,DESI_DV_over_rd
0.51,-0.015,0.008,DESI_DV_over_rd
0.7,-0.012,0.007,DESI_DV_over_rd
0.934,-0.01,0.006,DESI_DV_over_rd
1.1,-0.005,0.007,DESI_DV_over_rd
1.32,0.0,0.008,DESI_DV_over_rd
2.33,0.01,0.012,DESI_DV_over_rd
0.295,-0.01,0.02,DESI_F_AP
0.51,0.0,0.02,DESI_F_AP
0.7,0.01,0.02,DESI_F_AP
0.934,0.02,0.02,DESI_F_AP
1.1,0.02,0.02,DESI_F_AP
1.32,0.02,0.02,DESI_F_AP
2.33,-0.03,0.04,DESI_F_AP
0.1,-0.08,0.1,Union3_SN
0.2,-0.12,0.08,Union3_SN
0.3,-0.1,0.07,Union3_SN
0.4,-0.07,0.06,Union3_SN
0.5,-0.05,0.05,Union3_SN
0.6,-0.02,0.05,Union3_SN
0.7,0.0,0.05,Union3_SN
