comparison,parameter,delta,combined_sigma,z_shift,model_mean,lcdm_mean,model_sigma,lcdm_sigma
EDE-ΛCDM,omega_m,-0.0038000000000000256,0.005303772242470448,-0.7164711881047933,0.2999,0.3037,0.0038,0.0037
EDE-ΛCDM,H0,2.780000000000001,1.0384603988597736,2.6770399748054263,70.9,68.12,1.0,0.28
EDE-ΛCDM,sigma8,0.018199999999999994,0.010804628637764463,1.6844632620122773,0.8283,0.8101,0.0093,0.0055
EDE-ΛCDM,ns,0.014500000000000068,0.007158910531638176,2.0254478577317863,0.9817,0.9672,0.0063,0.0034
EDE-ΛCDM,ombh2,0.00011999999999999858,0.00021633307652783938,0.5547001962252225,0.02241,0.02229,0.00018,0.00012
EDE-ΛCDM,ln10As,0.01100000000000012,0.022022715545545243,0.4994842701051552,3.067,3.056,0.017,0.014
EDE-ΛCDM,tau,-0.0039000000000000007,0.01053612832116238,-0.3701549450728159,0.0582,0.0621,0.0074,0.0075
w0wa-ΛCDM,omega_m,0.049299999999999955,0.021323461257497574,2.31200738963828,0.353,0.3037,0.021,0.0037
w0wa-ΛCDM,H0,-4.6200000000000045,1.9205207627099479,-2.4055975283917057,63.5,68.12,1.9,0.28
w0wa-ΛCDM,sigma8,-0.030100000000000016,0.01691892431568863,-1.7790729149422815,0.78,0.8101,0.016,0.0055
w0wa-ΛCDM,ns,-0.0040000000000000036,0.005024937810560445,-0.796029752167992,0.9632,0.9672,0.0037,0.0034
w0wa-ΛCDM,ombh2,-0.00011000000000000246,0.00017691806012954132,-0.6217567608386575,0.02218,0.02229,0.00013,0.00012
w0wa-ΛCDM,ln10As,-0.019000000000000128,0.0191049731745428,-0.9945054529214127,3.037,3.056,0.013,0.014
w0wa-ΛCDM,tau,-0.010100000000000005,0.010327632836231157,-0.9779588566091761,0.052,0.0621,0.0071,0.0075
