host,method,anchor,mu,err
NGC1309,Cepheid,N4258,32.5,0.11235657524150514
NGC1365,Cepheid,N4258,31.33,0.09499473669630334
NGC1448,Cepheid,N4258,31.31,0.10355674772799695
NGC1559,Cepheid,N4258,31.42,0.08674099376880576
M101,Cepheid,N4258,29.12,0.07889233169326408
NGC1316,TRGB,N4258,31.39,0.11629273408085306
NGC1365,TRGB,N4258,31.32,0.1338805437694365
NGC5643,TRGB,N4258,30.53,0.10781465577554844
M101,TRGB,N4258,29.13,0.09961927524329818
NGC1309,Cepheid,LMC,32.51,0.11651609330903606
NGC1365,Cepheid,LMC,31.34,0.09785703858180055
