host,method,anchor,mu,err_stat,err_sys,anchor_err,err_total
NGC1309,Cepheid,N4258,32.5,0.1,0.04,0.032,0.11235657524150514
NGC1365,Cepheid,N4258,31.33,0.08,0.04,0.032,0.09499473669630334
NGC1448,Cepheid,N4258,31.31,0.09,0.04,0.032,0.10355674772799695
NGC1559,Cepheid,N4258,31.42,0.07,0.04,0.032,0.08674099376880576
M101,Cepheid,N4258,29.12,0.06,0.04,0.032,0.07889233169326408
NGC1316,TRGB,N4258,31.39,0.1,0.05,0.032,0.11629273408085306
NGC1365,TRGB,N4258,31.32,0.12,0.05,0.032,0.13388054376943648
NGC5643,TRGB,N4258,30.53,0.09,0.05,0.032,0.10781465577554844
M101,TRGB,N4258,29.13,0.08,0.05,0.032,0.09961927524329818
NGC1309,Cepheid,LMC,32.51,0.11,0.03,0.024,0.11651609330903606
NGC1365,Cepheid,LMC,31.34,0.09,0.03,0.024,0.09785703858180055
