parameter,value,sigma
mu_M101,29.28253688244403,0.05239077097108104
mu_NGC1309,31.880399389924545,0.058047003522893464
mu_NGC1316,31.41661544389717,0.07244419660640139
mu_NGC1365,31.386214585393596,0.05383538686863084
mu_NGC1448,31.38556869218741,0.06280051583317002
mu_NGC1559,31.63055275527996,0.05979747944464617
mu_NGC5643,30.927781800565846,0.06683929702694474
mu_grp_Fornax,31.95565751832617,0.1493310119844989
mu_grp_Virgo,32.175657518326155,0.1915717910870871
M_B,-19.494980546285923,0.049027449596741234
M_SBF,-3.6156575183261768,0.11090424311231085
a_H,10.16027601347334,0.05677438130016563
