Source,Median,Mean,Std,P10,P90,N_Samples
Fig6 (Resolution),0.0004249407871194731,0.0008733345414674213,0.001649237809328409,9.125879723291425e-05,0.0020565016876326328,1500
Fig7 (ℓ=2),0.00029969399389983696,0.0003413676622254743,0.00018307269406228564,0.00016364844646522006,0.0005626152228132173,1500
Fig7 (ℓ=3),0.0005442096794771895,0.0006443820007054019,0.0004168551657797334,0.00024263944454427125,0.0011601764578219184,1500
Fig7 (ℓ=4),0.0008338878376441905,0.00106306981568747,0.0008674497942261535,0.0003370029510331756,0.002004724027438824,1500
Fig7 (ℓ=5),0.0011487391999432986,0.001652750396613164,0.0016360838123886964,0.00040827083703078075,0.003413830686360864,1500
Fig7 (ℓ=6),0.0015760452725361936,0.0024218062526743774,0.0027335009023659023,0.0004867247534157782,0.005230001616930416,1500
Fig7 (ℓ=7),0.0019739359360900297,0.003044520974261209,0.003383620221194882,0.0005630097371764583,0.006672480480309193,1500
Fig7 (ℓ=8),0.0022674572547313277,0.004238792812745954,0.006339012284091653,0.0005697749953150097,0.009888290828232728,1500
Fig8 (N2-N3),2.0311833782851758e-05,3.3523158783457876e-05,4.313407297623442e-05,5.6088893747466295e-06,7.230728652897097e-05,1200
Fig8 (N2-N4),5.34385905352434e-05,0.00011242067511917866,0.00020471659555336465,1.1505287518108567e-05,0.00026439720171843144,1200
