metric,n_simulations,median,mean,std,q25,q75
Resolution Error,1500,0.0004249407871194731,0.0008733345414674213,0.001649787830290615,0.0001891664013006976,0.0009046546054452167
Mode ℓ=2 Error,1500,0.00029969399389983696,0.0003413676622254743,0.00018313374882271646,0.00021834510238468815,0.00041952798455533174
Mode ℓ=3 Error,1500,0.0005442096794771895,0.0006443820007054019,0.000416994187016141,0.0003544538420492018,0.000795851727939984
Mode ℓ=4 Error,1500,0.0008338878376441905,0.00106306981568747,0.0008677390888128943,0.0005272452570300879,0.001332608718233947
Mode ℓ=5 Error,1500,0.0011487391999432986,0.001652750396613164,0.0016366294464917066,0.0006575058391546823,0.0020829698573754576
Mode ℓ=6 Error,1500,0.0015760452725361936,0.0024218062526743774,0.002734412525170091,0.0008626992605842476,0.0029170397056015626
Mode ℓ=7 Error,1500,0.0019739359360900297,0.003044520974261209,0.0033847486588521303,0.0010155136842601004,0.0037128660648312346
Mode ℓ=8 Error,1500,0.0022674572547313277,0.004238792812745954,0.006341126345275686,0.0011355644032502274,0.004789193276960034
Extrapolation N2vsN3,1200,2.0311833782851758e-05,3.3523158783457876e-05,4.315205674727895e-05,1.0585860909234146e-05,3.9303323956561656e-05
Extrapolation N2vsN4,1200,5.34385905352434e-05,0.00011242067511917866,0.00020480194748350754,2.3053531036744737e-05,0.00012098649084987422
