Dataset,Model,ROC-AUC,PR-AUC,Accuracy,F1,Balanced Acc
BACE,GCN,0.782,0.7395,0.6654,0.6015,0.6994
BACE,GAT,0.795,0.7563,0.7222,0.6585,0.7577
BACE,KA-GNN,0.813,0.7906,0.7216,0.661,0.7323
BBBP,GCN,0.691,0.6199,0.6188,0.5886,0.6511
BBBP,GAT,0.705,0.6337,0.6057,0.5573,0.6197
BBBP,KA-GNN,0.728,0.6605,0.6227,0.5973,0.6525
CLINTOX,GCN,0.845,0.7839,0.7836,0.709,0.8265
CLINTOX,GAT,0.852,0.8243,0.7914,0.763,0.827
CLINTOX,KA-GNN,0.871,0.8462,0.7843,0.7397,0.8336
HIV,GCN,0.756,0.6988,0.6687,0.595,0.7102
HIV,GAT,0.768,0.7472,0.6716,0.6409,0.72
HIV,KA-GNN,0.789,0.7435,0.7374,0.7013,0.7691
MUV,GCN,0.612,0.577,0.5277,0.4945,0.5772
MUV,GAT,0.625,0.5685,0.5391,0.5053,0.5562
MUV,KA-GNN,0.651,0.5842,0.5935,0.5278,0.6252
