dataset,bin,pred,obs,n
BACE,"(-0.001, 0.1]",0.08423933280365807,0.14285714285714285,7
BACE,"(0.1, 0.2]",0.1516656646361718,0.07692307692307693,26
BACE,"(0.2, 0.3]",0.24832269453233288,0.25806451612903225,31
BACE,"(0.3, 0.4]",0.34973601347360855,0.3333333333333333,39
BACE,"(0.4, 0.5]",0.454044049656069,0.4594594594594595,37
BACE,"(0.5, 0.6]",0.5525774856408437,0.5833333333333334,36
BACE,"(0.6, 0.7]",0.6416421123913356,0.7714285714285715,35
BACE,"(0.7, 0.8]",0.7561303973197937,0.9230769230769231,13
BACE,"(0.8, 0.9]",0.8332604169845581,0.6666666666666666,3
BBBP,"(-0.001, 0.1]",0.08902934938669205,0.0,1
BBBP,"(0.1, 0.2]",0.1412063812216123,0.037037037037037035,27
BBBP,"(0.2, 0.3]",0.24402249604463577,0.0,4
BBBP,"(0.3, 0.4]",0.34745799618608814,0.35294117647058826,17
BBBP,"(0.4, 0.5]",0.45040163584053516,0.625,16
BBBP,"(0.5, 0.6]",0.5567736983299255,0.6,15
BBBP,"(0.6, 0.7]",0.657855212688446,0.85,20
BBBP,"(0.7, 0.8]",0.7566931903362274,0.8666666666666667,30
BBBP,"(0.8, 0.9]",0.8590395928815354,0.9534883720930233,86
BBBP,"(0.9, 1.0]",0.9461078385512034,0.9222222222222223,90
CLINTOX,"(-0.001, 0.1]",0.04014477874988165,0.08205128205128205,195
CLINTOX,"(0.1, 0.2]",0.1350275802736481,0.125,24
CLINTOX,"(0.2, 0.3]",0.22260368367036185,0.0,3
CLINTOX,"(0.7, 0.8]",0.756438136100769,1.0,1
CLINTOX,"(0.8, 0.9]",0.8624238967895508,0.9615384615384616,26
CLINTOX,"(0.9, 1.0]",0.9659738831031017,0.9333333333333333,195
HIV,"(0.1, 0.2]",0.16868247611471165,0.12345679012345678,162
HIV,"(0.2, 0.3]",0.24495694275847676,0.22740524781341107,343
HIV,"(0.3, 0.4]",0.3391468464431906,0.39097744360902253,133
HIV,"(0.4, 0.5]",0.43357314575802197,0.36363636363636365,33
HIV,"(0.5, 0.6]",0.5378051930003696,0.5555555555555556,27
HIV,"(0.6, 0.7]",0.6510250568389893,0.6,15
HIV,"(0.7, 0.8]",0.7475524619221687,0.625,16
HIV,"(0.8, 0.9]",0.8253672690618605,0.9523809523809523,21
MUV,"(-0.001, 0.1]",0.02483050928314295,0.027597402597402596,2464
MUV,"(0.1, 0.2]",0.10760325491428376,0.1,10
