sample,rmsd
0,0.23899745169310457
1,0.35597098481842215
2,0.44926243271318905
3,0.5080051366849401
4,0.5686834452369236
5,0.7167450007784542
6,0.7822816183792913
7,0.8534641542219703
8,0.9686199647343797
9,1.0235181505955655
10,1.0841875393887828
11,1.1485895774244672
12,1.3335441190986226
13,1.3384883416396818
14,1.502339876579547
15,1.593361429440751
16,1.6140012136674584
17,1.7211367579438466
18,1.7897334295393157
19,1.8353494518500117
20,1.9482210340604167
21,1.9914045565032863
22,2.2044405292536724
23,2.2162091991622983
24,2.4094888572674398
25,2.3779711289801013
26,2.500051204144267
27,2.44575856009646
28,2.638488697813459
29,2.7732407773739136
30,2.8302589320840954
31,2.78893020434586
