sigma_A,step,rmsd_A
0.25,0,0.4243532497354823
0.25,1,0.3713090321740997
0.25,2,0.2784816935945275
0.25,3,0.17405100184915506
0.25,4,0.08702547731313506
0.25,5,0.032634548457040245
0.25,6,0.00815863649143778
0.25,7,0.0010198295387212146
0.25,8,3.9482676418914165e-15
0.5,0,0.8088126688427373
0.5,1,0.7077114829096434
0.5,2,0.5307841357498714
0.5,3,0.3317404545161122
0.5,4,0.1658703819087443
0.5,5,0.06220142956917465
0.5,6,0.015550361488760751
0.5,7,0.00194379533554327
0.5,8,3.9482676418914165e-15
1.0,0,1.739531975621109
1.0,1,1.5220874559302162
1.0,2,1.141561610341164
1.0,3,0.7134731932518438
1.0,4,0.3567354188982133
1.0,5,0.13377550508923783
1.0,6,0.033443845049124454
1.0,7,0.004180479491902684
1.0,8,3.9482676418914165e-15
2.0,0,3.454069446638565
2.0,1,3.022336735038713
2.0,2,2.266786651527938
2.0,3,1.4167656461052667
2.0,4,0.7083928221211594
2.0,5,0.26564965228551357
2.0,6,0.06641267679144311
2.0,7,0.00830159421397739
2.0,8,3.9482676418914165e-15
3.0,0,5.230346859918258
3.0,1,4.576556013957513
3.0,2,3.432420319740707
3.0,3,2.145265038859867
3.0,4,1.0726334989210804
3.0,5,0.4022377925070335
3.0,6,0.10055947410078327
3.0,7,0.012569935210336537
3.0,8,3.9482676418914165e-15
