step,noise_sigma_A,protein_CA_RMSD_after_alignment_A
0,5.0,8.523566341436771
1,4.683333333333334,8.04051948030272
2,4.366666666666667,8.020431266228522
3,4.05,7.20763470417564
4,3.7333333333333334,6.377572270947825
5,3.416666666666667,5.750910343263681
6,3.1,5.429706218122284
7,2.783333333333333,4.665284561232702
8,2.466666666666667,4.318179940402343
9,2.1500000000000004,3.7383951078672277
10,1.8333333333333335,3.212056823487586
11,1.5166666666666666,2.5719274945775585
12,1.2000000000000002,2.037575409021298
13,0.8833333333333337,1.6177365653207783
14,0.5666666666666664,0.9720014555515819
15,0.25,0.41594314285184475
