Region,Total mass change (Gt),Uncertainty (Gt),Mean specific mass change (m w.e./yr),Glacier area 2000 (km2),Glacier area 2023 (km2),Fraction of global loss (%)
Alaska,-1473.9,172.8,-0.732,89847.0,80273.0,22.5
Greenland Periphery,-850.5,174.4,-0.447,89349.0,72429.0,13.0
Arctic Canada North,-730.2,63.2,-0.293,105001.0,103308.0,11.2
Southern Andes,-630.8,162.6,-0.919,29403.0,28184.0,9.6
Arctic Canada South,-552.2,51.6,-0.57,40872.0,40119.0,8.4
Antarctic & Subantarctic,-427.7,208.8,-0.145,127665.0,119414.0,6.5
Russian Arctic,-384.4,53.8,-0.315,51613.0,50663.0,5.9
Svalbard,-331.1,35.9,-0.418,34445.0,32414.0,5.1
Central Asia,-251.6,66.9,-0.218,49702.0,47661.0,3.8
Western Canada & US,-221.8,25.7,-0.695,14563.0,12759.0,3.4
Iceland,-199.1,30.9,-0.784,11000.0,10085.0,3.0
South Asia East,-176.5,28.8,-0.527,14907.0,13314.0,2.7
South Asia West,-134.7,41.2,-0.176,33508.0,30728.0,2.1
Central Europe,-47.3,2.4,-1.062,2141.0,1693.0,0.7
Scandinavia,-40.0,3.2,-0.583,2961.0,2778.0,0.6
North Asia,-32.5,3.2,-0.576,2488.0,2249.0,0.5
Low Latitudes,-20.4,3.7,-0.421,2355.0,1714.0,0.3
New Zealand,-20.0,3.4,-0.961,982.0,797.0,0.3
Caucasus & Middle East,-17.7,1.6,-0.622,1283.0,1123.0,0.3
