file,region,method,dataset_name,author,n_obs,start_min,end_max,unit,mean_period_years,region_label,method_label
data/glambie/input/10_north_asia/north_asia_combined_DUS-combined_Dussaillant_et_al.csv,north_asia,combined,DUS-combined_Dussaillant_et_al,Dussaillant et al.,25,1999.75,2024.75,mwe,1.0,North Asia,Hybrid / combined
data/glambie/input/10_north_asia/north_asia_combined_Huss_Huss_et_al.csv,north_asia,combined,Huss_Huss_et_al,Huss et al.,31,1990.75,2021.75,mwe,1.0,North Asia,Hybrid / combined
data/glambie/input/10_north_asia/north_asia_demdiff_ETH_Hugonnet_et_al.csv,north_asia,demdiff,ETH_Hugonnet_et_al,Hugonnet et al.,4,2000.0,2020.0,m,5.0,North Asia,DEM differencing
data/glambie/input/10_north_asia/north_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,north_asia,glaciological,UZH_GlaciolSineWave_Zemp_et_al,Zemp et al.,301,1999.6666666666667,2024.75,mwe,0.08333333333333308,North Asia,Glaciological
data/glambie/input/10_north_asia/north_asia_glaciological_WGMS-beta_WGMS.csv,north_asia,glaciological,WGMS-beta_WGMS,WGMS,25,1999.75,2024.75,mwe,1.0,North Asia,Glaciological
data/glambie/input/10_north_asia/north_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,north_asia,gravimetry,Jacob_2012_dmdt_Jacob_et_al,Jacob et al.,1,2003.0,2010.9166666666667,Gt,7.9166666666667425,North Asia,Gravimetry
data/glambie/input/10_north_asia/north_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,north_asia,gravimetry,Sasgen_AWIarc_RL01_2_Sasgen_et_al,Sasgen et al.,248,2002.25,2022.9166666666667,Gt,0.08333333333333363,North Asia,Gravimetry
data/glambie/input/10_north_asia/north_asia_gravimetry_Wouters_Wouters_et_al.csv,north_asia,gravimetry,Wouters_Wouters_et_al,Wouters et al.,236,2002.1666666666667,2021.8333333333333,Gt,0.08333333333333269,North Asia,Gravimetry
data/glambie/input/11_central_europe/central_europe_combined_DUS-combined_Dussaillant_et_al.csv,central_europe,combined,DUS-combined_Dussaillant_et_al,Dussaillant et al.,25,1999.75,2024.75,mwe,1.0,Central Europe,Hybrid / combined
data/glambie/input/11_central_europe/central_europe_combined_Huss_Huss_et_al.csv,central_europe,combined,Huss_Huss_et_al,Huss et al.,31,1990.75,2021.75,mwe,1.0,Central Europe,Hybrid / combined
