region,region_label,mean_gt,mean_mwe,total_gt,total_gt_unc_ss,total_mwe,years,mean_abs_gt,area_2000,area_2023,share_of_global_loss_pct
alaska,Alaska,-61.41082902382488,-0.7320277166261931,-1473.8598965717972,172.79174535916678,-17.568665199028636,24,72.9301030857939,89847.1,80272.66,22.527573761780378
greenland_periphery,Greenland Periphery,-35.436586854737946,-0.4466051923613572,-850.4780845137108,174.3679950202001,-10.718524616672573,24,39.06053675399301,89349.1603,72428.5341,12.999341271327543
arctic_canada_north,Arctic Canada North,-30.42657164569776,-0.2930927604783487,-730.2377194967462,63.218697165219226,-7.034226251480368,24,33.86844219965344,105000.63345,103308.34635,11.161497865476303
southern_andes,Southern Andes,-26.282882167382045,-0.9192548379252351,-630.7891720171691,162.56972885017439,-22.062116110205643,24,28.24813729566988,29402.5139,28184.1533,9.641452103963207
arctic_canada_south,Arctic Canada South,-23.010101306000866,-0.5700617959389733,-552.2424313440208,51.57451162307018,-13.68148310253536,24,23.14017369224359,40871.6448,40119.3056,8.440885144798655
antarctic_and_subantarctic,Antarctic & Subantarctic,-17.819153654022866,-0.14547475060075707,-427.6596876965488,208.75251450069092,-3.4913940144181694,24,31.70215459795274,127665.25695,119414.21625,6.536669585713671
russian_arctic,Russian Arctic,-16.017819773703753,-0.3151662062045248,-384.42767456889004,53.817808817193644,-7.5639889489085945,24,17.518439111449954,51612.6368,50663.344,5.875879257630986
svalbard,Svalbard,-13.795151516440136,-0.4181794988022909,-331.08363639456326,35.92697228020421,-10.036307971254981,24,15.025038294006201,34444.6137,32413.8655,5.060529197887479
central_asia,Central Asia,-10.484469748042555,-0.2178055248383941,-251.6272739530213,66.88222882528537,-5.2273325961214585,24,15.393957176161031,49702.3543,47661.2101,3.846058901281917
western_canada_us,Western Canada & US,-9.243631301302939,-0.6947335348602119,-221.84715123127052,25.650595430466684,-16.673604836645087,24,12.053793890511699,14563.2148,12759.334,3.39087729765082
iceland,Iceland,-8.294894553976642,-0.7840805613867668,-199.07746929543939,30.887229156172985,-18.817933473282405,24,9.040313410864254,11000.276,10084.508,3.0428484988926563
south_asia_east,South Asia East,-7.355021193995356,-0.5269353933080533,-176.52050865588853,28.84253974376613,-12.646449439393278,24,7.423878203718342,14907.1245,13314.3791,2.6980710910596426
south_asia_west,South Asia West,-5.610944972121096,-0.17631171148007532,-134.66267933090631,41.219342686412496,-4.231481075521808,24,9.565970242294528,33507.5776,30728.1472,2.058284812988119
central_europe,Central Europe,-1.97207942247639,-1.061529869356995,-47.32990613943336,2.3646319480425304,-25.47671686456788,24,2.005576636892072,2140.639,1693.1602,0.7234255807992853
scandinavia,Scandinavia,-1.6680211091491615,-0.5826021493223924,-40.03250661957988,3.1888611982191666,-13.982451583737417,24,2.0991880476142453,2960.94345,2777.81055,0.6118866846429695
north_asia,North Asia,-1.355185314557352,-0.5764891663859191,-32.52444754937645,3.2488565977466988,-13.835739993262058,24,1.3945352492923657,2487.7225,2249.3735,0.49712791082381047
low_latitudes,Low Latitudes,-0.85004179012117,-0.4207200030056206,-20.40100296290808,3.716408579683126,-10.097280072134895,24,1.0033526011747522,2354.92895,1714.1972500000002,0.31182414293937183
new_zealand,New Zealand,-0.8329537025264065,-0.960771550950061,-19.990888860633756,3.3551779978143963,-23.058517222801463,24,0.9299669626317272,981.5995,797.1901,0.3055556531655332
caucasus_middle_east,Caucasus & Middle East,-0.7366037844157988,-0.6219138378128549,-17.67849082597917,1.6433824925738956,-14.925932107508517,24,0.8714102768945846,1282.75515,1123.43185,0.27021123717766016
