year,cumulative_gt,cumulative_gt_error_rss,cumulative_mwe,cumulative_mwe_error_rss
2000,-78.04414729402814,111.56095088251794,-0.1111786793375206,0.1583621138501352
2001,-293.2134582640466,146.7240779233849,-0.4186951659398275,0.20812739096317667
2002,-421.6798256507958,172.72987917065538,-0.6028948985660492,0.24482635801948197
2003,-614.3522954224259,187.44409202226115,-0.8800579250267117,0.2655698817809943
2004,-843.589206410282,201.16541259597992,-1.2109001169388964,0.2847879536017608
2005,-1158.6263820736006,214.41030049327676,-1.6670667566388255,0.30334077055874337
2006,-1438.5162560528984,226.42374273579188,-2.073677613365298,0.3201947939651353
2007,-1761.681964882573,237.53065375213575,-2.5447111699811904,0.3357573348458906
2008,-1940.3144466149095,248.16312484427283,-2.805943278693621,0.35065429193281655
2009,-2171.5525709873964,258.20090245390384,-3.145232371084931,0.36466265308462387
2010,-2402.749243692203,268.12115525136784,-3.4855944712008085,0.37848550490368976
2011,-2768.6964905761656,276.63747117213825,-4.0261397844716855,0.3902484884343941
2012,-2956.717341800565,284.7180609077128,-4.304802283666017,0.401439265588486
2013,-3261.4553231658156,292.37425230006784,-4.757974116436424,0.41197765852025975
2014,-3411.3447394451305,299.7179430874905,-4.981627796764336,0.4221375254777493
2015,-3696.3189745332893,307.0658306589839,-5.408290244491929,0.4323093527141902
2016,-4036.926669207555,314.58299097022905,-5.9199862656668385,0.44268710772667114
2017,-4254.613428927978,321.5123382052879,-6.24813702504032,0.45222899935554994
2018,-4498.426255056209,328.3258410511699,-6.616933573443889,0.46158513264025797
2019,-4911.390833205218,335.7032332019428,-7.2437453156487495,0.4716615947274844
2020,-5316.430248842054,344.2442990474115,-7.860653865810921,0.483545026936772
2021,-5534.146603396796,353.8029337644707,-8.193404528080496,0.49705513515045313
2022,-5994.445517779757,367.88980152434266,-8.899360192775408,0.516044334708155
