region,method,n_series,total_rows,first_start,last_end
alaska,altimetry,1,120,2010.6666666666667,2020.6666666666667
alaska,combined,4,121,1970.75,2024.75
alaska,demdiff,1,4,2000.0,2020.0
alaska,glaciological,2,326,1999.6666666666667,2024.75
alaska,gravimetry,5,987,2002.1666666666667,2023.1666666666667
antarctic_and_subantarctic,altimetry,3,124,2003.0833333333333,2023.3333333333333
antarctic_and_subantarctic,combined,2,56,1990.25,2024.25
antarctic_and_subantarctic,demdiff,1,4,2000.0,2020.0
antarctic_and_subantarctic,glaciological,2,326,1999.1666666666667,2024.25
arctic_canada_north,altimetry,4,125,2003.0833333333333,2023.3333333333333
arctic_canada_north,combined,5,122,1970.75,2024.75
arctic_canada_north,demdiff,2,5,2000.0,2021.5
arctic_canada_north,glaciological,2,326,1999.6666666666667,2024.75
arctic_canada_north,gravimetry,7,1477,2002.1666666666667,2023.1666666666667
arctic_canada_south,altimetry,4,125,2003.0833333333333,2023.3333333333333
arctic_canada_south,combined,5,122,1970.75,2024.75
arctic_canada_south,demdiff,2,5,2000.0,2021.5
arctic_canada_south,glaciological,2,326,1999.6666666666667,2024.75
arctic_canada_south,gravimetry,7,1477,2002.1666666666667,2023.1666666666667
caucasus_middle_east,combined,2,56,1990.75,2024.75
caucasus_middle_east,demdiff,1,4,2000.0,2020.0
caucasus_middle_east,glaciological,2,326,1999.6666666666667,2024.75
caucasus_middle_east,gravimetry,2,237,2002.1666666666667,2021.8333333333333
central_asia,altimetry,4,103,2000.0833333333333,2021.1666666666667
central_asia,combined,3,57,1990.75,2024.75
central_asia,demdiff,2,5,2000.0,2020.0
central_asia,glaciological,2,326,1999.6666666666667,2024.75
central_asia,gravimetry,4,736,2002.1666666666667,2023.1666666666667
central_europe,combined,2,56,1990.75,2024.75
central_europe,demdiff,2,5,2000.0,2020.0
central_europe,glaciological,2,326,1999.6666666666667,2024.75
central_europe,gravimetry,3,485,2002.1666666666667,2022.9166666666667
greenland_periphery,altimetry,5,484,1992.0,2021.9166666666667
greenland_periphery,combined,3,57,1990.75,2024.75
greenland_periphery,demdiff,3,6,2000.0,2021.5833333333333
greenland_periphery,glaciological,2,326,1999.6666666666667,2024.75
iceland,altimetry,3,122,2010.6666666666667,2020.6666666666667
iceland,combined,6,155,1988.75,2024.75
iceland,demdiff,4,9,2000.0,2021.75
iceland,glaciological,2,326,1999.6666666666667,2024.75
iceland,gravimetry,7,1477,2002.1666666666667,2023.1666666666667
low_latitudes,combined,2,55,1990.25,2024.0
low_latitudes,demdiff,4,7,2000.0,2020.0
low_latitudes,glaciological,1,25,2000.0,2025.0
low_latitudes,gravimetry,3,485,2002.1666666666667,2022.9166666666667
new_zealand,combined,2,56,1990.25,2024.25
new_zealand,demdiff,1,4,2000.0,2020.0
new_zealand,glaciological,2,325,1999.1666666666667,2024.25
new_zealand,gravimetry,4,736,2002.1666666666667,2023.1666666666667
north_asia,combined,2,56,1990.75,2024.75
north_asia,demdiff,1,4,2000.0,2020.0
north_asia,glaciological,2,326,1999.6666666666667,2024.75
north_asia,gravimetry,3,485,2002.1666666666667,2022.9166666666667
russian_arctic,altimetry,3,123,2003.75,2020.6666666666663
russian_arctic,combined,4,121,1970.75,2024.75
russian_arctic,demdiff,3,6,2000.0,2021.5833333333333
russian_arctic,glaciological,2,326,1999.6666666666667,2024.75
russian_arctic,gravimetry,7,1477,2002.1666666666667,2023.1666666666667
scandinavia,combined,2,56,1990.75,2024.75
scandinavia,demdiff,3,6,2000.0,2020.6666666666667
scandinavia,glaciological,2,326,1999.6666666666667,2024.75
scandinavia,gravimetry,3,485,2002.1666666666667,2022.9166666666667
south_asia_east,altimetry,4,103,2000.0833333333333,2021.1666666666667
south_asia_east,combined,3,57,1990.75,2024.75
south_asia_east,demdiff,3,6,2000.0,2020.0
south_asia_east,glaciological,2,326,1999.6666666666667,2024.75
south_asia_east,gravimetry,3,485,2002.1666666666667,2022.9166666666667
south_asia_west,altimetry,4,103,2000.0833333333333,2021.1666666666667
south_asia_west,combined,3,57,1990.75,2024.75
south_asia_west,demdiff,2,5,2000.0,2020.0
south_asia_west,glaciological,2,326,1999.6666666666667,2024.75
south_asia_west,gravimetry,3,485,2002.1666666666667,2022.9166666666667
southern_andes,altimetry,1,120,2010.6666666666667,2020.6666666666667
southern_andes,combined,2,56,1990.25,2024.25
southern_andes,demdiff,4,8,2000.0,2020.0
southern_andes,glaciological,2,326,1999.1666666666667,2024.25
southern_andes,gravimetry,6,1171,2002.1666666666667,2023.1666666666667
svalbard,altimetry,3,122,2003.75,2020.6666666666667
svalbard,combined,4,121,1970.75,2024.75
svalbard,demdiff,2,5,2000.0,2021.5
svalbard,glaciological,2,326,1999.6666666666667,2024.75
svalbard,gravimetry,7,1477,2002.1666666666667,2023.1666666666667
western_canada_us,altimetry,2,2,2013.0,2023.0
western_canada_us,combined,2,56,1990.75,2024.75
western_canada_us,demdiff,1,4,2000.0,2020.0
western_canada_us,glaciological,3,327,1999.6666666666667,2024.75
western_canada_us,gravimetry,4,736,2002.1666666666667,2023.1666666666667
