region_id,region_name,year,n_methods,methods,gt_spread,gt_mean,relative_spread,altimetry_gt,demdiff_and_glaciological_gt,altimetry_gt_err,demdiff_and_glaciological_gt_err,gravimetry_gt,gravimetry_gt_err
13,Central Asia,1999.75,2,"['altimetry', 'demdiff_and_glaciological']",1.0756205426219685,7.0976758106728575,0.151545459572068,7.635486081983842,6.559865539361874,9.154465188294076,10.133050065302584,,
13,Central Asia,2000.75,2,"['altimetry', 'demdiff_and_glaciological']",0.3014250136398111,-15.691210389951763,0.019209800018540044,-15.540497883131858,-15.841922896771669,9.179447093946166,4.803517759251417,,
13,Central Asia,2001.75,2,"['altimetry', 'demdiff_and_glaciological']",0.301425013639804,-8.66102997649071,0.03480244433490991,-8.510317469670808,-8.811742483310612,9.156393669071036,4.855941360564168,,
13,Central Asia,2002.75,2,"['altimetry', 'demdiff_and_glaciological']",0.30142501363980756,11.012732331062185,0.027370592926300143,11.16344483788209,10.862019824242282,9.163516656613812,5.560597091644733,,
13,Central Asia,2003.75,2,"['altimetry', 'demdiff_and_glaciological']",5.869078613916163,0.06222318936486104,94.3230116267646,2.9967624963229427,-2.8723161175932206,5.931970509339313,5.166138489611065,,
13,Central Asia,2004.75,2,"['altimetry', 'demdiff_and_glaciological']",4.364249268587393,3.1316974140778555,1.3935730983998877,5.313822048371552,0.9495727797841584,5.936026821193389,5.965219960224801,,
13,Central Asia,2005.75,2,"['altimetry', 'demdiff_and_glaciological']",4.3642492685874,-24.36493769534802,0.17912006684181522,-22.18281306105432,-26.54706232964172,6.03291104262918,5.13543885879394,,
13,Central Asia,2006.75,2,"['altimetry', 'demdiff_and_glaciological']",4.364249268587395,-16.203624610085118,0.26933784098349767,-14.02149997579142,-18.385749244378815,5.971375789041474,5.010748232100546,,
13,Central Asia,2007.75,2,"['altimetry', 'demdiff_and_glaciological']",4.364249268587404,-31.205562767120995,0.13985484899460593,-29.02343813282729,-33.387687401414695,6.105057130170694,5.391675813380125,,
13,Central Asia,2008.75,2,"['altimetry', 'demdiff_and_glaciological']",1.203404331688958,19.303277744785852,0.0623419684262699,18.701575578941373,19.90497991063033,9.194174981326752,4.951606516550275,,
13,Central Asia,2009.75,2,"['altimetry', 'demdiff_and_glaciological']",1.0202946690140546,-7.017514093311563,0.14539260704677515,-6.507366758804536,-7.5276614278185905,9.15228637116167,4.899405036240098,,
13,Central Asia,2010.75,2,"['altimetry', 'demdiff_and_glaciological']",1.0202946690140526,1.8917926084842596,0.5393269137633074,2.401939942991286,1.3816452739772334,9.147289464816447,4.06680636952288,,
13,Central Asia,2011.75,2,"['altimetry', 'demdiff_and_glaciological']",19.35493470619953,-8.752039933171002,2.211476964683699,0.9254274199287628,-18.429507286270766,6.044077194304209,4.177651258394978,,
13,Central Asia,2012.75,2,"['altimetry', 'demdiff_and_glaciological']",13.609006869250205,-13.02513108453111,1.0448268643846907,-19.829634519156212,-6.220627649906008,7.754086610620789,4.128763366565935,,
13,Central Asia,2013.75,2,"['altimetry', 'demdiff_and_glaciological']",28.59770677173337,-2.902760298590663,9.85190089089272,11.396093087276023,-17.20161368445735,6.220158499461792,4.19849091485259,,
13,Central Asia,2014.75,2,"['altimetry', 'demdiff_and_glaciological']",8.058351837294143,-19.15413089238197,0.4207109099635072,-23.18330681102904,-15.124954973734898,8.204281561317647,4.0579008683204885,,
13,Central Asia,2015.75,2,"['altimetry', 'demdiff_and_glaciological']",28.199022727089012,-10.189511409801133,2.76745582717193,-24.28902277334564,3.909999953743372,8.360000757633594,4.056774568889774,,
13,Central Asia,2016.75,2,"['altimetry', 'demdiff_and_glaciological']",44.04558042535671,1.2737759260486463,34.578750881239834,23.296566138727,-20.74901428662971,7.243439267555282,4.721250817618466,,
13,Central Asia,2017.75,2,"['altimetry', 'demdiff_and_glaciological']",36.65070340604658,-30.00765753272444,1.2213783553773785,-48.33300923574773,-11.682305829701148,12.389103131732035,4.545751587959722,,
13,Central Asia,2018.75,2,"['altimetry', 'demdiff_and_glaciological']",2.6152798834726134,-18.33952279157638,0.14260348609909584,-17.031882849840073,-19.647162733312687,9.18605975638872,4.582413818448499,,
13,Central Asia,2019.75,2,"['altimetry', 'demdiff_and_glaciological']",0.8103124877920909,7.092775040314354,0.11424477488520171,7.4979312842104,6.687618796418309,9.154180940874747,5.51469903583158,,
14,South Asia West,1999.75,2,"['altimetry', 'demdiff_and_glaciological']",3.542067401963779,10.385741340517857,0.3410509934562999,8.614707639535968,12.156775041499747,7.601945102322318,11.064071206429729,,
14,South Asia West,2000.75,2,"['altimetry', 'demdiff_and_glaciological']",2.342789154605849,-5.5584697332309805,0.42148095915673034,-6.729864310533904,-4.387075155928056,7.59718790431901,6.512621132333815,,
14,South Asia West,2001.75,2,"['altimetry', 'demdiff_and_glaciological']",2.342789154605847,0.6401783530036576,3.6595882125874724,-0.5312162242992658,1.811572930306581,7.589778774518264,5.803931509992472,,
14,South Asia West,2002.75,2,"['altimetry', 'demdiff_and_glaciological']",2.3427891546058532,-15.292332087685658,0.1532002536416544,-16.463726664988585,-14.120937510382731,7.634243388095786,6.939177854186702,,
14,South Asia West,2003.75,2,"['altimetry', 'demdiff_and_glaciological']",2.3951194087757344,-13.61161659053939,0.17596142183731775,-12.414056886151522,-14.809176294927257,5.393740250149926,7.174023254401291,,
14,South Asia West,2004.75,2,"['altimetry', 'demdiff_and_glaciological']",1.4539598723553322,10.72725689595719,0.1355388321970074,11.454236832134857,10.000276959779525,5.388428408977192,4.949085270507535,,
14,South Asia West,2005.75,2,"['altimetry', 'demdiff_and_glaciological']",1.4539598723553375,-26.948012803072636,0.053954251950984515,-26.22103286689497,-27.674992739250307,5.515978451432968,5.834256421571999,,
14,South Asia West,2006.75,2,"['altimetry', 'demdiff_and_glaciological']",1.4539598723553304,-17.594002959723177,0.08263951504860989,-16.86702302354551,-18.32098289590084,5.42387343411956,4.904175920191069,,
14,South Asia West,2007.75,2,"['altimetry', 'demdiff_and_glaciological']",1.4539598723553375,-22.11236480863932,0.06575325094977061,-21.38538487246165,-22.839344744816987,5.463560979847681,5.280452819911691,,
14,South Asia West,2008.75,2,"['altimetry', 'demdiff_and_glaciological']",3.2839486910262536,15.822348791579795,0.2075512766330798,14.180374446066669,17.464323137092922,7.622777965939467,4.937305795791409,,
14,South Asia West,2009.75,2,"['altimetry', 'demdiff_and_glaciological']",0.8841632686350351,10.325027926555453,0.08563301474091045,9.882946292237936,10.76710956087297,7.605801597331719,5.109043341528756,,
14,South Asia West,2010.75,2,"['altimetry', 'demdiff_and_glaciological']",0.8841632686350369,3.724989809360901,0.237359916103162,3.2829081750433824,4.167071443678419,7.59150710232494,4.586697228274555,,
14,South Asia West,2011.75,2,"['altimetry', 'demdiff_and_glaciological']",11.459980622090944,-4.565542527576649,2.5101026992675513,1.1644477834688232,-10.29553283862212,5.346072375551899,4.653855865806237,,
14,South Asia West,2012.75,2,"['altimetry', 'demdiff_and_glaciological']",10.25641436268636,-13.38580202512181,0.7662159012540025,-18.51400920646499,-8.25759484377863,6.6769062010626055,4.764585748908844,,
14,South Asia West,2013.75,2,"['altimetry', 'demdiff_and_glaciological']",8.053757740691555,-1.8653693990322708,4.3175135953606505,2.1615094713135066,-5.892248269378048,5.315370818613218,4.648911248843885,,
14,South Asia West,2014.75,2,"['altimetry', 'demdiff_and_glaciological']",5.400603693132894,-1.0298054748840422,5.244294990508776,1.6704963716824048,-3.730107321450489,5.30342741367022,4.747940863261957,,
14,South Asia West,2015.75,2,"['altimetry', 'demdiff_and_glaciological']",20.851539807379325,-11.507189048588518,1.8120446026683634,-21.93295895227818,-1.081419144898856,7.131910789828296,5.044204930522065,,
14,South Asia West,2016.75,2,"['altimetry', 'demdiff_and_glaciological']",13.686377049695247,-2.514247176757796,5.443528852777426,4.328941348089828,-9.35743570160542,5.410612655590237,5.58898528500062,,
14,South Asia West,2017.75,2,"['altimetry', 'demdiff_and_glaciological']",3.855822182119624,-4.839684495367928,0.7967094106671704,-6.76759558642774,-2.911773404308116,5.69570083293346,5.437002506705856,,
14,South Asia West,2018.75,2,"['altimetry', 'demdiff_and_glaciological']",0.43673189105579135,3.423873011989204,0.12755493253590577,3.6422389575170993,3.205507066461308,7.591916828508775,5.958036155483743,,
14,South Asia West,2019.75,2,"['altimetry', 'demdiff_and_glaciological']",1.1915491144314174,9.057624071758841,0.13155206100312775,8.461849514543132,9.65339862897455,7.601515875958723,6.798306755852923,,
15,South Asia East,1999.75,2,"['altimetry', 'demdiff_and_glaciological']",1.131221369808836,-1.1380540539239092,0.9939961690822025,-1.7036647388283273,-0.5724433690194911,1.9188066000991089,3.5811590629041685,,
15,South Asia East,2000.75,2,"['altimetry', 'demdiff_and_glaciological']",0.17460685816572052,-8.597968183300948,0.02030792094635144,-8.685271612383808,-8.510664754218087,1.9654891101657836,2.266955045432646,,
15,South Asia East,2001.75,2,"['altimetry', 'demdiff_and_glaciological']",0.17460685816571875,-6.760956935297009,0.025825761033049423,-6.848260364379868,-6.6736535062141495,1.9472568551102665,2.2783505334165586,,
15,South Asia East,2002.75,2,"['altimetry', 'demdiff_and_glaciological']",0.17460685816571964,-7.708697183142654,0.02265063136058181,-7.796000612225513,-7.621393754059794,1.9561458658782669,2.576359419405591,,
15,South Asia East,2003.75,2,"['altimetry', 'demdiff_and_glaciological']",0.9346185110454002,-10.3122353167156,0.09063199998262567,-10.7795445722383,-9.8449260611929,2.410035203169777,2.668234577763977,,
15,South Asia East,2004.75,2,"['altimetry', 'demdiff_and_glaciological']",0.581877143045352,-3.953390961701789,0.1471843156121537,-4.244329533224465,-3.662452390179113,2.3585608028036744,2.2285973499604714,,
15,South Asia East,2005.75,2,"['altimetry', 'demdiff_and_glaciological']",0.5818771430453538,-11.756028485679991,0.04949606440254358,-12.046967057202668,-11.465089914157314,2.424994178497904,2.174264248926517,,
15,South Asia East,2006.75,2,"['altimetry', 'demdiff_and_glaciological']",0.5818771430453538,-5.237842230677625,0.11109100225229115,-5.528780802200302,-4.946903659154948,2.36520438238482,2.2638348195786104,,
15,South Asia East,2007.75,2,"['altimetry', 'demdiff_and_glaciological']",0.5818771430453547,-6.2437584983165255,0.09319340957890081,-6.534697069839202,-5.952819926793848,2.371608924768547,2.0612926762168824,,
15,South Asia East,2008.75,2,"['altimetry', 'demdiff_and_glaciological']",0.17813450983432322,-5.454519951144276,0.03265814616682322,-5.3654526962271145,-5.543587206061438,1.9355962366456256,2.0615485096514488,,
15,South Asia East,2009.75,2,"['altimetry', 'demdiff_and_glaciological']",0.6621304736963207,-6.180381708765953,0.10713423618434231,-5.849316471917793,-6.5114469456141135,1.9390974299141608,2.015896500109973,,
15,South Asia East,2010.75,2,"['altimetry', 'demdiff_and_glaciological']",0.6621304736963205,2.222709728590877,0.2978933619533347,2.5537749654390374,1.8916444917427169,1.921162929364228,1.9784354376954167,,
15,South Asia East,2011.75,2,"['altimetry', 'demdiff_and_glaciological']",9.757062637597011,-6.881244800625747,1.4179211640181368,-2.0027134818272407,-11.759776119424252,1.9889505392855256,2.0478637003716087,,
15,South Asia East,2012.75,2,"['altimetry', 'demdiff_and_glaciological']",11.070586792949475,-6.839669506438299,1.6185850474980612,-12.374962902913037,-1.304376109963562,3.4297945820747446,1.9889211147623929,,
15,South Asia East,2013.75,2,"['altimetry', 'demdiff_and_glaciological']",1.3623645195451362,-7.15772787607496,0.1903347742652949,-6.476545616302391,-7.838910135847527,2.4316176549075768,2.028018660890743,,
15,South Asia East,2014.75,2,"['altimetry', 'demdiff_and_glaciological']",2.92314381566157,-6.894544938358632,0.42397922441527747,-8.356116846189417,-5.432973030527847,2.7560266862852014,2.008567010584895,,
15,South Asia East,2015.75,2,"['altimetry', 'demdiff_and_glaciological']",2.128212649718505,-2.8419411895159983,0.7488587932676236,-1.7778348646567457,-3.906047514375251,2.0614385182049872,2.253956303896452,,
