year,annual_mwe,annual_mwe_error,cumulative_mwe,cumulative_mwe_error,annual_gt,annual_gt_error,cumulative_gt,cumulative_gt_error
2000,-0.3708087865014635,0.4267978293382843,-0.3708087865014635,0.4267978293382843,-0.9197019532932548,1.0265275291265996,-0.9197019532932548,1.0265275291265996
2001,-0.6239681453842844,0.2374580820623789,-0.9947769318857478,0.48840836178818103,-1.5411560324271425,0.5757372429047373,-2.460857985720397,1.176958852688704
2002,-0.8166054524398674,0.2449868095663878,-1.8113823843256152,0.5464075994403192,-2.008519104670919,0.5971520843045376,-4.469377090391316,1.3197813276113448
2003,-0.5457573636092294,0.2316484965833838,-2.357139747934845,0.5934831848464405,-1.3367036448471714,0.5605964144603081,-5.8060807352384876,1.4339076304341634
2004,-0.2490033135176266,0.2410596415169421,-2.6061430614524714,0.6405716520919037,-0.6073020718796399,0.5800062732919948,-6.413382807118127,1.5467703028166095
2005,-0.1820678539590347,0.2262170617791567,-2.788210915411506,0.6793424765931729,-0.4421699496148141,0.543997009186656,-6.8555527567329415,1.639643594101905
2006,-0.5941895884796716,0.2289152797255827,-3.3824005038911777,0.7168740515568879,-1.4369095884292484,0.5547031793605927,-8.292462345162189,1.7309323305294642
2007,-0.6468615442700755,0.2287454249490515,-4.029262048161253,0.7524844684315481,-1.5576011706781698,0.555112921025605,-9.85006351584036,1.8177670609739143
2008,-0.7210725895012671,0.2258850833242974,-4.75033463766252,0.7856570155603108,-1.7288465569663265,0.5495905128318924,-11.578910072806686,1.8990331276090378
2009,0.1977986548721905,0.2311109134930584,-4.552535982790329,0.8189439543917095,0.4721992168201645,0.5558080553432801,-11.10671085598652,1.9786989195279414
2010,-0.5377916984722222,0.2270930475136839,-5.090327681262551,0.8498473113823345,-1.278298719425217,0.549382943810827,-12.385009575411738,2.053550835282948
2011,-0.8986117746265077,0.2247891996692553,-5.988939455889058,0.8790737380628129,-2.1266620946428576,0.5504841757070587,-14.511671670054596,2.1260535884109726
2012,-0.8836982900957205,0.2249054279600158,-6.872637745984779,0.9073880583728248,-2.082237426114749,0.5503336578162555,-16.593909096169345,2.196126361510328
2013,-0.3863861215956616,0.2336466676687554,-7.25902386758044,0.9369865814355713,-0.9064403927766193,0.5632256664521381,-17.500349488945965,2.267199626647607
2014,-0.3286653160182816,0.2352461601417673,-7.587689183598722,0.9660665658492507,-0.7676348462089759,0.5665440381989155,-18.267984335154942,2.3369138397231897
2015,-0.8210853690566785,0.2375356175403869,-8.4087745526554,0.9948405798177201,-1.9092539350345967,0.578671943989981,-20.177238270189537,2.4074940317788798
2016,-0.4738056959762406,0.2360857122049479,-8.88258024863164,1.0224696781613503,-1.0968359067228153,0.5699045112972384,-21.274074176912354,2.4740288327034246
2017,-0.9673884998110736,0.2369800852580313,-9.849968748442715,1.0495731530333077,-2.229459832807573,0.5802175682894745,-23.503534009719928,2.5411554638785128
2018,-0.6231258843095254,0.2382938770019798,-10.47309463275224,1.0762842446978929,-1.4296283286683342,0.5770101437116635,-24.93316233838826,2.605841859657983
2019,-0.356827096488514,0.2288743209514384,-10.829921729240754,1.1003505033287784,-0.8149763258916679,0.551439985831076,-25.748138664279928,2.663549859777202
2020,-0.4638125139790883,0.2687609048907057,-11.293734243219841,1.132697512213021,-1.0545339240245566,0.6479196117270417,-26.802672588304485,2.7412219316902586
2021,-0.5541267553189984,0.2689804421564722,-11.84786099853884,1.1641967756510314,-1.2541491015757211,0.6493331246844912,-28.056821689880206,2.817078484102315
2022,-0.9250926140395432,0.4739003462856356,-12.772953612578384,1.2569549198940682,-2.084194149188092,1.143432150387618,-30.1410158390683,3.040290819663844
2023,-1.0627863806836724,0.4740687462418848,-13.835739993262056,1.3433826137066298,-2.383431710308152,1.1452951255418866,-32.524447549376454,3.2488565977466988
