year,annual_mwe,annual_mwe_error,cumulative_mwe,cumulative_mwe_error,annual_gt,annual_gt_error,cumulative_gt,cumulative_gt_error
2000,-0.2780412432778796,0.2877558756683069,-0.2780412432778796,0.2877558756683069,-0.5934003711822097,0.6009122609745883,-0.5934003711822097,0.6009122609745883
2001,0.1900713070317529,0.2079672547923675,-0.0879699362461267,0.35504059352066714,0.4019665729881813,0.43422767182019,-0.1914337981940284,0.7413833127094069
2002,-0.3605156499993134,0.1972606323468862,-0.4484855862454401,0.40615955008026217,-0.7554326466468112,0.4131614181633634,-0.9468664448408396,0.8487352790020785
2003,-1.9737653955826773,0.2009964215508334,-2.4222509818281175,0.45317230894841903,-4.0975870621061805,0.4666085336252875,-5.04445350694702,0.9685427700802257
2004,-0.6996373060453491,0.1911960977374946,-3.1218882878734666,0.4918547441955673,-1.4388937785429576,0.4052201289287214,-6.483347285489978,1.04989449487255
2005,-0.8919538265265944,0.185167216048449,-4.013842114400061,0.5255549327014445,-1.8171159119364328,0.3967507632924834,-8.30046319742641,1.1223589526247184
2006,-1.1689976654708405,0.188954974992967,-5.182839779870902,0.5584907965771797,-2.3588428656706264,0.4113774504090245,-10.659306063097036,1.1953748471679853
2007,-0.7901445173856915,0.1879416409450789,-5.972984297256593,0.5892656703580667,-1.5790536047853114,0.3998663881665397,-12.238359667882348,1.2604817149118974
2008,-0.7626732624750852,0.1991750171850177,-6.735657559731678,0.6220166539034093,-1.5093602965005972,0.4222234187900853,-13.747719964382945,1.3293181594343868
2009,-0.8076608505112504,0.2072188617200432,-7.543318410242928,0.6556251782731839,-1.5827261116565263,0.4393865775364854,-15.330446076039472,1.400052618125923
2010,-0.5330934168399737,0.1892932158400928,-8.076411827082902,0.6824047889257725,-1.034331703816414,0.398186173317034,-16.364777779855885,1.4555753371578246
2011,-1.2983968712841736,0.186159434025528,-9.374808698367076,0.7073412407215721,-2.494022407325491,0.4078106827608884,-18.858800187181377,1.511624660792492
2012,-1.4707629995479157,0.2148774843126121,-10.845571697914991,0.7392590642596476,-2.7965827240695345,0.4694817685252441,-21.65538291125091,1.582852566126614
2013,-0.3021703361283248,0.2184411828692258,-11.147742034043317,0.770857000009312,-0.5687006031528772,0.4564944870767174,-22.224083514403787,1.6473643989187827
2014,-0.186717578964476,0.2165158298651822,-11.334459613007793,0.8006869669512331,-0.3477905848183993,0.451926949278947,-22.571874099222185,1.708229326030208
2015,-1.607838564640458,0.2202794156836196,-12.94229817764825,0.8304352112112552,-2.9636622375676023,0.4827475994928006,-25.53553633678979,1.7751317345835715
2016,-0.7565476178887021,0.2164867944346277,-13.698845795536952,0.8581894733589214,-1.3798379610635585,0.4567721102063791,-26.915374297853347,1.8329575651902223
2017,-1.4337266526145749,0.2190635878951354,-15.132572448151528,0.8857076423547177,-2.5871083005234867,0.4748642787961008,-29.502482598376833,1.8934702318929149
2018,-1.3653255958889576,0.2310640492610557,-16.497898044040486,0.9153516387631957,-2.4371975090104008,0.4971035872454163,-31.939680107387233,1.9576367118331404
2019,-1.0868539056291902,0.2278587125306085,-17.584751949669677,0.9432858609470273,-1.919024957544504,0.4848397371601196,-33.85870506493173,2.0167823547042363
2020,-0.7304671282362125,0.2369982104164882,-18.31521907790589,0.9726028825801374,-1.275594599025034,0.4984105265630102,-35.13429966395677,2.0774561654184622
2021,-0.9166730017324138,0.225829019772788,-19.231892079638303,0.9984763960027953,-1.582979860184506,0.4776207527388756,-36.717279524141276,2.1316532791901293
2022,-3.653010668614841,0.3154975406797529,-22.884902748253143,1.0471360043230789,-6.237435177272426,0.7282044209005228,-42.9547147014137,2.2526045772174697
2023,-2.5918141163147377,0.3284847569957036,-25.47671686456788,1.0974497925318631,-4.375191438019658,0.7192057205016613,-47.329906139433355,2.36463194804253
