year,annual_mwe,annual_mwe_error,cumulative_mwe,cumulative_mwe_error,annual_gt,annual_gt_error,cumulative_gt,cumulative_gt_error
2000,-0.1566312413721902,0.3728669767408168,-0.1566312413721902,0.3728669767408168,-2.327916651477616,5.478577160246203,-2.327916651477616,5.478577160246203
2001,-0.5500547381397778,0.3595843599372022,-0.706685979511968,0.5180064615960733,-8.137158352811356,5.297867355594772,-10.465075004288973,7.621168297462542
2002,-0.4753190327676427,0.3599021000268251,-1.1820050122796106,0.6307616157146875,-6.998749077267797,5.2984576149315705,-17.46382408155677,9.282018062656118
2003,-0.5594496724866971,0.3617459092622265,-1.7414546847663077,0.7271315690622695,-8.198889903697747,5.3297633827095385,-25.662713985254516,10.703375029921443
2004,-0.6156497171469637,0.3656840434382815,-2.357104401913271,0.8139073278649904,-8.98001140526133,5.390556783969636,-34.64272539051585,11.984170370632542
2005,-0.4040021998149696,0.3623635463025686,-2.761106601728241,0.8909278747695027,-5.8649778560322,5.331118780068185,-40.50770324654805,13.116446428798564
2006,-0.740940894378711,0.3610459971910599,-3.502047496106952,0.9613046812166212,-10.705225792838034,5.330634260539739,-51.21292903938608,14.158277739159614
2007,-0.3477850821703412,0.363091047201434,-3.8498325782772933,1.027590287364971,-5.000839525910631,5.339591824794993,-56.21376856529671,15.131690896743834
2008,-0.3851298359091711,0.362048073552001,-4.234962414186464,1.0895047527429784,-5.511233648377613,5.325547088289289,-61.72500221367432,16.041493732947277
2009,-0.4358937008477362,0.3587635010514385,-4.6708561150342005,1.147053554083777,-6.207572947749696,5.2792950995509615,-67.93257516142401,16.88787961623156
2010,-0.3290884818276441,0.3593793285545597,-4.999944596861845,1.2020338421727361,-4.663836245068104,5.284357474628559,-72.59641140649211,17.69533587847352
2011,0.0585894915021745,0.3598349415723019,-4.94135510535967,1.254737639072365,0.8262841166758295,5.286064056891564,-71.77012728981627,18.46800977543474
2012,-0.6600786022400804,0.3573679890146167,-5.6014337075997505,1.3046372762102283,-9.263476118598678,5.270056695685486,-81.03360340841495,19.20523060630339
2013,-0.3410567558249808,0.3693289032395563,-5.942490463424731,1.3559064352842998,-4.762808642776319,5.430590923475173,-85.79641205119127,19.958261457838045
2014,-0.5205369368755304,0.361353753021102,-6.463027400300261,1.403231554686472,-7.233284672588605,5.320519997990309,-93.02969672377988,20.65526890331952
2015,-0.4695486855450435,0.3641441850391824,-6.932576085845304,1.449710241243285,-6.492342790490154,5.3590451850896,-99.52203951427003,21.339154124853927
2016,-0.2738771381855682,0.3603521850804552,-7.206453224030873,1.4938251172268868,-3.767927807121404,5.296852272899367,-103.28996732139144,21.986726513175842
2017,-1.2508212482676402,0.4195730174854195,-8.457274472298513,1.5516297876296852,-17.122102144399964,6.222615527630999,-120.4120694657914,22.850319183107793
2018,-0.3326807644907786,0.366997966307237,-8.789955236789291,1.5944411262675677,-4.530994315133016,5.395884008163018,-124.94306378092442,23.47877021906074
2019,-0.6278685467768913,0.3625937138609445,-9.417823783566183,1.635150362035511,-8.507998145090227,5.343388879407178,-133.45106192601463,24.079129048120194
2020,-0.4233640246580628,0.3678927006155137,-9.841187808224246,1.6760255802436426,-5.707608395472385,5.4117991791636335,-139.15867032148702,24.679789830377846
2021,-0.3096395438710932,0.540218762755367,-10.15082735209534,1.7609366988236625,-4.153046594747883,7.938420838696924,-143.3117169162349,25.92509501397978
2022,-1.1705352609766329,0.6051115944085789,-11.321362613071972,1.8620037859659875,-15.619011518634077,8.923206806807814,-158.93072843486897,27.41777108375042
2023,-1.3250868263213045,0.6065293659463733,-12.646449439393276,1.9582992546357618,-17.589780221019534,8.953095982384424,-176.5205086558885,28.84253974376613
