year,annual_mwe,annual_mwe_error,cumulative_mwe,cumulative_mwe_error,annual_gt,annual_gt_error,cumulative_gt,cumulative_gt_error
2000,0.0898931394653015,0.5107513858148645,0.0898931394653015,0.5107513858148645,0.0879743435703125,0.5917289805148116,0.0879743435703125,0.5917289805148116
2001,-0.96920931721463,0.5431591794045684,-0.8793161777493285,0.7455795546306568,-0.94077364134553,0.6310131979549193,-0.8527992977752175,0.8650553984424306
2002,-1.060474175388845,0.5532402934275195,-1.9397903531381733,0.9284199990063853,-1.020883713895824,0.6429659917476624,-1.8736830116710415,1.0778339894985904
2003,-1.5519396404014374,0.5720309054022729,-3.491729993539611,1.0904966993486778,-1.4815955888514936,0.666833418053626,-3.355278600522535,1.2674355669427655
2004,-0.5648479845453,0.4485173553901526,-4.056577978084911,1.1791314046265313,-0.534730129084154,0.5203010387611173,-3.8900087296066888,1.37007521227392
2005,0.1978905419226048,0.4035793331168855,-3.858687436162306,1.246285339517242,0.1857570750016101,0.467644549311449,-3.7042516546050788,1.447686952275296
2006,0.9032499375997152,0.4648797474144066,-2.955437498562591,1.3301655261852525,0.8406476913557156,0.5402074032023204,-2.8636039632493633,1.5451930462769787
2007,-0.6494149734867671,0.5823633948807986,-3.604852472049358,1.4520631703713094,-0.5992142058732299,0.67534105918383,-3.462818169122593,1.6863294744747441
2008,-2.385017005802053,0.5565174671799532,-5.9898694778514106,1.555055993212196,-2.1815863332370538,0.6538954777020072,-5.644404502359647,1.8086697852956473
2009,-0.1114448275693885,0.5064902957687418,-6.101314305420799,1.6354606573479769,-0.1010482490554054,0.5867978499081477,-5.745452751415052,1.9014778749431265
2010,-1.6576805480631496,0.5876107819897949,-7.758994853483949,1.7378198965496208,-1.489786079497439,0.6848185589572584,-7.2352388309124915,2.021037992614321
2011,-2.077600883201244,0.5554507115523012,-9.836595736685194,1.8244296330107368,-1.8505679072267327,0.6501157133600923,-9.085806738139224,2.1230273216207616
2012,-0.2765412726681429,0.4914902400830283,-10.113137009353336,1.8894724506868485,-0.2441112063576637,0.5695291275046163,-9.329917944496888,2.198091998853641
2013,0.0569086119479675,0.4831670063638937,-10.056228397405368,1.9502708780944282,0.0497800113362103,0.5597612749575636,-9.280137933160677,2.268246265370344
2014,-0.2372149042454311,0.479724414282972,-10.293443301650798,2.0084053404635114,-0.2056041796257262,0.5558625201204962,-9.485742112786404,2.3353638392424467
2015,-0.1800171635192258,0.591778990383012,-10.473460465170024,2.0937751515053113,-0.1545894695964328,0.6856278160308884,-9.640331582382837,2.4339288740134757
2016,-1.5868970322823306,0.5286114578306013,-12.060357497452355,2.159473190019011,-1.3500601973377886,0.6161128462469087,-10.990391779720625,2.5106980708693296
2017,-0.6356909445206018,0.6201819115796665,-12.696048441972957,2.2467643538790383,-0.5357355420070528,0.7189885870435461,-11.526127321727678,2.611618155735223
2018,-2.421006361894361,0.7067658328912777,-15.117054803867319,2.355306350435967,-2.020976853697841,0.8250098284441189,-13.547104175425519,2.7388301532580006
2019,-2.2322715867184737,0.6584270724927886,-17.349326390585794,2.4456071258882566,-1.8455830286413584,0.7683584298466601,-15.392687204066878,2.8445676798261745
2020,-1.7073527086663358,0.617660650032283,-19.05667909925213,2.5223994316510856,-1.3979458572570234,0.7189742168527151,-16.790633061323902,2.9340227009364876
2021,-0.0822058325803627,0.8050797741487655,-19.138884931832493,2.6477636479748616,-0.0666513400570155,0.9327021431578773,-16.857284401380916,3.0787046785071706
2022,-2.287597836295951,0.8330509638861755,-21.426482768128444,2.775720851232853,-1.8364658742589808,0.9694595669524252,-18.693750275639896,3.2277351733711868
2023,-1.6320344546730214,0.7886312255365956,-23.058517222801466,2.885578876735167,-1.2971385849938588,0.915939434460759,-19.990888860633756,3.355177997814396
