year,global_mwe,global_mwe_uncertainty,global_Gt,global_Gt_uncertainty,n_estimates
2000,-0.6713467247139278,9.651817812223113,-423.552648622017,303.25735404282324,119
2001,-0.22244071033551055,1.9248806781386714,-140.3378441506736,78.08986383718293,83
2002,-0.2589257059082371,21.432475570996978,-163.3562278575068,240.52833151415084,139
2003,-0.7911699403511349,13.934142869788182,-499.149115367531,255.0364643902609,174
2004,-0.436278955175848,13.498925437588449,-275.2483928204425,109.43162024859384,139
2005,-0.602484218852409,6.960108699336576,-380.1072936739848,177.82298189340113,158
2006,-0.4004332076851856,6.8304154906816,-252.63331072858364,115.30706795255644,139
2007,-0.22821848688248486,9.596378492304241,-143.98304337415968,124.33229162007923,139
2008,-0.3357585963109777,7.948105871838832,-211.83009841259587,114.00094113140193,139
2009,-0.40155983268764844,16.302894441380953,-253.3440984426375,166.5125911712221,143
2010,-0.7792550475149479,11.715784489807783,-491.6320094771807,207.52198646241715,175
2011,-0.4249113177391,13.157614168636051,-268.0765503615982,119.38793639099488,152
2012,-0.5771267078649748,24.08189960952091,-364.1092399920126,234.18557056396966,158
2013,-0.3281698575168161,16.538502972825416,-207.04236310735928,171.98057135900876,154
2014,-0.4320795344287087,23.579349004725966,-272.5989782710723,177.7862577706112,151
2015,-0.6531186981919661,19.150925350310004,-412.0525866893115,215.41579151196942,171
2016,-0.4611465451691164,20.413740105388985,-290.93735534719553,177.48856278297703,151
2017,-0.32910598369377825,30.04905871705659,-207.63296511240472,182.8613955523337,151
2018,-0.6825958354525857,15.879075899280593,-430.6497125870364,161.32525104520437,154
2019,-0.5471775301140906,12.517897871305122,-345.2143037489798,105.93659356220962,151
2020,-0.4696562314766506,9.37173456755632,-296.3061164386189,127.56515608231315,147
2021,-0.65865472063505,13.695788738536463,-415.54526324865316,149.86161035411007,119
2022,-0.8391844568477737,21.67539240906695,-529.4414738252603,158.93390775347774,94
2023,-0.5621765135348867,3.5628119178679194,-354.67716238916006,121.82808643282232,73
