region_id,region_name,method,n_datasets,n_records,earliest_start,latest_end
1,Alaska,altimetry,1,120,2010.6666666666667,2020.6666666666667
1,Alaska,combined,4,121,1970.75,2024.75
1,Alaska,demdiff,1,4,2000.0,2020.0
1,Alaska,glaciological,2,326,1999.6666666666667,2024.75
1,Alaska,gravimetry,5,987,2002.1666666666667,2023.1666666666667
10,North Asia,combined,2,56,1990.75,2024.75
10,North Asia,demdiff,1,4,2000.0,2020.0
10,North Asia,glaciological,2,326,1999.6666666666667,2024.75
10,North Asia,gravimetry,3,485,2002.1666666666667,2022.9166666666667
11,Central Europe,combined,2,56,1990.75,2024.75
11,Central Europe,demdiff,2,5,2000.0,2020.0
11,Central Europe,glaciological,2,326,1999.6666666666667,2024.75
11,Central Europe,gravimetry,3,485,2002.1666666666667,2022.9166666666667
12,Caucasus & Middle East,combined,2,56,1990.75,2024.75
12,Caucasus & Middle East,demdiff,1,4,2000.0,2020.0
12,Caucasus & Middle East,glaciological,2,326,1999.6666666666667,2024.75
12,Caucasus & Middle East,gravimetry,2,237,2002.1666666666667,2021.8333333333333
13,Central Asia,altimetry,4,103,2000.0833333333333,2021.1666666666667
13,Central Asia,combined,3,57,1990.75,2024.75
13,Central Asia,demdiff,2,5,2000.0,2020.0
13,Central Asia,glaciological,2,326,1999.6666666666667,2024.75
13,Central Asia,gravimetry,4,736,2002.1666666666667,2023.1666666666667
14,South Asia West,altimetry,4,103,2000.0833333333333,2021.1666666666667
14,South Asia West,combined,3,57,1990.75,2024.75
14,South Asia West,demdiff,2,5,2000.0,2020.0
14,South Asia West,glaciological,2,326,1999.6666666666667,2024.75
14,South Asia West,gravimetry,3,485,2002.1666666666667,2022.9166666666667
15,South Asia East,altimetry,4,103,2000.0833333333333,2021.1666666666667
15,South Asia East,combined,3,57,1990.75,2024.75
15,South Asia East,demdiff,3,6,2000.0,2020.0
15,South Asia East,glaciological,2,326,1999.6666666666667,2024.75
15,South Asia East,gravimetry,3,485,2002.1666666666667,2022.9166666666667
16,Low Latitudes,combined,2,55,1990.25,2024.0
16,Low Latitudes,demdiff,4,7,2000.0,2020.0
16,Low Latitudes,glaciological,1,25,2000.0,2025.0
16,Low Latitudes,gravimetry,3,485,2002.1666666666667,2022.9166666666667
17,Southern Andes,altimetry,1,120,2010.6666666666667,2020.6666666666667
17,Southern Andes,combined,2,56,1990.25,2024.25
17,Southern Andes,demdiff,4,8,2000.0,2020.0
17,Southern Andes,glaciological,2,326,1999.1666666666667,2024.25
17,Southern Andes,gravimetry,6,1171,2002.1666666666667,2023.1666666666667
18,New Zealand,combined,2,56,1990.25,2024.25
18,New Zealand,demdiff,1,4,2000.0,2020.0
18,New Zealand,glaciological,2,325,1999.1666666666667,2024.25
18,New Zealand,gravimetry,4,736,2002.1666666666667,2023.1666666666667
19,Antarctic & Subantarctic,altimetry,3,124,2003.0833333333333,2023.3333333333333
19,Antarctic & Subantarctic,combined,2,56,1990.25,2024.25
19,Antarctic & Subantarctic,demdiff,1,4,2000.0,2020.0
19,Antarctic & Subantarctic,glaciological,2,326,1999.1666666666667,2024.25
2,Western Canada & US,altimetry,2,2,2013.0,2023.0
2,Western Canada & US,combined,2,56,1990.75,2024.75
2,Western Canada & US,demdiff,1,4,2000.0,2020.0
2,Western Canada & US,glaciological,3,327,1999.6666666666667,2024.75
2,Western Canada & US,gravimetry,4,736,2002.1666666666667,2023.1666666666667
3,Arctic Canada North,altimetry,4,125,2003.0833333333333,2023.3333333333333
3,Arctic Canada North,combined,5,122,1970.75,2024.75
3,Arctic Canada North,demdiff,2,5,2000.0,2021.5
3,Arctic Canada North,glaciological,2,326,1999.6666666666667,2024.75
3,Arctic Canada North,gravimetry,7,1477,2002.1666666666667,2023.1666666666667
4,Arctic Canada South,altimetry,4,125,2003.0833333333333,2023.3333333333333
4,Arctic Canada South,combined,5,122,1970.75,2024.75
4,Arctic Canada South,demdiff,2,5,2000.0,2021.5
4,Arctic Canada South,glaciological,2,326,1999.6666666666667,2024.75
4,Arctic Canada South,gravimetry,7,1477,2002.1666666666667,2023.1666666666667
5,Greenland Periphery,altimetry,5,484,1992.0,2021.9166666666667
5,Greenland Periphery,combined,3,57,1990.75,2024.75
5,Greenland Periphery,demdiff,3,6,2000.0,2021.5833333333333
5,Greenland Periphery,glaciological,2,326,1999.6666666666667,2024.75
6,Iceland,altimetry,3,122,2010.6666666666667,2020.6666666666667
6,Iceland,combined,6,155,1988.75,2024.75
6,Iceland,demdiff,4,9,2000.0,2021.75
6,Iceland,glaciological,2,326,1999.6666666666667,2024.75
6,Iceland,gravimetry,7,1477,2002.1666666666667,2023.1666666666667
7,Svalbard,altimetry,3,122,2003.75,2020.6666666666667
7,Svalbard,combined,4,121,1970.75,2024.75
7,Svalbard,demdiff,2,5,2000.0,2021.5
7,Svalbard,glaciological,2,326,1999.6666666666667,2024.75
7,Svalbard,gravimetry,7,1477,2002.1666666666667,2023.1666666666667
8,Scandinavia,combined,2,56,1990.75,2024.75
8,Scandinavia,demdiff,3,6,2000.0,2020.6666666666667
8,Scandinavia,glaciological,2,326,1999.6666666666667,2024.75
8,Scandinavia,gravimetry,3,485,2002.1666666666667,2022.9166666666667
9,Russian Arctic,altimetry,3,123,2003.75,2020.6666666666663
9,Russian Arctic,combined,4,121,1970.75,2024.75
9,Russian Arctic,demdiff,3,6,2000.0,2021.5833333333333
9,Russian Arctic,glaciological,2,326,1999.6666666666667,2024.75
9,Russian Arctic,gravimetry,7,1477,2002.1666666666667,2023.1666666666667
