file,region_folder,region,method,n_rows,unit,min_start,max_end,mean_duration_years,author
data/glambie/input/10_north_asia/north_asia_combined_DUS-combined_Dussaillant_et_al.csv,10_north_asia,north_asia,combined,25,mwe,1999.75,2024.75,1.0,Dussaillant et al.
data/glambie/input/10_north_asia/north_asia_combined_Huss_Huss_et_al.csv,10_north_asia,north_asia,combined,31,mwe,1990.75,2021.75,1.0,Huss et al.
data/glambie/input/10_north_asia/north_asia_demdiff_ETH_Hugonnet_et_al.csv,10_north_asia,north_asia,demdiff,4,m,2000.0,2020.0,5.0,Hugonnet et al.
data/glambie/input/10_north_asia/north_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,10_north_asia,north_asia,glaciological,301,mwe,1999.6666666666667,2024.75,0.08333333333333308,Zemp et al.
data/glambie/input/10_north_asia/north_asia_glaciological_WGMS-beta_WGMS.csv,10_north_asia,north_asia,glaciological,25,mwe,1999.75,2024.75,1.0,WGMS
data/glambie/input/10_north_asia/north_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,10_north_asia,north_asia,gravimetry,1,Gt,2003.0,2010.9166666666667,7.9166666666667425,Jacob et al.
data/glambie/input/10_north_asia/north_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,10_north_asia,north_asia,gravimetry,248,Gt,2002.25,2022.9166666666667,0.08333333333333363,Sasgen et al.
data/glambie/input/10_north_asia/north_asia_gravimetry_Wouters_Wouters_et_al.csv,10_north_asia,north_asia,gravimetry,236,Gt,2002.1666666666667,2021.8333333333333,0.08333333333333269,Wouters et al.
data/glambie/input/11_central_europe/central_europe_combined_DUS-combined_Dussaillant_et_al.csv,11_central_europe,central_europe,combined,25,mwe,1999.75,2024.75,1.0,Dussaillant et al.
data/glambie/input/11_central_europe/central_europe_combined_Huss_Huss_et_al.csv,11_central_europe,central_europe,combined,31,mwe,1990.75,2021.75,1.0,Huss et al.
data/glambie/input/11_central_europe/central_europe_demdiff_ETH_Hugonnet_et_al.csv,11_central_europe,central_europe,demdiff,4,m,2000.0,2020.0,5.0,Hugonnet et al.
data/glambie/input/11_central_europe/central_europe_demdiff_FAU-GLACIER_Braun_et_al.csv,11_central_europe,central_europe,demdiff,1,m,2000.1666666666667,2012.0833333333333,11.916666666666515,Braun et al.
