region,method_group,n_years,mean_gt_per_year,mean_gt_error,cumulative_gt,cumulative_gt_quadrature_error,mean_mwe_per_year,mean_mwe_error,rmse_vs_combined_gt,bias_vs_combined_gt
alaska,altimetry,9,-79.0624671123719,31.013577347234882,-711.5622040113471,93.79137531223412,-0.9513695546433344,0.3541336009464787,19.716664611008717,2.750702721870346
alaska,combined,24,-60.813948479713495,31.732554264421093,-1459.5347635131238,159.4300676917929,-0.7240056925654276,0.36356397320204675,0.0,0.0
alaska,demdiff_and_glaciological,24,-71.19343051507836,19.503173911029783,-1708.6423323618806,98.58528051533396,-0.8481383610888275,0.2191500381033411,18.53076851851996,-10.37948203536486
alaska,gravimetry,20,-60.1715028841283,17.91289118406109,-1203.430057682566,80.98532052140767,-0.7127100601789762,0.20085608154755397,22.285448491936886,7.311637202733094
antarctic_and_subantarctic,altimetry,20,-7.153710197989097,16.660472898649484,-143.07420395978195,75.84165565665761,-0.05933506371042183,0.12505212082375383,24.205850018239122,8.962608005284352
antarctic_and_subantarctic,combined,23,-16.88348733853945,38.93233617505378,-388.32020878640736,188.55342064872568,-0.13803629164161538,0.29360070154921236,0.0,0.0
antarctic_and_subantarctic,demdiff_and_glaciological,23,-25.890396662232092,22.439493629100223,-595.4791232313381,111.94117135036132,-0.2113775477665071,0.1685624961123297,22.82071953693372,-9.006909323692637
arctic_canada_north,altimetry,21,-27.355642706229656,8.867973259894278,-574.4684968308228,42.57421029529323,-0.26358111112331384,0.08262261998911073,7.8791742287665745,4.171608635575861
arctic_canada_north,combined,24,-30.537134689308278,12.180461680020008,-732.8912325433987,62.5314958679842,-0.2940942667180426,0.11438035591433644,0.0,0.0
arctic_canada_north,demdiff_and_glaciological,24,-32.73351555798691,11.994574814349454,-785.6043733916858,61.43881532078663,-0.3153526744823507,0.11231737012664426,9.077516028202846,-2.196380868678632
arctic_canada_north,gravimetry,20,-32.7697107324816,5.6108474421882715,-655.394214649632,25.699328421682218,-0.3156927287749975,0.04916311721660258,7.490813639540544,-1.9256428023240653
arctic_canada_south,altimetry,21,-19.886557506440763,6.71108858385959,-417.617707635256,32.27115687859696,-0.4930417375994446,0.16165111767378737,5.530132756897275,3.6440848339430993
arctic_canada_south,combined,24,-23.104868087463302,10.14555976403065,-554.5168340991193,51.55662049403293,-0.5722836708586682,0.24640114787686693,0.0,0.0
arctic_canada_south,demdiff_and_glaciological,24,-26.200864854999548,8.414676832725844,-628.8207565199891,42.774713599390196,-0.6491356985383221,0.20299817292788802,8.006969327953874,-3.095996767536242
arctic_canada_south,gravimetry,20,-23.996869117603985,7.702501321360525,-479.9373823520797,35.19593383273943,-0.5946472900272078,0.1851102199875035,7.663431942533483,-0.5255113863926726
caucasus_middle_east,combined,24,-0.7398243379316197,0.2654089689985362,-17.755784110358874,1.353647346338902,-0.6232560576442462,0.19999671510321634,0.0,0.0
caucasus_middle_east,demdiff_and_glaciological,24,-0.7398243379316196,0.26540896899853617,-17.75578411035887,1.3536473463389018,-0.6232560576442462,0.19999671510321634,1.7444108782428046e-16,6.938893903907228e-18
central_asia,altimetry,21,-6.529701931131603,8.032395354166326,-137.12374055376367,37.60695260109144,-0.13482239698412674,0.162353793579657,8.19708521879753,0.8345210884052546
central_asia,combined,24,-10.423648468190985,13.228034752817171,-250.16756323658362,65.47598387232506,-0.21642949106364104,0.2685202284027104,0.0,0.0
central_asia,demdiff_and_glaciological,24,-11.255033966966304,5.402386495771797,-270.1208152071913,27.60120856122525,-0.23342416527935828,0.10836053717558809,7.673009769121329,-0.8313854987753208
central_europe,combined,24,-1.9697945710110536,0.4120807228173877,-47.275069704265285,2.078195677794072,-1.0570854364368472,0.18972987853862908,0.0,0.0
central_europe,demdiff_and_glaciological,24,-1.9697945710110536,0.41208072281738756,-47.275069704265285,2.0781956777940715,-1.0570854364368472,0.18972987853862908,2.333229944976403e-16,0.0
greenland_periphery,altimetry,21,-26.76722025717779,15.412345386299151,-562.1116254007336,72.87988861756655,-0.3316523211968869,0.17130948821438746,18.399314683445734,4.503932109490125
greenland_periphery,combined,24,-35.08870776285678,33.56371971635226,-842.1289863085626,170.19572040165406,-0.4417350065848855,0.37434762257527393,0.0,0.0
