year_start,year_end,specific_mass_change_mwe,specific_mass_change_mwe_error,total_mass_change_Gt,total_mass_change_Gt_error,glacier_area_km2
2000.000,2001.000,-0.111,0.158,-78.044,111.561,704082.696
2001.000,2002.000,-0.308,0.135,-215.169,95.300,701805.499
2002.000,2003.000,-0.184,0.129,-128.466,91.146,699528.302
2003.000,2004.000,-0.277,0.103,-192.672,72.799,697251.105
2004.000,2005.000,-0.331,0.103,-229.237,73.022,694973.908
2005.000,2006.000,-0.456,0.104,-315.037,74.191,692696.711
2006.000,2007.000,-0.407,0.103,-279.890,72.773,690419.514
2007.000,2008.000,-0.471,0.101,-323.166,71.785,688142.317
2008.000,2009.000,-0.261,0.101,-178.632,71.862,685865.120
2009.000,2010.000,-0.339,0.100,-231.238,71.294,683587.924
2010.000,2011.000,-0.340,0.101,-231.197,72.258,681310.727
2011.000,2012.000,-0.541,0.095,-365.947,68.113,679033.530
2012.000,2013.000,-0.279,0.094,-188.021,67.350,676756.333
2013.000,2014.000,-0.453,0.093,-304.738,66.471,674479.136
2014.000,2015.000,-0.224,0.092,-149.889,65.940,672201.939
2015.000,2016.000,-0.427,0.093,-284.974,66.773,669924.742
2016.000,2017.000,-0.512,0.095,-340.608,68.360,667647.545
2017.000,2018.000,-0.328,0.092,-217.687,66.391,665370.348
2018.000,2019.000,-0.369,0.092,-243.813,66.541,663093.151
2019.000,2020.000,-0.627,0.097,-412.965,69.991,660815.955
2020.000,2021.000,-0.617,0.107,-405.039,76.207,658538.758
2021.000,2022.000,-0.333,0.115,-217.716,81.685,656261.561
2022.000,2023.000,-0.706,0.139,-460.299,100.829,653984.364
2023.000,2024.000,-0.843,0.166,-548.025,120.161,651707.167
