start_dates,end_dates,region,combined_mwe,combined_mwe_errors,combined_gt,combined_gt_errors,glacier_area
2000.000,2001.000,caucasus_middle_east,-1.193,0.406,-1.526,0.534,1282.755
2001.000,2002.000,caucasus_middle_east,-0.591,0.228,-0.752,0.300,1275.828
2002.000,2003.000,caucasus_middle_east,0.295,0.238,0.374,0.311,1268.901
2003.000,2004.000,caucasus_middle_east,0.311,0.236,0.391,0.308,1261.974
2004.000,2005.000,caucasus_middle_east,0.508,0.246,0.636,0.322,1255.047
2005.000,2006.000,caucasus_middle_east,0.174,0.227,0.217,0.296,1248.120
2006.000,2007.000,caucasus_middle_east,-0.873,0.203,-1.081,0.270,1241.193
2007.000,2008.000,caucasus_middle_east,-1.298,0.231,-1.597,0.311,1234.265
2008.000,2009.000,caucasus_middle_east,-0.442,0.217,-0.540,0.285,1227.338
2009.000,2010.000,caucasus_middle_east,-0.356,0.206,-0.434,0.269,1220.411
2010.000,2011.000,caucasus_middle_east,-0.710,0.211,-0.859,0.278,1213.484
2011.000,2012.000,caucasus_middle_east,-0.596,0.227,-0.717,0.298,1206.557
2012.000,2013.000,caucasus_middle_east,-1.515,0.231,-1.812,0.314,1199.630
2013.000,2014.000,caucasus_middle_east,-0.212,0.214,-0.252,0.279,1192.703
2014.000,2015.000,caucasus_middle_east,-1.112,0.218,-1.314,0.292,1185.776
2015.000,2016.000,caucasus_middle_east,-1.312,0.226,-1.542,0.304,1178.849
2016.000,2017.000,caucasus_middle_east,-0.672,0.215,-0.785,0.283,1171.922
2017.000,2018.000,caucasus_middle_east,-0.719,0.252,-0.835,0.331,1164.994
2018.000,2019.000,caucasus_middle_east,-0.631,0.273,-0.728,0.357,1158.067
2019.000,2020.000,caucasus_middle_east,-0.804,0.228,-0.923,0.300,1151.140
2020.000,2021.000,caucasus_middle_east,-1.332,0.250,-1.520,0.335,1144.213
2021.000,2022.000,caucasus_middle_east,-0.376,0.258,-0.427,0.337,1137.286
2022.000,2023.000,caucasus_middle_east,-0.809,0.369,-0.912,0.484,1130.359
2023.000,2024.000,caucasus_middle_east,-0.660,0.368,-0.740,0.481,1123.432
