agent_group,mentions,share_pct
silver iodide,795,69.98239436619718
sodium iodide,108,9.507042253521126
ammonium iodide,79,6.954225352112676
hygroscopic materials,32,2.816901408450704
calcium chloride,28,2.464788732394366
acetone,26,2.288732394366197
ionized air,21,1.8485915492957747
dry ice,14,1.232394366197183
sodium chloride,5,0.44014084507042256
propane,4,0.352112676056338
sodium perchlorate,4,0.352112676056338
dry ice/carbon dioxide,4,0.352112676056338
ammonium perchlorate,3,0.2640845070422535
water,3,0.2640845070422535
cesium iodide,2,0.176056338028169
potassium chloride,2,0.176056338028169
calcium carbonate,1,0.0880281690140845
ammonium,1,0.0880281690140845
potassium iodide,1,0.0880281690140845
silver chloride,1,0.0880281690140845
sodium precipitate,1,0.0880281690140845
sulfur dioxide,1,0.0880281690140845
