operator_affiliation,state,projects
north american weather consultants,utah,125
western weather consultants llc,colorado,108
desert research institute,nevada,57
atmospherics inc,california,50
north american weather consultants,california,44
weather modification inc,north dakota,44
pacific gas and electric company,california,40
rhs consulting ltd,california,32
weather modification inc,california,32
weather modification inc,wyoming,31
north american weather consultants,colorado,23
west texas weather modification association,texas,21
idaho power company,idaho,21
panhandle groundwater conservation district,texas,19
clark county,idaho,17
eden valley irrigation and drainage,wyoming,16
western kansas groundwater management,kansas,15
south texas weather modification association,texas,13
water district 34,idaho,9
southwest texas rain enhancement association,texas,9
sacramento municipal utility district,california,9
weather modification inc,texas,8
north american weather consultants,idaho,8
colorado river municipal water district,texas,7
water enhancement authority,colorado,7
north plains groundwater district,texas,6
mud lake water users,idaho,5
desert research institute,california,5
franklin soil and water conservation,idaho,5
belding farms,texas,5
madison county,idaho,4
powell plant farms inc,texas,4
high plains underground water conservation,texas,3
barken fog ops inc,utah,3
weather modification inc,colorado,3
texas border weather modification association,texas,2
transpecos weather modification association,texas,2
barken international inc,utah,2
atmospherics inc,texas,1
awms,texas,1
nike noor llc,colorado,1
make sunsets incorporated,south dakota,1
let it snow inc,idaho,1
district v cloud seeding consortium,idaho,1
atmospherics inc,idaho,1
pacific coast forecasting inc,california,1
powell plant farms,texas,1
north american weather consultants,montana,1
soar program,texas,1
rainmaker technology corporation,california,1
rainmaker technology corporation,oregon,1
rainmaker technology corporation,texas,1
uw college of the environment,california,1
water district 33,idaho,1
weather modification inc,oklahoma,1
weather modification inc,nevada,1
