year,records,yoy_change,three_year_ma
2000,21,,21.0
2001,22,1.0,21.5
2002,42,20.0,28.333333333333332
2003,49,7.0,37.666666666666664
2004,47,-2.0,46.0
2005,47,0.0,47.666666666666664
2006,40,-7.0,44.666666666666664
2007,42,2.0,43.0
2008,39,-3.0,40.333333333333336
2009,40,1.0,40.333333333333336
2010,34,-6.0,37.666666666666664
2011,33,-1.0,35.666666666666664
2012,28,-5.0,31.666666666666668
2013,31,3.0,30.666666666666668
2014,32,1.0,30.333333333333332
2015,31,-1.0,31.333333333333332
2016,34,3.0,32.333333333333336
2017,31,-3.0,32.0
2018,26,-5.0,30.333333333333332
2019,19,-7.0,25.333333333333332
2020,12,-7.0,19.0
2021,20,8.0,17.0
2022,29,9.0,20.333333333333332
2023,28,-1.0,25.666666666666668
2024,34,6.0,30.333333333333332
2025,21,-13.0,27.666666666666668
