year,state,count
2000,california,7
2000,colorado,1
2000,idaho,1
2000,north dakota,2
2000,oklahoma,1
2000,texas,7
2000,utah,1
2000,wyoming,1
2001,california,9
2001,colorado,1
2001,nevada,3
2001,north dakota,1
2001,texas,5
2001,utah,3
2002,california,11
2002,colorado,4
2002,idaho,4
2002,kansas,1
2002,nevada,5
2002,north dakota,2
2002,texas,9
2002,utah,5
2002,wyoming,1
2003,california,10
2003,colorado,7
2003,idaho,6
2003,kansas,1
2003,nevada,5
2003,north dakota,2
2003,texas,12
2003,utah,5
2003,wyoming,1
2004,california,11
2004,colorado,7
2004,idaho,5
2004,kansas,1
2004,nevada,5
2004,north dakota,2
2004,texas,10
2004,utah,5
2004,wyoming,1
2005,california,12
2005,colorado,7
2005,idaho,5
2005,kansas,1
2005,nevada,6
2005,north dakota,2
2005,texas,8
2005,utah,5
2005,wyoming,1
2006,california,10
2006,colorado,6
2006,idaho,4
2006,kansas,1
2006,nevada,4
2006,north dakota,3
2006,texas,5
2006,utah,5
2006,wyoming,2
2007,california,11
2007,colorado,8
2007,idaho,4
2007,kansas,1
2007,montana,1
2007,nevada,3
2007,north dakota,2
2007,texas,3
2007,utah,6
2007,wyoming,3
2008,california,8
2008,colorado,7
2008,idaho,5
2008,kansas,1
2008,nevada,5
2008,north dakota,3
2008,texas,1
2008,utah,6
2008,wyoming,3
2009,california,10
2009,colorado,6
2009,idaho,3
2009,kansas,1
2009,nevada,5
2009,north dakota,2
2009,texas,4
2009,utah,6
2009,wyoming,3
2010,california,7
2010,colorado,6
2010,idaho,4
2010,kansas,1
2010,nevada,2
2010,north dakota,2
2010,texas,4
2010,utah,5
2010,wyoming,3
2011,california,8
2011,colorado,6
2011,idaho,3
2011,kansas,1
2011,nevada,3
2011,north dakota,2
2011,texas,3
2011,utah,5
2011,wyoming,2
2012,california,5
2012,colorado,6
2012,idaho,2
2012,kansas,1
2012,nevada,2
2012,north dakota,2
2012,texas,3
2012,utah,4
2012,wyoming,3
2013,california,7
2013,colorado,6
2013,idaho,2
2013,kansas,1
2013,nevada,3
2013,north dakota,2
2013,texas,2
2013,utah,5
2013,wyoming,3
2014,california,7
2014,colorado,6
2014,idaho,3
2014,kansas,1
2014,nevada,3
2014,north dakota,2
2014,texas,2
2014,utah,5
2014,wyoming,3
2015,california,10
2015,colorado,6
2015,idaho,3
2015,kansas,1
2015,north dakota,2
2015,texas,2
2015,utah,5
2015,wyoming,2
2016,california,11
2016,colorado,6
2016,idaho,2
2016,kansas,1
2016,nevada,2
2016,north dakota,2
2016,texas,3
2016,utah,5
2016,wyoming,2
2017,california,11
2017,colorado,6
2017,idaho,2
2017,nevada,1
2017,north dakota,2
2017,texas,3
2017,utah,5
2017,wyoming,1
2018,california,6
2018,colorado,7
2018,idaho,2
2018,nevada,1
2018,north dakota,2
2018,texas,2
2018,utah,5
2018,wyoming,1
2019,california,5
2019,colorado,5
2019,idaho,1
2019,texas,1
2019,utah,4
2019,wyoming,3
2020,california,1
2020,colorado,4
2020,north dakota,2
2020,texas,4
2020,utah,1
2021,california,6
2021,colorado,3
2021,idaho,1
2021,north dakota,1
2021,texas,3
2021,utah,6
2022,california,8
2022,colorado,4
2022,idaho,4
2022,texas,4
2022,utah,7
2022,wyoming,2
2023,california,9
2023,colorado,5
2023,idaho,3
2023,north dakota,1
2023,south dakota,1
2023,utah,7
2023,wyoming,2
2024,california,11
2024,colorado,7
2024,idaho,3
2024,north dakota,1
2024,texas,3
2024,utah,7
2024,wyoming,2
2025,california,4
2025,colorado,5
2025,idaho,1
2025,oregon,1
2025,texas,1
2025,utah,7
2025,wyoming,2
