row_id,agent
0,silver iodide
0,hygroscopic aerosols
1,silver iodide
1,hygroscopic aerosols
2,silver iodide
2,hygroscopic aerosols
3,silver iodide
3,hygroscopic aerosols
4,silver iodide
5,silver iodide
6,silver iodide
7,silver iodide
8,silver iodide
9,silver iodide
9,sodium iodide
10,silver iodide
10,sodium iodide
11,silver iodide
11,sodium iodide
12,silver iodide
12,sodium iodide
13,silver iodide
13,sodium iodide
14,silver iodide
15,silver iodide
16,silver iodide
16,calcium chloride
17,silver iodide
17,calcium chloride
18,silver iodide
19,silver iodide
20,silver iodide
21,silver iodide
22,silver iodide
23,silver iodide
24,silver iodide
25,silver iodide
25,sodium iodide
26,silver iodide
26,sodium iodide
27,silver iodide
27,sodium iodide
28,silver iodide
28,sodium iodide
29,silver iodide
29,sodium iodide
30,silver iodide
30,hygroscopic aerosols
31,silver iodide
31,hygroscopic aerosols
32,silver iodide
33,silver iodide
33,ammonium iodide
34,silver iodide
35,silver iodide
36,silver iodide
37,silver iodide
37,sodium iodide
38,silver iodide
39,silver iodide
39,sodium iodide
40,silver iodide
41,silver iodide
42,silver iodide
43,silver iodide
43,calcium chloride
44,silver iodide
44,calcium chloride
45,silver iodide
46,silver iodide
46,calcium chloride
47,silver iodide
48,silver iodide
49,silver iodide
50,silver iodide
51,silver iodide
52,silver iodide
53,silver iodide
53,ammonium iodide
54,silver iodide
54,hygroscopic aerosols
55,silver iodide
55,hygroscopic aerosols
56,silver iodide
57,silver iodide
58,silver iodide
59,silver iodide
60,silver iodide
61,silver iodide
62,silver iodide
62,sodium iodide
63,silver iodide
63,sodium iodide
64,silver iodide
65,silver iodide
66,silver iodide
66,liquid propane
67,silver iodide
68,silver iodide
69,silver iodide
69,calcium chloride
70,silver iodide
70,calcium chloride
71,silver iodide
71,calcium chloride
72,silver iodide
73,silver iodide
74,silver iodide
75,silver iodide
76,silver iodide
77,silver iodide
78,silver iodide
79,silver iodide
80,silver iodide
81,silver iodide
82,silver iodide
83,silver iodide
83,hygroscopic aerosols
84,silver iodide
84,hygroscopic aerosols
85,silver iodide
86,silver iodide
86,ammonium iodide
87,silver iodide
88,silver iodide
89,silver iodide
90,silver iodide
90,sodium iodide
91,silver iodide
92,silver iodide
93,silver iodide
93,sodium iodide
94,silver iodide
94,sodium iodide
95,silver iodide
96,silver iodide
97,silver iodide
97,propane
98,silver iodide
98,calcium chloride
99,silver iodide
99,calcium chloride
100,silver iodide
101,silver iodide
101,calcium chloride
102,silver iodide
103,silver iodide
104,silver iodide
105,silver iodide
106,silver iodide
107,silver iodide
108,silver iodide
109,silver iodide
110,silver iodide
111,silver iodide
112,silver iodide
112,ammonium iodide
113,silver iodide
114,silver iodide
114,sodium iodide
115,silver iodide
116,silver iodide
117,silver iodide
117,sodium iodide
118,silver iodide
119,silver iodide
119,sodium iodide
120,silver iodide
120,propane
121,silver iodide
122,silver iodide
123,silver iodide
124,silver iodide
125,silver iodide
126,silver iodide
127,silver iodide
128,silver iodide
129,silver iodide
130,sulfur dioxide
130,calcium carbonate
