ISO3,Country,n_points,mean_scenario_risk,high_risk_share,slr_ge_4_share,slr_ge_7_share,baseline_tc_hazard,future_tc_hazard,scenario,Mang_Ha_2020,Risk_Pop_2020,Risk_Stock_2020,Ben_Pop_2020,Ben_Stock_2020,risk_pop_proxy,risk_stock_proxy
ABW,Aruba,2,0.3507899795202733,1.0,1.0,1.0,0.24025745927215128,0.27629607816297397,ssp245,43.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,Angola,106,0.18862850988842766,0.0,1.0,0.9245283018867925,0.10612475889402662,0.014436971917470415,ssp245,51756.0,11775.0,41409776.0,6739.0,41700883.0,2221.1007039362357,7811064.341693575
ANT,NetherlandsAntilles,3,0.3023248304606443,0.0,1.0,0.3333333333333333,0.18582401275154078,0.21369761466427187,ssp245,228.0,458.0,0.0,6468.0,0.0,138.4647723509751,0.0
ARE,United Arab Emirates,3,0.4016171843106646,1.0,1.0,0.3333333333333333,0.3172674917105156,0.3331308662960414,ssp245,7393.0,249755.0,570497070.0,111891.0,352075128.0,100305.89986751004,229121426.91088414
ATG,Antigua and Barbuda,14,0.32407412309795935,0.0,1.0,1.0,0.1784368718172567,0.2052024025898452,ssp245,869.0,1050.0,37536879.0,452.0,13802800.0,340.2778292528573,12164731.145759206
AUS,Australia,1573,0.3282686771771045,0.46853146853146854,1.0,0.8385251112523839,0.2649324119399638,0.22624226180368565,ssp245,988392.0,98148.0,5895729369.0,111606.0,5565606181.0,32218.914127578453,1935383280.955835
BEN,Benin,1,0.1595982142857143,0.0,1.0,0.0,,0.0,ssp245,2970.0,70975.0,102402912.0,7469.0,6886351.0,11327.483258928572,16343321.892857144
BGD,Bangladesh,2130,0.2851084048740569,0.28075117370892017,1.0,0.4784037558685446,0.15008373740001069,0.15758792427001123,ssp245,531711.0,657059.0,1352366845.0,621358.0,1286290673.0,187333.04339814297,385571153.982511
BHS,Bahamas,197,0.3369326388522321,0.38071065989847713,1.0,1.0,0.19449737980284187,0.2236719867732681,ssp245,145902.0,6953.0,358419473.0,2378.0,149169432.0,2342.69263793957,120763218.85391636
BLZ,Belize,84,0.49961792819498685,1.0,1.0,0.9761904761904762,0.34017345397769383,0.3911994720743479,ssp245,68012.0,3252.0,14005376.0,5925.0,20171289.0,1624.7575024900973,6997336.940711793
BMU,Bermuda,2,0.2704167314170908,0.0,1.0,1.0,0.08736950370467363,0.10047492926037466,ssp245,21.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,Brazil,2870,0.20185196576806835,0.0017421602787456446,1.0,0.9770034843205575,0.1372122796424395,0.03768297120734873,ssp245,1138408.0,348868.0,2319344780.0,265511.0,1002668479.0,70419.69159357448,468164303.13690805
BRB,Barbados,1,0.35746689466456133,1.0,1.0,0.0,0.25560315156595936,0.29394362430085325,ssp245,11.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,Brunei Darussalam,37,0.551308113519517,1.0,1.0,0.9459459459459459,0.4724154543763932,0.5102086907265047,ssp245,18707.0,4636.0,56058429.0,1602.0,9281843.0,2555.864414276481,30905466.738857787
CHN,China,27,0.2870545058632939,0.0,1.0,0.8888888888888888,0.16332182013733917,0.1763875657483263,ssp245,24926.0,16077932.0,124137014007.0,764842.0,7632534942.0,4615242.82556364,35634089215.124176
CIV,C̫te d'Ivoire,12,0.1415922619047619,0.0,1.0,0.08333333333333333,,0.0,ssp245,6453.0,82261.0,98886688.0,32548.0,12765872.0,11647.521056547619,14001589.826190475
CMR,Cameroon,748,0.17490480567226893,0.0,1.0,0.983957219251337,,0.0,ssp245,211303.0,9922.0,13652327.0,159861.0,88430743.0,1735.4054818802524,2387857.6009092703
COD,D.R. of the Congo,61,0.1803681206088993,0.0,1.0,1.0,,0.0,ssp245,36328.0,0.0,0.0,0.004043,5.0,0.0,0.0
COG,Congo,21,0.1809948979591837,0.0,1.0,1.0,,0.0,ssp245,2500.0,1001.0,9054302.0,1510.0,2081811.0,181.17589285714288,1638782.4665816328
COL,Colombia,500,0.20688011868551098,0.01,1.0,0.492,0.11138697680494354,0.0445770681173384,ssp245,289936.0,71822.0,242069107.0,15055.0,85285326.0,14858.54388423077,50079285.586255655
CRI,Costa Rica,109,0.24958170176352498,0.009174311926605505,0.9908256880733946,0.8623853211009175,0.096765892702673,0.11128077660807394,ssp245,37034.0,4394.0,36007873.0,2729.0,16020972.0,1096.6619975489289,8986906.220224883
CUB,Cuba,553,0.3569311946462473,0.49005424954792043,0.9981916817359855,0.976491862567812,0.21878532503787296,0.2516031237935539,ssp245,342417.0,29447.0,287496675.522528,9227.0,90084960.269174,10510.552888748043,102616531.85108043
CYM,Cayman Islands,21,0.39747766761918113,1.0,1.0,1.0,0.26595877102487353,0.30585258667860454,ssp245,4432.0,0.0,0.0,0.0,0.0,0.0,0.0
DMA,Dominica,2,0.31402994070264056,0.0,1.0,1.0,0.16605091810596914,0.1909585558218645,ssp245,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM,Dominican Republic,63,0.31865170269980414,0.2857142857142857,1.0,0.746031746031746,0.1964724954250356,0.22594336973879092,ssp245,19270.0,42807.0,211021863.0,6554.0,15004277.0,13640.523437470516,67242475.9518348
ECU,Ecuador,487,0.15638154517453798,0.0,1.0,0.23408624229979466,,0.0,ssp245,162785.0,30509.0,143295722.0,16398.0,145772481.0,4771.044561729979,22408806.423261035
ERI,Eritrea,6,0.34201090302949083,0.3333333333333333,1.0,0.6666666666666666,0.18747206981625344,0.19684567330706612,ssp245,7175.0,4570.0,4847504.23871,6838.0,7253224.066586,1562.989826844773,1657899.3021204916
FJI,Fiji,121,0.38503207540070145,0.8181818181818182,1.0,0.9752066115702479,0.3257866922445669,0.2885974666901554,ssp245,48811.0,5564.0,27088891.0,3911.0,18594698.0,2142.318467529503,10430091.922033383
FSM,MicronesiaFederatedStatesof,24,0.42578816076626613,0.9166666666666666,1.0,1.0,0.30835400052249257,0.333022320564292,ssp245,8711.0,2962.0,0.0,420.0,0.0,1261.1845321896803,0.0
GAB,Gabon,569,0.17931874529249311,0.0,1.0,0.9894551845342706,,0.0,ssp245,194197.0,2162.0,5069257.0,1557.0,3320704.0,387.6871273223701,909012.8048051877
GHA,Ghana,22,0.17109375000000002,0.0,1.0,0.9090909090909091,,0.0,ssp245,18391.0,59157.0,249967863.0,18397.0,109352669.0,10121.39296875,42767939.060156256
