country_name,ISO3,mangrove_points,mean_slr_rate_mm_yr,p90_slr_rate_mm_yr,mean_tc_exposure,tc_cat45_share,compound_risk,share_slr_ge_4,share_slr_ge_7,share_high_compound,scenario,risk_rank
AmericanSamoa,ASM,5,10.600000000000001,10.600000000000001,10.083298806987099,0.13015873015873017,0.6624031007751938,1.0,1.0,0.0,SSP2-4.5,1
Samoa,WSM,10,10.475,10.5,11.67096200808456,0.19036925427169332,0.6498062015503875,1.0,1.0,0.0,SSP2-4.5,2
Belize,BLZ,267,10.935393258426966,11.25,8.531756864782466,0.17431223398718976,0.634805657476049,1.0,1.0,0.0,SSP2-4.5,3
Guam,GUM,8,10.3,10.3,9.873381504119571,0.12181303116147309,0.6321705426356589,1.0,1.0,0.0,SSP2-4.5,4
WallisandFutunaIslands,WLF,4,9.8,9.8,11.641190415118489,0.18717948717948718,0.5817829457364341,1.0,1.0,0.0,SSP2-4.5,5
Tuvalu,TUV,1,9.55,9.55,9.041772698550734,0.22058823529411764,0.527507137261532,1.0,1.0,0.0,SSP2-4.5,6
MicronesiaFederatedStatesof,FSM,100,9.188500000000001,9.650000000000002,8.947842452256962,0.1707410210968873,0.47969542913196944,1.0,1.0,0.0,SSP2-4.5,7
Philippines,PHL,2535,10.457317554240632,13.9,6.207344184749841,0.06103863498293389,0.47801677258015796,1.0,1.0,0.13057199211045364,SSP2-4.5,8
United States,USA,1190,9.937394957983194,14.600000000000001,6.117367319673036,0.07641626108771367,0.40732266193046057,1.0,1.0,0.18319327731092436,SSP2-4.5,9
Cayman Islands,CYM,35,8.78714285714286,8.850000000000001,7.898511567111082,0.08383233532934131,0.40232882850669527,1.0,1.0,0.0,SSP2-4.5,10
Palau,PLW,31,8.687096774193549,8.700000000000001,8.101891386804562,0.08670520231213873,0.40168005078745683,1.0,1.0,0.0,SSP2-4.5,11
SolomonIslands,SLB,370,8.247837837837837,8.5,9.046200397356717,0.139933104144608,0.3965105921052409,1.0,1.0,0.0,SSP2-4.5,12
Mayotte,MYT,41,8.700000000000001,8.700000000000001,7.808552258316752,0.06521739130434782,0.3901789604297862,1.0,1.0,0.0,SSP2-4.5,13
Japan,JPN,93,9.563978494623658,9.600000000000001,5.970338646953081,0.03201628513980992,0.38637241584708465,1.0,1.0,0.0,SSP2-4.5,14
Fiji,FJI,319,8.469592476489028,8.700000000000001,8.196559917447695,0.09918619479190251,0.38517248981197644,1.0,1.0,0.0,SSP2-4.5,15
Comoros,COM,3,8.816666666666668,8.840000000000002,7.317084217179473,0.05720390228170604,0.37964656333138797,1.0,1.0,0.0,SSP2-4.5,16
FrenchPolynesia,PYF,26,8.290384615384614,8.7,8.323790715099479,0.1461833185971117,0.37294139132301585,1.0,1.0,0.0,SSP2-4.5,17
Seychelles,SYC,30,8.85,8.9,6.617978833736119,0.05645718934309538,0.35218120861200614,1.0,1.0,0.0,SSP2-4.5,18
Honduras,HND,286,9.112237762237763,11.700000000000001,6.224737659633293,0.31886784058937323,0.3508872312820897,1.0,1.0,0.0,SSP2-4.5,19
Mexico,MEX,3762,9.213822434875066,9.950000000000001,5.9046235253322665,0.09195784931574079,0.3506380569241267,1.0,1.0,0.0,SSP2-4.5,20
Cuba,CUB,1080,8.630555555555556,9.9,6.718270111511354,0.08649467453366733,0.3382865192322037,1.0,1.0,0.0,SSP2-4.5,21
MarshallIslands,MHL,1,8.8,8.8,6.233594471112037,0.25,0.33070813148139705,1.0,1.0,0.0,SSP2-4.5,22
Bahamas,BHS,780,8.85346153846154,9.05,6.0984879920100985,0.0769030069580219,0.32962640696953055,1.0,1.0,0.0,SSP2-4.5,23
Jamaica,JAM,58,8.111206896551725,8.205000000000002,7.547174628944787,0.09100526125395111,0.32388812648673937,1.0,1.0,0.0,SSP2-4.5,24
Tonga,TON,10,8.775,8.9,6.047279460727937,0.04731018565658622,0.3207371918882645,1.0,1.0,0.0,SSP2-4.5,25
Aruba,ABW,12,8.549999999999999,8.65,6.46920534211342,0.09459140292867264,0.3186244224551666,1.0,1.0,0.0,SSP2-4.5,26
NetherlandsAntilles,ANT,31,8.5,8.5,6.405499669313687,0.10344827586206896,0.3113990071786539,1.0,1.0,0.0,SSP2-4.5,27
Taiwan,TWN,57,8.874561403508773,9.0,5.43781888995581,0.025673917853042332,0.3025566220451366,1.0,1.0,0.0,SSP2-4.5,28
Grenada,GRD,45,8.293333333333335,8.3,6.585915673049253,0.08571428571428572,0.300491526537975,1.0,1.0,0.0,SSP2-4.5,29
Nicaragua,NIC,382,8.044240837696336,8.350000000000001,7.613074011421377,0.32794022595347827,0.2986716682891436,1.0,1.0,0.0,SSP2-4.5,30
Barbados,BRB,4,8.3,8.3,6.500823452237059,0.06666666666666667,0.2975171542254922,1.0,1.0,0.0,SSP2-4.5,31
