ISO3,Country,Mang_Ha_2020,sample_count,ha_per_point
ABW,Aruba,43,15.0,2.8666666666666667
AGO,Angola,51756,332.0,155.89156626506025
AIA,Anguilla,5,15.0,0.3333333333333333
ARE,United Arab Emirates,7393,449.0,16.465478841870823
ATG,Antigua and Barbuda,869,80.0,10.8625
AUS,Australia,988392,5666.0,174.44264031062477
BEN,Benin,2970,45.0,66.0
BGD,Bangladesh,531711,2967.0,179.2082912032356
BHR,Bahrain,58,88.0,0.6590909090909091
BHS,Bahamas,145902,1487.0,98.11835911230666
BLZ,Belize,68012,398.0,170.88442211055278
BMU,Bermuda,21,25.0,0.84
BRA,Brazil,1138408,7367.0,154.528030405864
BRB,Barbados,11,5.0,2.2
BRN,Brunei Darussalam,18707,89.0,210.19101123595505
CHN,China,24926,777.0,32.07979407979408
CIV,Côte d'Ivoire,6453,349.0,18.48997134670487
CMR,Cameroon,211303,1032.0,204.75096899224806
COD,"Congo, The Democratic Republic of the",36328,106.0,342.7169811320755
COG,Congo,2500,102.0,24.50980392156863
COL,Colombia,289936,1531.0,189.3768778576094
COM,Comoros,97,12.0,8.083333333333334
CRI,Costa Rica,37034,336.0,110.2202380952381
CYM,Cayman Islands,4432,43.0,103.06976744186046
DJI,Djibouti,779,41.0,19.0
DMA,Dominica,1,9.0,0.1111111111111111
DOM,Dominican Republic,19270,180.0,107.05555555555556
ECU,Ecuador,162785,884.0,184.14592760180994
EGY,Egypt,266,146.0,1.821917808219178
FJI,Fiji,48811,620.0,78.72741935483872
GAB,Gabon,194197,938.0,207.0330490405117
GHA,Ghana,18391,197.0,93.35532994923858
GIN,Guinea,253417,963.0,263.1536863966771
GMB,Gambia,74425,318.0,234.04088050314465
GNB,Guinea-Bissau,297832,1409.0,211.37828246983676
GNQ,Equatorial Guinea,33795,109.0,310.04587155963304
GRD,Grenada,209,66.0,3.1666666666666665
GTM,Guatemala,29554,175.0,168.88
GUY,Guyana,38703,247.0,156.69230769230768
HKG,Hong Kong,546,29.0,18.82758620689655
HND,Honduras,85226,403.0,211.47890818858562
HTI,Haiti,18837,209.0,90.12918660287082
IDN,Indonesia,2913232,19581.0,148.77850977988868
IND,India,492571,3490.0,141.1378223495702
IRN,"Iran, Islamic Republic of",10286,320.0,32.14375
JAM,Jamaica,9767,137.0,71.2919708029197
JPN,Japan,1016,154.0,6.597402597402597
KEN,Kenya,56260,289.0,194.67128027681662
KHM,Cambodia,69351,395.0,175.57215189873418
KNA,Saint Kitts and Nevis,35,5.0,7.0
LBR,Liberia,19726,329.0,59.95744680851064
LCA,Saint Lucia,162,18.0,9.0
LKA,Sri Lanka,18119,517.0,35.04642166344294
MAC,Macao,122,1.0,122.0
MDG,Madagascar,275833,1226.0,224.98613376835237
MDV,Maldives,89,24.0,3.7083333333333335
MEX,Mexico,1004711,4583.0,219.22561640846607
MMR,Myanmar,546707,3023.0,180.84915646708566
MOZ,Mozambique,304897,1751.0,174.1273557966876
MRT,Mauritania,1563,21.0,74.42857142857143
MUS,Mauritius,396,56.0,7.071428571428571
MYS,Malaysia,579537,2998.0,193.30787191460973
NGA,Nigeria,887472,3549.0,250.0625528317836
NIC,Nicaragua,86057,450.0,191.23777777777778
NZL,New Zealand,29676,424.0,69.99056603773585
OMN,Oman,387,155.0,2.496774193548387
PAK,Pakistan,82083,82.0,1001.0121951219512
PAN,Panama,152860,1137.0,134.4415127528584
PER,Peru,11845,54.0,219.35185185185185
PHL,Philippines,274939,4370.0,62.91510297482837
QAT,Qatar,460,168.0,2.738095238095238
SAU,Saudi Arabia,6127,957.0,6.402298850574713
SDN,Sudan,684,91.0,7.516483516483516
SEN,Senegal,232995,762.0,305.76771653543307
SGP,Singapore,15222,17.0,895.4117647058823
SLE,Sierra Leone,172741,753.0,229.40371845949537
SLV,El Salvador,51920,198.0,262.22222222222223
STP,Sao Tome and Principe,48,5.0,9.6
SUR,Suriname,85438,447.0,191.1364653243848
SYC,Seychelles,227,121.0,1.8760330578512396
TCA,Turks and Caicos Islands,15037,224.0,67.12946428571429
TGO,Togo,1455,32.0,45.46875
THA,Thailand,264930,1580.0,167.6772151898734
TTO,Trinidad and Tobago,11169,113.0,98.84070796460178
TWN,"Taiwan, Province of China",167,89.0,1.8764044943820224
TZA,"Tanzania, United Republic of",120155,617.0,194.74068071312803
USA,United States,231525,1875.0,123.48
VCT,Saint Vincent and the Grenadines,106,5.0,21.2
VEN,"Venezuela, Bolivarian Republic of",300542,1894.0,158.68109820485745
VGB,"Virgin Islands, British",109,16.0,6.8125
VNM,Viet Nam,186363,1708.0,109.11182669789227
YEM,Yemen,1566,143.0,10.951048951048952
ZAF,South Africa,2654,158.0,16.79746835443038
SOM,Somalia,5886,74.0,79.54054054054055
PRI,Puerto Rico,8200,122.0,67.21311475409836
CUB,Cuba,342417,1815.0,188.6595041322314
KIR,Kiribati,146,56.0,2.607142857142857
SLB,Solomon Islands,51928,783.0,66.31928480204343
PNG,Papua New Guinea,461059,3382.0,136.32732111176819
NCL,New Caledonia,33481,680.0,49.23676470588235
GLP,Guadeloupe,3415,134.0,25.48507462686567
GUF,French Guiana,83100,460.0,180.65217391304347
TLS,Timor-Leste,1344,55.0,24.436363636363637
FSM,"Micronesia, Federated States of",8711,168.0,51.851190476190474
VUT,Vanuatu,1532,18.0,85.11111111111111
MHL,Marshall Islands,26,24.0,1.0833333333333333
ERI,Eritrea,7175,377.0,19.03183023872679
ASM,American Samoa,32,6.0,5.333333333333333
WSM,Samoa,231,18.0,12.833333333333334
MTQ,Martinique,1944,95.0,20.46315789473684
PYF,French Polynesia,126,75.0,1.68
TON,Tonga,1039,30.0,34.63333333333333
VIR,"Virgin Islands, U.S.",274,22.0,12.454545454545455
MAF,Saint Martin (French part),10,17.0,0.5882352941176471
GUM,Guam,52,13.0,4.0
PLW,Palau,5687,73.0,77.9041095890411
MYT,Mayotte,675,64.0,10.546875
COK,Cook Islands,3,0.0,
ANT,ANT,228,42.0,5.428571428571429
TUV,Tuvalu,9,15.0,0.6
WLF,Wallis and Futuna,29,11.0,2.6363636363636362
