ISO3,Country,mangrove_area_ha,mean_composite,mean_slr_mm_yr,mean_tc_norm,very_high_area_ha,high_or_very_high_area_ha,scenario,share_high_or_very_high
MEX,Mexico,1004711.0,0.5820479264944954,9.198909011564478,0.39846744365032744,461908.37377263804,838537.9827623828,SSP245,0.8346061531747765
IDN,Indonesia,2913232.0000000005,0.30727070062116857,8.14535008426536,0.16243859750416062,458237.8101220572,792245.5645779073,SSP245,0.27194729584801597
AUS,Australia,988391.9999999999,0.49452761278616886,8.052259089304624,0.5598558344676359,472739.55524179304,721669.2029650547,SSP245,0.7301447229085775
CUB,Cuba,342417.0,0.561503428677559,8.662093663911847,0.5141225598346219,164699.74710743804,310533.5438016529,SSP245,0.9068870523415978
BGD,Bangladesh,531711.0,0.3123731909434712,8.478530502190766,0.18826803675728085,125266.59555106168,290496.6400404449,SSP245,0.5463431075160095
PHL,Philippines,274939.0,0.6635969694311153,10.465514874141878,0.44653032330172304,196169.29107551486,263488.45125858125,SSP245,0.9583524027459954
MOZ,Mozambique,304897.0,0.4591097170770872,8.434209023415193,0.3762791143370965,129202.49800114223,230196.36436322104,SSP245,0.7549971444888636
USA,United States,231525.0,0.577844513988035,9.965226666666666,0.4155390279762497,141878.52,213373.44,SSP245,0.9216
BRA,Brazil,1138408.0,0.2519744296092497,8.179435319668794,0.04136656656220304,0.0,205213.2243789874,SSP245,0.18026333650061085
PNG,Papua New Guinea,461059.0,0.3089448323654918,7.138083973979893,0.40805635603796825,58075.43879361326,199719.52542874045,SSP245,0.4331756357185099
MDG,Madagascar,275833.0,0.41436818425045735,8.360929853181077,0.30969578938199044,60521.2699836868,197537.82544861338,SSP245,0.7161500815660685
BHS,Bahamas,145902.0,0.5421436539382306,8.868796234028245,0.4065384847428465,105084.76260928043,145902.0,SSP245,1.0
VNM,Viet Nam,186363.0,0.40799550586797556,8.219379391100704,0.2945295070522732,37316.24473067915,142172.71018735363,SSP245,0.7628805620608899
VEN,"Venezuela, Bolivarian Republic of",300542.0,0.2804716237132422,8.285427666314678,0.06549710170330227,158.68109820485745,132974.7602956705,SSP245,0.44244984160506856
MYS,Malaysia,579537.0,0.23882580993694447,8.100300200133422,0.037806306331664756,7152.39126084056,109992.17911941292,SSP245,0.1897931954636424
TZA,"Tanzania, United Republic of",120155.0,0.3633297251556813,8.213290113452189,0.25375628985770154,8958.071312803891,107496.85575364668,SSP245,0.8946515397082658
COL,Colombia,289936.0,0.18341476276482482,7.885564990202483,0.014853692740690748,4545.045068582625,87113.36381450034,SSP245,0.3004572175048988
NIC,Nicaragua,86057.0,0.5628609287030139,8.114,0.6838468574061658,53164.10222222224,74965.20888888891,SSP245,0.8711111111111114
IND,India,492571.0,0.12604502458814382,7.155759312320917,0.03466526407606905,0.0,73109.39197707735,SSP245,0.14842406876790828
BLZ,Belize,68012.0,0.985197160636572,11.103015075376884,0.9703943212731441,68012.0,68012.0,SSP245,1.0
MEX,Mexico,1004711.0,0.6248494264276565,12.700130918612263,0.39846744365032744,570425.0538948288,924035.9731616845,SSP370,0.9197032511455379
AUS,Australia,988391.9999999999,0.48693803986677453,11.168478644546418,0.5598558344676359,508325.8538651605,789178.5047652663,SSP370,0.7984468761030709
IDN,Indonesia,2913232.0000000005,0.2626023379391206,11.020203258260558,0.16243859750416062,251584.4600377918,654030.3289923908,SSP370,0.22450334507941375
CUB,Cuba,342417.0,0.5118022378839978,11.487823691460056,0.5141225598346219,139608.03305785125,298647.9950413223,SSP370,0.8721763085399449
PHL,Philippines,274939.0,0.5935796224170147,12.778100686498856,0.44653032330172304,173645.68421052632,239769.45743707096,SSP370,0.8720823798627003
MOZ,Mozambique,304897.0,0.48037809367294004,11.711878926327815,0.3762791143370965,176739.26613363787,239076.85950885213,SSP370,0.7841233580810967
MDG,Madagascar,275833.0,0.4660092902600161,11.829853181076674,0.30969578938199044,97643.98205546493,237810.34339314845,SSP370,0.8621533442088091
