ISO3,composite_risk_SSP245,composite_risk_SSP370,composite_risk_SSP585,n_points
ASM,0.8828126787574233,0.889675653910472,0.8909829664609432,5
WSM,0.877143097674781,0.8850532184064599,0.8863486337228744,10
GUM,0.8680531070871227,0.8756035194981866,0.8781697240093287,8
PLW,0.8346469564943009,0.868348197467373,0.8705880418860658,31
MYT,0.8174490045233231,0.8513328430807017,0.8526208337489686,41
FJI,0.788810070990154,0.8286249579228941,0.8315847209964794,319
BLZ,0.8093333339111216,0.8150019902303796,0.8153719914400691,267
PYF,0.7567819251628196,0.8030990535454485,0.8072927092901184,26
SLB,0.7557840840465202,0.7943793641797167,0.8033350939735571,370
CYM,0.7419519314596106,0.7718581578751275,0.7738398205505321,35
FSM,0.7336633086095946,0.7567426350718245,0.7586425590539284,100
SYC,0.6986634022972994,0.7292030697765125,0.7298852683969989,30
VUT,0.6370314005300461,0.7161933697345152,0.7193208780890121,7
JAM,0.6445193016914721,0.6925914848549903,0.6962025079957996,58
JPN,0.6754429781852651,0.6927811526382547,0.6941042085038789,93
PHL,0.6492835888460977,0.6624543273660591,0.6645076884275548,2535
AUS,0.6023375922840255,0.6585075217151344,0.6636221473485904,4049
TON,0.6271516313211966,0.6582714495822392,0.6601508658154059,10
CUB,0.6073558964556963,0.6437120090782713,0.647509975154291,1080
NIC,0.5840330610885677,0.6386538343590255,0.6406452771877456,382
GLP,0.5214755581558309,0.6183396873172722,0.6304347514668512,100
MDG,0.5846927950673877,0.6280548899099935,0.6300089888731499,884
HND,0.5908870423093268,0.6273609284670163,0.6285746892943962,286
MEX,0.5984293431158332,0.6251942328413757,0.6263670196876024,3762
USA,0.5979741454610102,0.621742738022956,0.623312160785826,1190
LCA,0.5563864020044074,0.6178105676057914,0.6229171157176401,16
HKG,0.565055179029799,0.6162185973449722,0.6212102770151853,15
TLS,0.5767576280896718,0.6157358317120764,0.6203930346151086,31
BHS,0.5831910538058097,0.609072246958213,0.613755279013608,780
ABW,0.5742722219497248,0.6086729527753799,0.610820462334695,12
TZA,0.5599644973635844,0.6085648428333522,0.610375960930167,414
ANT,0.5711907844337816,0.6068566244029414,0.6090611546486099,31
MTQ,0.5174721765343335,0.5971477002587444,0.6050567401767579,73
GRD,0.5560897576200701,0.5974564136080296,0.6003470394924382,45
TTO,0.5502529575768602,0.5923424977658568,0.5956940445256304,74
CHN,0.5501224282125458,0.5881874511643271,0.5916329732091349,338
PNG,0.4650862089590738,0.580119212253826,0.5914282686265256,2223
VIR,0.5501210865345262,0.5861493260732721,0.5896199943911715,11
VGB,0.5477843634588241,0.5822268740659994,0.5856547336736523,6
MAF,0.5264545342383569,0.5789545145630701,0.5848196836710985,7
AIA,0.5264545342383569,0.5789545145630701,0.5848196836710985,7
MOZ,0.5399288577364219,0.5805816031798092,0.5831850705071014,1399
MUS,0.5298325695181411,0.5713935648528243,0.5751830671714685,26
DOM,0.5312880783606241,0.5672549886688979,0.5706532172017504,142
ATG,0.47321010230449456,0.554570215442173,0.5645194136824166,72
PRI,0.5248153957477085,0.5557923145439901,0.5587871491870569,87
ARE,0.3973013897433131,0.5345398610132681,0.5529049281906336,221
GTM,0.5005963579999281,0.5509546847996661,0.5518554809942479,130
DMA,0.43485323386027896,0.5362165941475001,0.5476205810115999,9
VNM,0.4954338889761103,0.5385323253263036,0.5464988617291304,1250
SDN,0.4284211885483156,0.5320018191476553,0.5422636075817364,40
TCA,0.5033520006815821,0.5362310434323642,0.5412942137185289,26
BGD,0.47459831260540797,0.5329299342931733,0.5389267627355449,2527
HTI,0.5032040682586431,0.5345533401516749,0.5376532118775775,112
NCL,0.4515229198201443,0.5300825136923865,0.5309916290487968,421
IDN,0.47322119998251516,0.5235574520479924,0.5295256420902896,13953
VEN,0.47970206947518984,0.5240683106099919,0.5277416967127371,1269
ERI,0.41198237955132844,0.5107609693848899,0.5202717575636642,169
TWN,0.4849860559281256,0.513662958221264,0.5163993827224784,57
THA,0.46384567750885775,0.5106073968263531,0.5151875733280549,1195
SAU,0.37669408950816163,0.49925449315642856,0.514493530496301,495
BRA,0.46139075403773533,0.5101344220593033,0.5136817079806834,5377
EGY,0.38931040764298486,0.5006540175381993,0.5133387748395377,88
