COUNTRY,n_mangrove_cells,mean_slr_rate,mean_slr_risk,mean_tc_risk,mean_composite_risk,std_composite_risk,n_high_risk,n_medium_risk,n_low_risk,pct_high_risk,pct_medium_risk,pct_low_risk
ANT,29,10.428571428571429,1.0,0.2070393268259481,0.603519663412974,,0,1,0,0.0,3.4482758620689653,0.0
American Samoa,6,11.792857142857144,1.0,0.640267197411385,0.8201335987056926,,1,0,0,16.666666666666664,0.0,0.0
Angola,107,10.698809523809524,1.0,0.0,0.5,0.0,0,6,0,0.0,5.607476635514018,0.0
Antigua and Barbuda,80,8.907142857142857,0.8907142857142856,0.2286195119549,0.5596668988345929,0.0030859602811254263,0,2,0,0.0,2.5,0.0
Aruba,7,10.62142857142857,1.0,0.2586980045516979,0.629349002275849,,0,1,0,0.0,14.285714285714285,0.0
Australia,3539,9.901819407008086,0.9768800539083559,0.20744940244294097,0.5921647281756484,0.11111822079003238,36,70,0,1.0172365074879908,1.9779598756710937,0.0
Bahamas,615,10.08469387755102,0.994795918367347,0.25743677000236354,0.6261163441848553,0.03355624940950167,1,6,0,0.16260162601626016,0.975609756097561,0.0
Bangladesh,3799,9.395238095238096,0.9242857142857144,0.08279071473773882,0.5035382145117266,0.05253049689029152,0,6,0,0.0,0.1579362990260595,0.0
Barbados,4,9.628571428571428,0.9628571428571427,0.3443539988429827,0.6536055708500628,,0,1,0,0.0,25.0,0.0
Benin,45,10.27857142857143,1.0,0.0,0.5,,0,1,0,0.0,2.2222222222222223,0.0
Brazil,5841,10.03201530612245,0.9890688775510205,0.06130814411048676,0.5251885108307536,0.04558633164665293,0,56,0,0.0,0.9587399417907893,0.0
Cambodia,326,9.761904761904763,0.9761904761904763,0.0793487612915784,0.5277696187410273,0.05743401229621653,0,3,0,0.0,0.9202453987730062,0.0
Cameroon,798,10.257142857142858,1.0,0.0,0.5,0.0,0,3,0,0.0,0.37593984962406013,0.0
Cayman Islands,43,10.335714285714287,0.997857142857143,0.4411138951021601,0.7194855189796516,0.014460887917971168,2,0,0,4.651162790697675,0.0,0.0
China,424,9.905042016806723,0.9872268907563025,0.1583194790510485,0.5727731849036755,0.05614023079824101,1,16,0,0.2358490566037736,3.7735849056603774,0.0
Colombia,704,10.656632653061225,0.9699489795918367,0.08781789898074231,0.5288834392862894,0.0878544535437484,2,12,0,0.2840909090909091,1.7045454545454544,0.0
Comoros,10,10.628571428571428,1.0,0.4320442232395932,0.7160221116197967,0.025952648847306064,2,0,0,20.0,0.0,0.0
Congo,177,10.633333333333331,1.0,0.0,0.5,0.0,0,3,0,0.0,1.694915254237288,0.0
Costa Rica,22,10.310714285714287,1.0,0.0542537606640049,0.5271268803320025,0.023760230336539262,0,2,0,0.0,9.090909090909092,0.0
Cuba,1018,10.354621848739496,0.9772268907563026,0.3097610495725851,0.6434939701644439,0.0652748146120638,7,10,0,0.68762278978389,0.9823182711198428,0.0
Côte d'Ivoire,296,10.151428571428571,1.0,0.0,0.5,0.0,0,5,0,0.0,1.6891891891891893,0.0
Djibouti,33,9.685714285714289,0.9685714285714287,0.0206517206769625,0.4946115746241957,,0,1,0,0.0,3.0303030303030303,0.0
Dominican Republic,66,9.904285714285715,0.9904285714285714,0.178786061628111,0.5846073165283412,0.056188281101118676,0,5,0,0.0,7.575757575757576,0.0
Ecuador,444,9.315714285714286,0.9315,0.0,0.46575,0.023312946633268414,0,10,0,0.0,2.2522522522522523,0.0
Egypt,94,9.39107142857143,0.9391071428571429,0.0656505593706903,0.5023788511139166,0.03775018179725626,0,4,0,0.0,4.25531914893617,0.0
El Salvador,255,9.857142857142858,0.9857142857142855,0.07235232212665375,0.5290333039204698,0.021064140242100873,0,2,0,0.0,0.7843137254901961,0.0
Eritrea,66,9.669047619047621,0.966904761904762,0.20222656118548,0.584565661545121,0.018433047509578606,0,3,0,0.0,4.545454545454546,0.0
Fiji,318,10.546938775510204,1.0,0.4325403827037578,0.7162701913518789,0.044901833091576845,6,1,0,1.8867924528301887,0.3144654088050315,0.0
French Guiana,266,10.028571428571428,0.9982142857142856,0.0,0.4991071428571428,0.0012626906806903373,0,2,0,0.0,0.7518796992481203,0.0
French Polynesia,7,9.65,0.965,0.1076084329093639,0.536304216454682,0.024573821933938103,0,2,0,0.0,28.57142857142857,0.0
Gabon,631,10.583333333333334,1.0,0.0,0.5,0.0,0,6,0,0.0,0.9508716323296356,0.0
Gambia,40,9.464285714285714,0.9464285714285714,0.0,0.4732142857142857,,0,1,0,0.0,2.5,0.0
Ghana,193,10.315714285714284,1.0,0.0,0.5,0.0,0,5,0,0.0,2.5906735751295336,0.0
Grenada,59,10.064285714285713,1.0,0.25515883437050274,0.6275794171852513,0.007076500042306945,0,2,0,0.0,3.389830508474576,0.0
Guam,10,10.342857142857143,1.0,0.6262830509731586,0.8131415254865793,,1,0,0,10.0,0.0,0.0
Guatemala,85,9.957142857142859,0.995714285714286,0.1567585264194405,0.5762364060668632,0.03207006545318705,0,2,0,0.0,2.3529411764705883,0.0
Guinea,438,9.642857142857144,0.9642857142857144,0.0,0.48214285714285715,0.0035174492149272025,0,3,0,0.0,0.684931506849315,0.0
Guinea-Bissau,1594,9.65,0.965,0.006883906892320833,0.4859419534461604,0.009305896578811307,0,3,0,0.0,0.18820577164366373,0.0
Guyana,124,10.040476190476191,0.9995238095238097,0.018949614534086733,0.5092367120289482,0.016617044103152536,0,3,0,0.0,2.4193548387096775,0.0
Haiti,77,10.316666666666666,1.0,0.28294588267440396,0.6414729413372019,0.06786645272602304,2,1,0,2.5974025974025974,1.2987012987012987,0.0
Honduras,59,10.811904761904762,0.9904761904761904,0.34333449319902615,0.6669053418376083,0.1571218913341904,2,1,0,3.389830508474576,1.694915254237288,0.0
India,1374,9.524404761904764,0.9480952380952381,0.03672885983833602,0.49241204896678714,0.03631633506542368,0,36,0,0.0,2.6200873362445414,0.0
Indonesia,14170,9.890290846877674,0.9838879384088965,0.10163919873662672,0.5427635685727616,0.06383106976260787,11,156,0,0.0776287932251235,1.1009174311926606,0.0
"Iran, Islamic Republic of",251,9.276785714285714,0.9276785714285714,0.04318098679234498,0.48542977911045815,0.02884330353337659,0,8,0,0.0,3.187250996015936,0.0
Jamaica,131,10.147619047619047,1.0,0.4175942242480974,0.7087971121240487,0.02628212774088298,3,0,0,2.2900763358778624,0.0,0.0
Japan,134,11.30918367346939,1.0,0.22887783519772922,0.6144389175988646,0.0727073344998569,2,5,0,1.4925373134328357,3.731343283582089,0.0
