Country,cri_ssp245_mean,cri_ssp245_median,cri_ssp245_max,cri_ssp245_std,slr_score_ssp245_mean,slr_rate_2100_ssp245_mean,slr_rate_2100_ssp245_std,cri_ssp370_mean,cri_ssp370_median,cri_ssp370_max,cri_ssp370_std,slr_score_ssp370_mean,slr_rate_2100_ssp370_mean,slr_rate_2100_ssp370_std,cri_ssp585_mean,cri_ssp585_median,cri_ssp585_max,cri_ssp585_std,slr_score_ssp585_mean,slr_rate_2100_ssp585_mean,slr_rate_2100_ssp585_std,tc_score_mean,tcri_mean,tc_freq_major_mean,uid_count,ISO3,Mang_Ha_2020,Risk_Pop_2020,Risk_Stock_2020,Ben_Pop_2020,Ben_Stock_2020,area_risk_ssp245,pop_risk_ssp245,stock_risk_ssp245,area_risk_ssp370,pop_risk_ssp370,stock_risk_ssp370,area_risk_ssp585,pop_risk_ssp585,stock_risk_ssp585
ANT,0.4418941224669133,0.4343434343434343,0.46023984868606377,0.014293959486917248,0.8591654247391952,8.505737704918033,0.08653015556895868,0.46521178840753,0.45769230769230773,0.4835887220349372,0.01532951529919633,0.9058007566204289,11.775409836065576,0.1294051715150868,0.46256111154124135,0.4503311258278146,0.4795387984485897,0.01584699261554105,0.9004994028878515,13.597540983606558,0.11242122292660678,0.02462282019463131,0.0012916045702930949,0.00288127173373075,122,ANT,228,458,0.0,6468.0,0.0,100.75185992245623,2858.171184115995,0.0,106.06828775691685,3008.989847419904,0.0,105.46393343140304,2991.845269448749,0.0
American Samoa,0.5479399573423478,0.4848484848484849,0.7330677290836654,0.1104837300542096,0.955959595959596,9.632,0.6829592471980539,0.5473447747471653,0.48461538461538467,0.7253754213913577,0.10431362148226421,0.9547692307692308,12.412,0.4447096431006037,0.5581720798923511,0.49668874172185423,0.7330677290836654,0.10626762636538624,0.9764238410596026,14.892000000000001,0.7319608368394215,0.1399203187250996,0.007339602925809823,0.028606060606060604,25,ASM,32,0,0.0,0.0,0.0,17.53407863495513,0.0,0.0,17.515032791909288,0.0,0.0,17.861506556555234,0.0,0.0
Angola,0.4111329905553733,0.40909090909090906,0.4191919191919192,0.005306730637006204,0.8222659811107466,8.14043321299639,0.105073266612723,0.4555123576784227,0.4538461538461539,0.46153846153846156,0.003942592781608052,0.9110247153568454,11.84332129963899,0.10250741232180967,0.46471178903579025,0.46357615894039733,0.47019867549668876,0.00498054067950554,0.9294235780715805,14.034296028880867,0.15041232852106787,0.0,0.0,0.0,277,AGO,51756,11775,41409776.0,6739.0,41700883.0,21278.5990591839,2770.6252233526607,17144608.736589726,23575.497584004446,3069.6977783948905,18995267.532602057,24051.62335333636,3131.6927463121906,19378891.943302173
Anguilla,0.4319288502555435,0.4319288502555435,0.4319288502555435,0.0,0.8080808080808081,8.0,0.0,0.4432730615997549,0.4432730615997549,0.4432730615997549,0.0,0.8307692307692308,10.8,0.0,0.4583520223740798,0.4583520223740798,0.4583520223740798,0.0,0.8609271523178808,13.0,0.0,0.0557768924302789,0.0029258098223615466,0.012121212121212121,15,AIA,5,0,0.0,0.0,0.0,2.1596442512777174,0.0,0.0,2.2163653079987746,0.0,0.0,2.291760111870399,0.0,0.0
Antigua and Barbuda,0.41858953076582556,0.41941325606664254,0.41941325606664254,0.0012294905466109303,0.7430555555555556,7.35625,0.23321840147126036,0.4376867529880478,0.4403922770456635,0.4403922770456635,0.004038259173498704,0.78125,10.15625,0.23321840147126116,0.4582786404052664,0.45975040236405373,0.45975040236405373,0.0021967486167974648,0.8224337748344371,12.418750000000001,0.3265057620597641,0.09412350597609562,0.00493730407523511,0.020454545454545454,80,ATG,869,1050,37536879.0,452.0,13802800.0,363.7543022355024,189.20246790615315,5777707.575254537,380.34978834661354,197.8344123505976,6041302.714143426,398.2441385121765,207.1419454631804,6325528.417785811
Aruba,0.4496037253127703,0.4444444444444445,0.5,0.024126572552985375,0.8947894789478947,8.912871287128713,0.5960978722217741,0.4676316819545884,0.46538461538461545,0.5,0.017520963302753115,0.9308453922315308,12.17029702970297,0.5792313103511315,0.4617526223216765,0.45695364238410596,0.5,0.018670935293521738,0.9190872729657072,13.9,0.5707889277132133,0.004417971677645852,0.00023174731266230067,0.0016801680168016802,101,ABW,43,0,0.0,0.0,0.0,19.332960188449125,0.0,0.0,20.1081623240473,0.0,0.0,19.85536275983209,0.0,0.0
Australia,0.5251354234472703,0.44202986035655367,0.9343434343434343,0.16097164916906712,0.8102354082814656,8.02133054198651,0.5435937645443715,0.5492454466849976,0.46538461538461545,0.9307692307692308,0.1519188886404529,0.8584554547569202,11.159920911839963,0.5479273466234036,0.5784086280193292,0.49808712171182823,0.9768211920529801,0.1648131080701942,0.9167818174255834,13.84340544312631,0.686755738574844,0.24003543861307505,0.013274745189946,0.03434625388568166,4299,AUS,988392,98148,5895729369.0,111606.0,5565606181.0,519039.6514518944,58608.264069256045,2922696958.6001797,542869.8055398782,61299.08732272585,3056883852.9561286,571694.4606652808,64553.87333872526,3219194635.2481084
Bahamas,0.48702520322075005,0.4864179645056139,0.5939876856211517,0.045312409933946696,0.8959860641761921,8.870262035344302,0.24361203077745017,0.4701389071754047,0.45769230769230773,0.5817499233833895,0.05006830432623331,0.8622134720855014,11.208775137111518,0.46936233210185524,0.475133563031472,0.4649745389303712,0.576528323790929,0.045070777161820785,0.8722027837976358,13.170262035344303,0.44840420798051756,0.07806434226530806,0.004094911161670286,0.01695196941997673,1641,BHS,145902,6953,358419473.0,2378.0,149169432.0,71057.95120031387,1158.1459332589436,72649272.93412386,68594.2068347059,1117.9903212631123,70130353.74445584,69322.93711341782,1129.8676128888403,70875403.72154087
Bahrain,0.32760942760942763,0.3282828282828283,0.33333333333333337,0.004700149430301366,0.6552188552188553,6.486666666666666,0.09306295871996707,0.3640683760683761,0.36153846153846153,0.3692307692307693,0.004035916984281338,0.7281367521367522,9.46577777777778,0.1049338415913149,0.4222516556291391,0.423841059602649,0.423841059602649,0.002053628548378446,0.8445033112582782,12.752,0.06201958216102858,0.0,0.0,0.0,225,BHR,58,0,0.0,0.0,0.0,19.001346801346802,0.0,0.0,21.115965811965815,0.0,0.0,24.490596026490067,0.0,0.0
Bangladesh,0.42198849892780055,0.395508873596523,0.5318725099601593,0.06108161935954163,0.809468291821233,8.373926868044515,1.9038799612537962,0.4421351161332413,0.4280263561140055,0.5318725099601593,0.04863231382932111,0.8497615262321147,11.407090620031797,1.914323593758379,0.46542605413006166,0.4557135695628084,0.5398934065064246,0.0399476431408357,0.8963434022257551,13.940000000000001,1.900892719164073,0.03450870603436809,0.0018101745485112623,0.011625957508310449,3145,BGD,531711,657059,1352366845.0,621358.0,1286290673.0,224375.92675339975,262205.9297167803,542799870.2841003,235088.10473432185,274724.19149031857,568714276.0879601,247472.1526675492,289196.2021421469,598673192.3986914
