region,cri_mean,cri_std,n_points,tc_mean,slr_mean,slr_rate,tc_freq,ssp
Eastern Pacific,0.5864904255966654,0.14912345889771386,1366,0.3282302707180065,0.8447505804753244,8.396486090775989,0.0712808909002174,ssp245
Gulf of Mexico / Caribbean,0.49170476209699915,0.09711143819391566,15557,0.09615814558824547,0.8872513786057529,8.956392620685222,0.019262497053845,ssp245
Northwest Pacific,0.473820313361029,0.07369451451129064,11234,0.056048903903701555,0.8915917228183563,9.196021007655332,0.011948036534114512,ssp245
Oceania / Southwest Pacific,0.4922630688472671,0.12177155606639449,24839,0.17862380342954445,0.8059023342649898,7.9790168686340035,0.02565052269951823,ssp245
Other,0.4287295263390881,0.03413560952176497,241,0.021589988593344465,0.8358690640848317,8.275103734439835,0.005783980887715327,ssp245
South America (Atlantic),0.40253118500328566,0.033351564263943936,10256,0.003855094442821538,0.8012072755637498,7.931952028081124,0.0011936841110008036,ssp245
South/Southeast Asia,0.4026510595039849,0.04825481652573163,18512,0.017589753346165898,0.7877123656618039,7.895910760587727,0.0037371336528639904,ssp245
West Africa / Indian Ocean (West),0.40823610785862363,0.03934762615105535,17995,0.017547149551280845,0.7989250661659665,7.909358155043067,0.003685872338275784,ssp245
Eastern Pacific,0.6219116214497793,0.1477963339512524,1366,0.3282302707180065,0.915592972181552,11.99289897510981,0.0712808909002174,ssp370
Gulf of Mexico / Caribbean,0.5071699594095963,0.0897702686218416,15557,0.09615814558824547,0.9181817732309473,12.151475220158128,0.019262497053845,ssp370
Northwest Pacific,0.477720772188495,0.06550987295821549,11234,0.056048903903701555,0.8993926404732885,11.918915791347695,0.011948036534114512,ssp370
Oceania / Southwest Pacific,0.51092400674811,0.11984172144545681,24839,0.17862380342954445,0.8432242100666756,10.961987197552236,0.02565052269951823,ssp370
Other,0.44306438465734893,0.031696333377526247,241,0.021589988593344465,0.8645387807213533,11.239004149377594,0.005783980887715327,ssp370
South America (Atlantic),0.4359522832108504,0.016004153537141026,10256,0.003855094442821538,0.8680494719788792,11.28464313572543,0.0011936841110008036,ssp370
South/Southeast Asia,0.4234182394814069,0.04204937291235363,18512,0.017589753346165898,0.8292467256166479,10.875983146067416,0.0037371336528639904,ssp370
West Africa / Indian Ocean (West),0.43496567942009295,0.04062856015473179,17995,0.017547149551280845,0.8523842092889051,11.08103917754932,0.003685872338275784,ssp370
Eastern Pacific,0.5940236030657507,0.14545480429737334,1366,0.3282302707180065,0.8598169354134951,12.996778916544658,0.0712808909002174,ssp585
Gulf of Mexico / Caribbean,0.5028203851311086,0.09048399004339697,15557,0.09615814558824547,0.9094826246739718,13.896233206916502,0.019262497053845,ssp585
Northwest Pacific,0.48861328646203567,0.06399550415718103,11234,0.056048903903701555,0.9211776690203698,14.230220758411965,0.011948036534114512,ssp585
Oceania / Southwest Pacific,0.5451326855760841,0.1260130212103027,24839,0.17862380342954445,0.9116415677226238,13.766242602359194,0.02565052269951823,ssp585
Other,0.4400082613132423,0.029680590767980512,241,0.021589988593344465,0.8584265340331401,12.962240663900415,0.005783980887715327,ssp585
South America (Atlantic),0.42684211830756547,0.021153240303210682,10256,0.003855094442821538,0.8498291421723094,12.832420046801873,0.0011936841110008036,ssp585
South/Southeast Asia,0.4505575493192849,0.0355381694043717,18512,0.017589753346165898,0.8835253452924038,13.445721694036301,0.0037371336528639904,ssp585
West Africa / Indian Ocean (West),0.4459227828890052,0.030671990211608467,17995,0.017547149551280845,0.8742984162267297,13.20190608502362,0.003685872338275784,ssp585
