Country,ISO3,n_points,mean_tc_risk,frac_intense_storm_exposed,mean_composite_risk_ssp245,frac_very_high_ssp245,frac_high_ssp245,frac_at_or_above_high_ssp245,mean_slr_rate_ssp245_2100,mean_composite_risk_ssp370,frac_very_high_ssp370,frac_high_ssp370,frac_at_or_above_high_ssp370,mean_slr_rate_ssp370_2100,mean_composite_risk_ssp585,frac_very_high_ssp585,frac_high_ssp585,frac_at_or_above_high_ssp585,mean_slr_rate_ssp585_2100,Mang_Ha_2020,Risk_Pop_2020,Risk_Stock_2020,Ben_Pop_2020,Ben_Stock_2020
Samoa,WSM,1,1.0,1.0,0.91,1.0,0.0,1.0,10.5,0.956,1.0,0.0,1.0,12.8,1.0,1.0,0.0,1.0,15.6,231.0,543.0,0.0,2568.0,0.0
Wallis and Futuna,WLF,39,0.9976135936430993,1.0,0.8506016686164214,1.0,0.0,1.0,8.553846153846154,0.9327042327189855,1.0,0.0,1.0,11.694871794871794,0.988447822462575,1.0,0.0,1.0,14.48205128205128,29.0,0.0,0.0,0.0,0.0
Guam,GUM,1,1.0,1.0,0.9,1.0,0.0,1.0,10.0,0.934,1.0,0.0,1.0,11.7,0.988,1.0,0.0,1.0,14.4,52.0,0.0,0.0,0.0,0.0
Vanuatu,VUT,4,1.0,1.0,0.8375000000000001,1.0,0.0,1.0,8.125000000000002,0.9295000000000001,1.0,0.0,1.0,11.474999999999998,0.987,1.0,0.0,1.0,14.350000000000001,1532.0,5656.0,50318275.816529,1607.0,14296582.25551
"Micronesia, Federated States of",FSM,10,0.9748110372461533,1.0,0.8587388519564099,1.0,0.0,1.0,9.14,0.9384055186230764,1.0,0.0,1.0,12.55,0.9838055186230766,1.0,0.0,1.0,15.000000000000004,8711.0,2962.0,0.0,420.0,0.0
Cayman Islands,CYM,22,0.997429444246674,1.0,0.8771995706081855,1.0,0.0,1.0,9.354545454545455,0.947987449396064,1.0,0.0,1.0,12.463636363636361,0.9835329039415189,1.0,0.0,1.0,14.240909090909092,4432.0,0.0,0.0,0.0,0.0
French Polynesia,PYF,3,1.0,1.0,0.8400000000000002,1.0,0.0,1.0,8.200000000000001,0.922,1.0,0.0,1.0,11.1,0.968,1.0,0.0,1.0,13.4,126.0,1753.0,0.0,122.0,0.0
Seychelles,SYC,1,0.947090428922686,1.0,0.8368785477946763,1.0,0.0,1.0,8.9,0.933545214461343,1.0,0.0,1.0,13.0,0.949545214461343,1.0,0.0,1.0,13.8,227.0,5287.0,33278197.0,652.0,13548792.0
Solomon Islands,SLB,115,0.9337464315834075,1.0,0.8088442302844574,0.9739130434782609,0.017391304347826087,0.991304347826087,8.259130434782609,0.8763224911540226,0.9826086956521739,0.008695652173913044,0.991304347826087,10.48,0.9443862592699646,0.9826086956521739,0.017391304347826087,1.0,13.875652173913045,51928.0,12568.0,15205621.486379,4837.0,5852131.693954
Belize,BLZ,95,0.808712656789958,1.0,0.816440538921295,0.7894736842105263,0.08421052631578947,0.8736842105263158,10.64421052631579,0.8822510652370843,0.8315789473684211,0.05263157894736842,0.8842105263157894,13.8978947368421,0.9043563283949791,0.8315789473684211,0.16842105263157894,1.0,15.84,68012.0,3252.0,14005376.0,5925.0,20171289.0
Jamaica,JAM,23,0.7716886479809009,1.0,0.7238153384832041,0.782608695652174,0.21739130434782608,1.0,8.139130434782608,0.8101051935556677,0.782608695652174,0.21739130434782608,1.0,11.213043478260872,0.8506269326861026,0.8695652173913043,0.13043478260869565,1.0,13.23913043478261,9767.0,9981.0,163076058.0,2804.0,40149921.0
Japan,JPN,6,0.6854263424703285,1.0,0.7444909490129419,0.6666666666666666,0.3333333333333333,1.0,10.266666666666667,0.8087131712351643,1.0,0.0,1.0,13.300000000000002,0.833379837901831,1.0,0.0,1.0,15.133333333333333,1016.0,33178.0,1273881731.0,2485.0,392369031.0
Tonga,TON,2,0.6238047536654229,1.0,0.6719023768327115,0.5,0.0,0.5,8.8,0.7579023768327113,0.5,0.5,1.0,12.3,0.8009023768327115,0.5,0.5,1.0,14.45,1039.0,896.0,11031140.544791,1404.0,17285403.264382
Fiji,FJI,84,0.6191224235801234,0.6785714285714286,0.6525374022662521,0.5833333333333334,0.047619047619047616,0.6309523809523809,8.289285714285715,0.7462993070281572,0.6309523809523809,0.0,0.6309523809523809,11.83690476190476,0.7922278784567285,0.6309523809523809,0.08333333333333333,0.7142857142857143,14.133333333333335,48811.0,5564.0,27088891.0,3911.0,18594698.0
Cuba,CUB,354,0.621572598175483,1.0,0.6705904422139185,0.2966101694915254,0.6892655367231638,0.9858757062146892,8.79774011299435,0.7448088979577979,0.4576271186440678,0.5423728813559322,1.0,11.701129943502822,0.7804868640594931,0.7401129943502824,0.2598870056497175,1.0,13.485028248587573,342417.0,29447.0,287496675.522528,9227.0,90084960.269174
Australia,AUS,698,0.584775761415459,0.7779369627507163,0.6255970497621708,0.5186246418338109,0.08595988538681948,0.6045845272206304,7.996275071633237,0.7164547383963636,0.5544412607449857,0.15472779369627507,0.7091690544412608,11.214613180515759,0.7696085110802223,0.5816618911174785,0.22636103151862463,0.8080229226361032,13.861031518624642,988392.0,98148.0,5895729369.0,111606.0,5565606181.0
Philippines,PHL,433,0.5319789188674207,0.9745958429561201,0.6596769113197766,0.3903002309468822,0.2979214780600462,0.6882217090069284,10.051270207852193,0.712728489456805,0.44110854503464203,0.5196304849884527,0.9607390300230947,12.415011547344113,0.7542250252535718,0.5127020785219399,0.48729792147806006,1.0,14.988221709006927,274939.0,817650.0,1465017667.0,327137.0,545975346.0
Comoros,COM,28,0.5523826869788083,1.0,0.6248818196798804,0.17857142857142858,0.6428571428571429,0.8214285714285714,8.460714285714285,0.717548486346547,0.6428571428571429,0.35714285714285715,1.0,12.067857142857141,0.7434056292036899,0.6428571428571429,0.35714285714285715,1.0,13.360714285714284,97.0,0.0,0.0,0.0,0.0
United States,USA,223,0.5042954340620148,0.9955156950672646,0.6181716333239821,0.02242152466367713,0.9596412556053812,0.9820627802690582,9.036322869955157,0.6961477170310075,0.4170403587443946,0.5739910313901345,0.9910313901345291,12.28071748878924,0.7310983896767475,0.9641255605381166,0.03587443946188341,1.0,14.058295964125561,231525.0,329242.0,21150953450.0,64247.0,2352552635.0
Mayotte,MYT,59,0.5357852315015618,1.0,0.6120169095360917,0.11864406779661017,0.8305084745762712,0.9491525423728814,8.323728813559324,0.7038926157507809,0.423728813559322,0.576271186440678,1.0,11.800000000000002,0.7273841411745098,0.5932203389830508,0.4067796610169492,1.0,12.974576271186441,675.0,2167.0,0.0,1335.0,0.0
Mexico,MEX,1029,0.4522096608427547,0.9951409135082604,0.6006969910951707,0.30709426627793973,0.293488824101069,0.6005830903790087,9.252380952380953,0.6807831588956241,0.4013605442176871,0.39552964042759964,0.7968901846452867,12.743245869776482,0.7109075515098128,0.43440233236151604,0.565597667638484,1.0,14.339067055393583,1004711.0,104691.0,1239455750.0,161141.0,1364288402.0
Timor-Leste,TLS,220,0.4199638218079164,0.9045454545454545,0.5567243351463825,0.21363636363636362,0.3409090909090909,0.5545454545454546,8.402272727272727,0.6311182745403219,0.2818181818181818,0.4409090909090909,0.7227272727272728,11.056818181818183,0.6926364563585037,0.45,0.36363636363636365,0.8136363636363636,14.132727272727271,1344.0,2188.0,0.0,3698.0,0.0
Madagascar,MDG,258,0.45747799758427055,1.0,0.5729896447869673,0.1124031007751938,0.627906976744186,0.7403100775193798,8.327519379844961,0.6647700065440734,0.3333333333333333,0.6666666666666666,1.0,11.8015503875969,0.6887002391022128,0.41472868217054265,0.5852713178294574,1.0,12.998062015503876,275833.0,103671.0,31719761.0,20020.0,13838664.0
Hong Kong,HKG,6,0.41617339040160334,1.0,0.5691978063119127,0.0,1.0,1.0,8.833333333333334,0.6430866952008016,0.0,1.0,1.0,11.75,0.679420028534135,0.0,1.0,1.0,13.566666666666665,546.0,57102.0,243074683.0,18509.0,54590872.0
Bahamas,BHS,175,0.4030962571714785,1.0,0.5629767000143108,0.0,0.9085714285714286,0.9085714285714286,8.842857142857143,0.6258795571571679,0.005714285714285714,0.9942857142857143,1.0,11.216571428571429,0.6650795571571678,0.10857142857142857,0.8914285714285715,1.0,13.176571428571426,145902.0,6953.0,358419473.0,2378.0,149169432.0
"Taiwan, Province of China",TWN,11,0.3770148438211461,0.9090909090909091,0.5503256037287549,0.09090909090909091,0.36363636363636365,0.45454545454545453,8.854545454545454,0.6252346946378459,0.2727272727272727,0.6363636363636364,0.9090909090909091,11.836363636363638,0.663416512819664,0.45454545454545453,0.5454545454545454,1.0,13.745454545454544,167.0,389704.0,4891052614.0,70762.0,263254022.0
Papua New Guinea,PNG,785,0.3926313951660574,0.9388535031847134,0.4972880967337718,0.1159235668789809,0.2050955414012739,0.32101910828025476,7.029171974522294,0.6009135744407782,0.2535031847133758,0.5936305732484076,0.8471337579617835,10.299872611464968,0.6589016848441753,0.2980891719745223,0.597452229299363,0.8955414012738854,13.129299363057324,461059.0,22150.0,107732071.677141,8133.0,39556882.119647
Nicaragua,NIC,59,0.3880801816388557,1.0,0.5278818987290325,0.3559322033898305,0.0847457627118644,0.4406779661016949,8.015254237288136,0.6309214467516313,0.4406779661016949,0.0,0.4406779661016949,11.84406779661017,0.6537011077685804,0.4406779661016949,0.0,0.4406779661016949,12.983050847457626,86057.0,5268.0,19362943.0,8175.0,16184777.0
Grenada,GRD,5,0.3711865950277756,1.0,0.5322599641805545,0.0,0.8,0.8,8.4,0.6167932975138879,0.0,1.0,1.0,11.559999999999999,0.6531932975138879,0.0,1.0,1.0,13.38,209.0,1594.0,36869182.0,623.0,18227371.0
Haiti,HTI,30,0.29147315059344964,0.7666666666666667,0.5027365752967249,0.0,0.5333333333333333,0.5333333333333333,8.71,0.5770699086300581,0.0,0.6666666666666666,0.6666666666666666,11.566666666666668,0.6184032419633916,0.3333333333333333,0.6666666666666666,1.0,13.633333333333333,18837.0,29641.0,75816106.0,32354.0,88657453.0
Martinique,MTQ,9,0.3454451628570566,1.0,0.48457443328038013,0.0,0.1111111111111111,0.1111111111111111,7.355555555555556,0.5780559147618617,0.0,1.0,1.0,10.266666666666666,0.6136114703174173,0.0,1.0,1.0,12.044444444444444,1944.0,2384.0,0.0,620.0,0.0
Puerto Rico,PRI,8,0.2820781349603865,1.0,0.4985390674801933,0.0,0.625,0.625,8.725000000000001,0.5725390674801933,0.0,1.0,1.0,11.575,0.6120390674801933,0.0,1.0,1.0,13.55,8200.0,14668.0,753682843.679039,17258.0,886764283.897794
Mozambique,MOZ,324,0.27856758194007414,0.9629629629629629,0.48705128068197123,0.027777777777777776,0.2222222222222222,0.25,8.433024691358025,0.572777618130531,0.11728395061728394,0.7746913580246914,0.8919753086419753,11.674691358024692,0.6068702107231234,0.18518518518518517,0.7808641975308642,0.9660493827160493,13.379320987654326,304897.0,41997.0,23362062.0,28845.0,22122480.0
China,CHN,11,0.27733854343452774,0.7272727272727273,0.49079048383847607,0.0,0.5454545454545454,0.5454545454545454,8.563636363636364,0.5683056353536275,0.0,0.7272727272727273,0.7272727272727273,11.481818181818182,0.6059419989899911,0.09090909090909091,0.9090909090909091,1.0,13.363636363636363,24926.0,16077932.0,124137014007.0,764842.0,7632534942.0
Saint Kitts and Nevis,KNA,1,0.3041617339040164,1.0,0.4720808669520082,0.0,0.0,0.0,7.6,0.5600808669520082,0.0,1.0,1.0,10.4,0.6040808669520082,0.0,1.0,1.0,12.6,35.0,0.0,0.0,0.0,0.0
Dominica,DMA,1,0.3314816501229401,1.0,0.4657408250614701,0.0,0.0,0.0,7.0,0.5624074917281368,0.0,1.0,1.0,9.9,0.6037408250614701,0.0,1.0,1.0,11.9,1.0,0.0,0.0,0.0,0.0
Honduras,HND,51,0.28153084382828825,1.0,0.484935356554667,0.27450980392156865,0.0,0.27450980392156865,8.382352941176471,0.58629483367885,0.27450980392156865,0.0,0.27450980392156865,12.276470588235293,0.6027654219141441,0.27450980392156865,0.0,0.27450980392156865,13.299999999999999,85226.0,6683.0,22392815.0,2721.0,8215556.0
"Tanzania, United Republic of",TZA,88,0.276986696028678,1.0,0.4792509237719148,0.0,0.2840909090909091,0.2840909090909091,8.222727272727274,0.5768569843779754,0.07954545454545454,0.8409090909090909,0.9204545454545454,11.91818181818182,0.600743348014339,0.07954545454545454,0.9204545454545454,1.0,13.1125,120155.0,19894.0,27388931.0,10681.0,15160642.0
Saint Martin (French part),MAF,1,0.2768418176850927,1.0,0.4717542421758797,0.0,0.0,0.0,8.0,0.5544209088425465,0.0,1.0,1.0,10.8,0.5984209088425464,0.0,1.0,1.0,13.0,10.0,0.0,0.0,0.0,0.0
Turks and Caicos Islands,TCA,38,0.24520823048423376,1.0,0.47620060647018714,0.0,0.05263157894736842,0.05263157894736842,8.607894736842109,0.5428672731368538,0.0,1.0,1.0,11.013157894736842,0.5977093784000117,0.0,1.0,1.0,13.755263157894738,15037.0,827.0,44163526.0,1641.0,66776159.0
Antigua and Barbuda,ATG,6,0.2698600613180346,1.0,0.4554855862145728,0.0,0.0,0.0,7.616666666666667,0.5432633639923505,0.0,1.0,1.0,10.416666666666666,0.590596697325684,0.0,1.0,1.0,12.783333333333333,869.0,1050.0,37536879.0,452.0,13802800.0
Macao,MAC,15,0.26421394529945696,1.0,0.46944030598306186,0.0,0.06666666666666667,0.06666666666666667,8.120000000000003,0.5531736393163952,0.0,1.0,1.0,11.053333333333336,0.5894403059830619,0.0,1.0,1.0,12.866666666666665,122.0,0.0,0.0,0.0,0.0
Dominican Republic,DOM,27,0.2491171619666295,0.8518518518518519,0.47554623530430234,0.0,0.2222222222222222,0.2222222222222222,8.52962962962963,0.5528548772796111,0.0,0.8148148148148148,0.8148148148148148,11.414814814814816,0.5892993217240556,0.0,1.0,1.0,13.237037037037034,19270.0,42807.0,211021863.0,6554.0,15004277.0
Guadeloupe,GLP,22,0.29522067041418687,1.0,0.449125486722245,0.0,0.0,0.0,7.045454545454546,0.5419739715707299,0.0,1.0,1.0,9.84545454545455,0.5866103352070934,0.0,1.0,1.0,11.950000000000001,3415.0,2631.0,0.0,1016.0,0.0
Marshall Islands,MHL,2,0.1766687915490395,0.5,0.46000106244118644,0.0,0.5,0.5,9.15,0.5283343957745198,0.0,0.5,0.5,12.0,0.5793343957745198,0.0,0.5,0.5,14.55,26.0,0.0,0.0,0.0,0.0
Viet Nam,VNM,116,0.19932548068921582,1.0,0.45190411965495275,0.0,0.06896551724137931,0.06896551724137931,8.567241379310342,0.529869636896332,0.0,0.5775862068965517,0.5775862068965517,11.51034482758621,0.5679730851721941,0.0,1.0,1.0,13.41551724137931,186363.0,2467538.0,4746241695.0,3673309.0,7391633755.0
ANT,ANT,12,0.18425765716540712,1.0,0.441573273027148,0.0,0.0,0.0,8.483333333333334,0.5272954952493704,0.0,0.8333333333333334,0.8333333333333334,11.758333333333333,0.564962161916037,0.0,1.0,1.0,13.641666666666666,228.0,458.0,0.0,6468.0,0.0
Indonesia,IDN,3496,0.16810792596406918,0.6375858123569794,0.4194973268264282,0.08495423340961099,0.08524027459954234,0.1701945080091533,8.063300915331807,0.5018175022650248,0.1106979405034325,0.15932494279176201,0.2700228832951945,10.891819221967964,0.5584103703046891,0.142162471395881,0.28832951945080093,0.43049199084668194,13.717820366132724,2913232.0,783119.0,2608833271.0,489596.0,1550664018.0
Palau,PLW,102,0.15221925214854173,0.24509803921568626,0.42045603130302905,0.14705882352941177,0.0,0.14705882352941177,8.330392156862748,0.49728609666250617,0.14705882352941177,0.0,0.14705882352941177,11.058823529411763,0.5554625672507414,0.14705882352941177,0.0,0.14705882352941177,13.967647058823527,5687.0,584.0,0.0,253.0,0.0
Aruba,ABW,12,0.1393315727165105,0.5,0.43349911969158855,0.0,0.25,0.25,8.941666666666666,0.513832453024922,0.0,0.5,0.5,12.208333333333334,0.5469991196915885,0.0,0.6666666666666666,0.6666666666666666,13.916666666666666,43.0,0.0,0.0,0.0,0.0
New Caledonia,NCL,59,0.13928526777376654,1.0,0.38777822710722226,0.0,0.0,0.0,7.54406779661017,0.5218799220224767,0.0,0.7796610169491526,0.7796610169491526,12.61186440677966,0.5432697525309511,0.0,0.9830508474576272,0.9830508474576272,13.681355932203388,33481.0,5427.0,0.0,1384.0,0.0
Trinidad and Tobago,TTO,156,0.14715394189030484,1.0,0.4148590222272037,0.0,0.00641025641025641,0.00641025641025641,8.23846153846154,0.4996026119707935,0.0,0.3141025641025641,0.3141025641025641,11.301282051282051,0.5395000478682294,0.0,1.0,1.0,13.296153846153848,11169.0,3000.0,16320282.0,567.0,6924440.0
Cambodia,KHM,100,0.14406702486112394,1.0,0.4145001790972287,0.0,0.0,0.0,8.274000000000001,0.49747351243056204,0.0,0.32,0.32,11.272000000000002,0.538633512430562,0.0,0.98,0.98,13.33,69351.0,92456.0,115114355.0,71430.0,109160155.0
Guatemala,GTM,72,0.13030082263303294,1.0,0.41515967057577574,0.0,0.013888888888888888,0.013888888888888888,8.506944444444445,0.5124559668720722,0.0,0.4583333333333333,0.4583333333333333,12.365277777777779,0.5377893002054054,0.0,1.0,1.0,13.648611111111112,29554.0,1684.0,7753412.0,996.0,4470789.0
Qatar,QAT,1,0.1529915308259723,1.0,0.3631624320796528,0.0,0.0,0.0,6.6000000000000005,0.4631624320796528,0.0,0.0,0.0,9.6,0.5324957654129863,0.0,1.0,1.0,12.8,460.0,3051.0,53392981.0,6533.0,70418287.0
"Venezuela, Bolivarian Republic of",VEN,260,0.12906208626088433,0.8884615384615384,0.40721053030992943,0.0,0.0,0.0,8.280384615384618,0.49150796620736525,0.0,0.36538461538461536,0.36538461538461536,11.348846153846155,0.5311848892842883,0.0,0.8807692307692307,0.8807692307692307,13.332692307692309,300542.0,128871.0,578987661.0,19847.0,123343160.0
