Country,mean_cri,mean_slr,high_risk_pct,very_high_pct,n_points
American Samoa,5.0,12.200000000000001,100.0,100.0,5
Cayman Islands,5.0,11.086666666666666,100.0,100.0,35
Comoros,5.0,11.47777777777778,100.0,100.0,3
Guam,5.0,11.033333333333333,100.0,100.0,8
Palau,5.0,11.300000000000002,100.0,100.0,31
Mayotte,5.0,11.433333333333335,100.0,100.0,41
Samoa,5.0,12.200000000000001,100.0,100.0,10
Tuvalu,5.0,10.5,100.0,100.0,1
Wallis and Futuna,5.0,11.366666666666667,100.0,100.0,4
Solomon Islands,4.9972972972972975,10.001981981981983,100.0,100.0,370
Belize,4.947565543071161,13.478401997503122,100.0,100.0,267
Fiji,4.896551724137931,11.000000000000002,100.0,100.0,319
Jamaica,4.844827586206897,10.494252873563218,100.0,100.0,58
"Micronesia, Federated States of",4.82,11.568666666666667,100.0,100.0,100
Vanuatu,4.714285714285714,10.838095238095239,100.0,100.0,7
French Polynesia,4.576923076923077,10.53846153846154,96.15384615384616,80.76923076923077,26
Tonga,4.5,11.533333333333333,100.0,100.0,10
Cuba,4.353703703703704,10.666604938271606,99.72222222222223,95.55555555555556,1080
Nicaragua,4.138743455497382,10.86474694589878,95.54973821989529,59.16230366492147,382
Australia,4.056804149172636,10.472001317197662,81.79797480859472,73.20326006421338,4049
United States,4.0436974789915965,12.61764705882353,96.38655462184875,93.27731092436974,1190
Philippines,4.022090729783037,11.999815910585141,98.57988165680473,71.71597633136095,2535
Honduras,4.013986013986014,11.887412587412587,71.32867132867133,65.03496503496503,286
Bahamas,4.001282051282051,10.481923076923078,100.0,100.0,780
Saint Martin (French part),4.0,9.966666666666667,100.0,100.0,7
Martinique,4.0,9.516438356164384,100.0,100.0,73
Marshall Islands,4.0,11.433333333333335,100.0,100.0,1
ANT,4.0,11.0,100.0,100.0,31
Antigua and Barbuda,4.0,9.35277777777778,100.0,100.0,72
Aruba,4.0,11.066666666666668,100.0,100.0,12
Dominica,4.0,9.066666666666668,100.0,100.0,9
Grenada,4.0,10.700740740740741,100.0,100.0,45
Saint Vincent and the Grenadines,4.0,10.4,100.0,100.0,1
"Virgin Islands, U.S.",4.0,10.530303030303031,100.0,100.0,11
"Virgin Islands, British",4.0,10.544444444444446,100.0,100.0,6
Saint Lucia,4.0,9.966666666666667,100.0,100.0,16
Saint Kitts and Nevis,4.0,9.6,100.0,100.0,4
Seychelles,4.0,11.773333333333333,100.0,100.0,30
Barbados,4.0,10.366666666666667,100.0,100.0,4
Hong Kong,4.0,10.242222222222223,100.0,100.0,15
Guadeloupe,4.0,9.036666666666667,100.0,100.0,100
Anguilla,4.0,9.966666666666667,100.0,100.0,7
Madagascar,3.9660633484162897,10.91636500754148,97.85067873303167,72.62443438914026,884
Timor-Leste,3.935483870967742,10.656989247311829,100.0,93.54838709677419,31
United Arab Emirates,3.923076923076923,9.047812971342383,99.09502262443439,93.21266968325791,221
Mauritius,3.923076923076923,10.307692307692308,100.0,92.3076923076923,26
Mexico,3.921584263689527,11.914699627857525,87.71929824561403,76.04997341839447,3762
Japan,3.913978494623656,11.625806451612904,97.84946236559139,93.54838709677419,93
"Tanzania, United Republic of",3.864734299516908,10.94742351046699,100.0,85.99033816425121,414
Sudan,3.85,9.630833333333335,100.0,85.0,40
Papua New Guinea,3.8295096716149346,9.586114859799071,91.5429599640126,75.12370670265408,2223
Guatemala,3.7846153846153845,11.74,100.0,78.46153846153847,130
Mozambique,3.705503931379557,10.856159161305696,87.3481057898499,74.69621157969979,1399
Viet Nam,3.6984,10.356480000000001,96.24000000000001,76.48,1250
Cambodia,3.684887459807074,10.443408360128618,97.7491961414791,70.7395498392283,311
Puerto Rico,3.6551724137931036,10.658620689655173,100.0,65.51724137931035,87
Turks and Caicos Islands,3.6153846153846154,10.38846153846154,100.0,61.53846153846154,26
China,3.57396449704142,10.616962524654834,94.37869822485207,63.01775147928994,338
Trinidad and Tobago,3.5675675675675675,10.604054054054055,100.0,56.75675675675676,74
Bangladesh,3.525524337158686,10.875174779052896,88.6030866640285,63.94934705184012,2527
Dominican Republic,3.471830985915493,10.48004694835681,99.29577464788733,47.88732394366197,142
Haiti,3.4464285714285716,10.745535714285714,87.5,55.35714285714286,112
Eritrea,3.088757396449704,9.73353057199211,63.905325443786985,44.97041420118343,169
Egypt,3.0113636363636362,9.42651515151515,95.45454545454545,5.681818181818182,88
"Taiwan, Province of China",3.0,10.935672514619883,61.40350877192983,36.84210526315789,57
Bahrain,2.9574468085106385,9.120567375886527,95.74468085106383,0.0,47
"Venezuela, Bolivarian Republic of",2.9472025216706066,10.556947727869716,84.94877856579984,9.771473601260835,1269
Saudi Arabia,2.8848484848484848,9.250033670033671,78.98989898989899,9.494949494949495,495
El Salvador,2.8783783783783785,10.974774774774776,80.4054054054054,7.4324324324324325,148
Indonesia,2.8611051386798536,10.28356625815237,48.86404357485845,30.588403927470797,13953
Qatar,2.8595041322314048,9.159228650137743,80.16528925619835,5.785123966942149,121
Guyana,2.611111111111111,10.494444444444445,61.111111111111114,0.0,198
Malaysia,2.6016632016632015,10.35962577962578,50.27027027027027,9.896049896049897,2405
Thailand,2.581589958158996,10.930432357043236,46.10878661087866,12.05020920502092,1195
New Caledonia,2.539192399049881,11.458353127474268,51.306413301662715,2.6128266033254155,421
"Iran, Islamic Republic of",2.514018691588785,9.056542056074766,37.850467289719624,13.551401869158877,214
Myanmar,2.464697738809414,10.009613905552992,41.393631748961695,5.0761421319796955,2167
Panama,2.4552332912988653,10.865910046237914,41.36191677175284,4.16141235813367,793
French Guiana,2.42911877394636,10.473563218390806,42.911877394636015,0.0,261
Kenya,2.402061855670103,10.755154639175258,30.927835051546392,9.278350515463918,194
Yemen,2.3661971830985915,9.877464788732393,36.61971830985916,0.0,71
Suriname,2.3358490566037737,10.429559748427673,33.58490566037736,0.0,265
Brazil,2.3328993862748746,10.494265699584652,20.848056537102476,12.441882090384974,5377
India,2.319672131147541,9.34224043715847,32.5,5.204918032786885,2440
Oman,2.2941176470588234,9.304248366013072,22.54901960784314,6.862745098039216,102
Sri Lanka,2.1517412935323383,10.429933665008294,14.676616915422885,0.4975124378109453,402
Colombia,2.0670103092783507,10.99213058419244,3.814432989690722,1.8556701030927836,970
Brunei Darussalam,2.0185185185185186,10.70246913580247,1.8518518518518516,0.0,54
Costa Rica,2.009009009009009,11.183333333333335,0.45045045045045046,0.45045045045045046,222
Gabon,2.0,10.868411867364747,0.0,0.0,764
Ghana,2.0,10.63404255319149,0.0,0.0,188
Djibouti,2.0,9.843010752688171,0.0,0.0,31
Equatorial Guinea,2.0,10.66937984496124,0.0,0.0,86
Guinea,2.0,10.003287981859412,0.0,0.0,882
Côte d'Ivoire,2.0,10.362043795620437,0.0,0.0,274
Congo,2.0,11.005860805860808,0.0,0.0,91
"Congo, The Democratic Republic of the",2.0,11.035159817351598,0.0,0.0,73
Cameroon,2.0,10.515646258503402,0.0,0.0,931
Angola,2.0,11.080827067669174,0.0,0.0,266
Benin,2.0,10.544444444444444,0.0,0.0,45
Bermuda,2.0,9.366666666666665,0.0,0.0,14
Ecuador,2.0,10.163077679449362,0.0,0.0,678
Guinea-Bissau,2.0,9.964919464919467,0.0,0.0,1221
Gambia,2.0,9.893258426966293,0.0,0.0,267
Nigeria,2.0,10.60839886756842,0.0,0.0,3179
New Zealand,2.0,11.180173482032219,0.0,0.0,269
Liberia,2.0,10.331704260651629,0.0,0.0,266
Kiribati,2.0,10.900000000000002,0.0,0.0,13
Mauritania,2.0,9.866666666666667,0.0,0.0,13
Pakistan,2.0,8.572463768115941,0.0,0.0,69
Peru,2.0,10.228472222222223,0.0,0.0,48
South Africa,2.0,10.893154761904762,0.0,0.0,112
