country,n_points,mangrove_ha,risk_pop,risk_stock_usd,ben_pop,ben_stock_usd,composite_mean_ssp245,composite_high_pct_ssp245,composite_extreme_pct_ssp245,mangrove_ha_at_risk_ssp245,risk_pop_at_risk_ssp245,risk_stock_at_risk_usd_ssp245,composite_mean_ssp370,composite_high_pct_ssp370,composite_extreme_pct_ssp370,mangrove_ha_at_risk_ssp370,risk_pop_at_risk_ssp370,risk_stock_at_risk_usd_ssp370,composite_mean_ssp585,composite_high_pct_ssp585,composite_extreme_pct_ssp585,mangrove_ha_at_risk_ssp585,risk_pop_at_risk_ssp585,risk_stock_at_risk_usd_ssp585
Australia,4049,988392,98148,5895729369.0,111606.0,5565606181.0,0.6039992723887473,65.52235119782662,54.334403556433685,647617.6774512226,64308.87725364287,3863020502.8295875,0.6412814787119302,65.52235119782662,55.27290689059027,647617.6774512226,64308.87725364287,3863020502.8295875,0.650921293699165,66.65843418127932,56.680661891825146,658846.6307730303,65423.91998024203,3930000880.94122
Indonesia,13953,2913232,783119,2608833271.0,489596.0,1550664018.0,0.25134558580954425,27.248620368379562,9.847344657062997,793815.5281301512,213389.12334265033,710871074.0587687,0.2752141163208339,27.621300078836093,10.90088153085358,804672.5527126782,216307.6489643804,720593666.3394252,0.28852576981503597,27.621300078836093,24.92653909553501,804672.5527126782,216307.6489643804,720593666.3394252
Sri Lanka,402,18119,45376,164516359.0,3985.0,18904169.0,0.08112623021244068,0.0,0.0,0.0,0.0,0.0,0.08708992007589063,0.0,0.0,0.0,0.0,0.0,0.08955938812315198,9.701492537313433,0.0,1757.813432835821,4402.149253731343,15960542.291044777
Philippines,2535,274939,817650,1465017667.0,327137.0,545975346.0,0.529742479321598,49.03353057199211,34.67455621301775,134812.2986193294,400922.6627218935,718349885.6335306,0.5797773759613819,56.370808678500985,39.76331360946745,154985.33767258382,460915.9171597633,825842306.1708087,0.6092829495683524,56.370808678500985,47.02169625246548,154985.33767258382,460915.9171597633,825842306.1708087
Myanmar,2167,546707,469825,172667784.0,63024.0,65783025.0,0.20015131125211633,0.0,0.0,0.0,0.0,0.0,0.22129312576488575,0.0,0.0,0.0,0.0,0.0,0.23498079121340626,0.0,0.0,0.0,0.0,0.0
Guyana,198,38703,56761,34969608.0,33613.0,14078963.0,0.1467511479398277,0.0,0.0,0.0,0.0,0.0,0.1606733890634632,0.0,0.0,0.0,0.0,0.0,0.16880897222942326,0.0,0.0,0.0,0.0,0.0
Belize,267,68012,3252,14005376.0,5925.0,20171289.0,0.8583521673485978,98.87640449438202,98.87640449438202,67247.8202247191,3215.4606741573034,13848012.224719102,0.9397835476094195,98.87640449438202,98.87640449438202,67247.8202247191,3215.4606741573034,13848012.224719102,0.9792990132725702,98.87640449438202,98.87640449438202,67247.8202247191,3215.4606741573034,13848012.224719102
Mozambique,1399,304897,41997,23362062.0,28845.0,22122480.0,0.39149968901729004,47.53395282344532,10.578984989278057,144929.59614010007,19962.834167262332,11104911.529664045,0.4325744545739556,47.53395282344532,16.869192280200142,144929.59614010007,19962.834167262332,11104911.529664045,0.45890256648991357,47.53395282344532,36.240171551107935,144929.59614010007,19962.834167262332,11104911.529664045
Brazil,5377,1138408,348868,2319344780.0,265511.0,1002668479.0,0.06839372145882584,3.459177980286405,0.0,39379.558861818856,12067.965036265576,80230263.91668217,0.07488924438704699,3.459177980286405,0.0,39379.558861818856,12067.965036265576,80230263.91668217,0.07865068964546994,3.459177980286405,0.0,39379.558861818856,12067.965036265576,80230263.91668217
Haiti,112,18837,29641,75816106.0,32354.0,88657453.0,0.12030703272549292,1.7857142857142856,1.7857142857142856,336.375,529.3035714285714,1353859.0357142857,0.12527509348664295,1.7857142857142856,1.7857142857142856,336.375,529.3035714285714,1353859.0357142857,0.12379237799824147,1.7857142857142856,1.7857142857142856,336.375,529.3035714285714,1353859.0357142857
Mexico,3762,1004711,104691,1239455750.0,161141.0,1364288402.0,0.4807488343155086,36.975013290802764,26.6347687400319,371492.0257841574,38709.51116427432,458288928.2961191,0.5091945341510606,37.13450292397661,29.452418926103135,373094.4356725146,38876.48245614035,460265731.72514623,0.5273863731495589,37.13450292397661,29.452418926103135,373094.4356725146,38876.48245614035,460265731.72514623
Thailand,1195,264930,124711,814801338.0,23646.0,204952563.0,0.161881750867095,3.765690376569038,0.0,9976.443514644352,4696.230125523012,30682895.573221758,0.17794790882805508,14.225941422594143,0.0,37688.78661087866,17741.313807531384,115913161.05439332,0.18767628345218054,14.225941422594143,3.765690376569038,37688.78661087866,17741.313807531384,115913161.05439332
Solomon Islands,370,51928,12568,15205621.486379,4837.0,5852131.693954,0.9267882355332702,100.0,100.0,51928.0,12568.0,15205621.486379,0.9522781644954026,100.0,100.0,51928.0,12568.0,15205621.486379,0.9691390789092016,100.0,100.0,51928.0,12568.0,15205621.486379
"Tanzania, United Republic of",414,120155,19894,27388931.0,10681.0,15160642.0,0.24115992767865263,8.454106280193237,0.0,10158.031400966183,1681.8599033816424,2315489.335748792,0.2619986870252795,8.454106280193237,8.454106280193237,10158.031400966183,1681.8599033816424,2315489.335748792,0.2727121356756717,8.454106280193237,8.454106280193237,10158.031400966183,1681.8599033816424,2315489.335748792
Papua New Guinea,2223,461059,22150,107732071.677141,8133.0,39556882.119647,0.387155886081756,35.53756185335133,25.59604138551507,163849.1273054431,7871.56995051732,38285351.60816077,0.4906718351610904,39.27125506072874,32.65856950067476,181063.65587044533,8698.582995951418,42307736.65053715,0.5060473388593189,39.27125506072874,32.65856950067476,181063.65587044533,8698.582995951418,42307736.65053715
Viet Nam,1250,186363,2467538,4746241695.0,3673309.0,7391633755.0,0.4125994656568672,46.48,0.0,86621.5224,1146911.6624,2206053139.836,0.46016923552604666,48.72,0.0,90796.0536,1202184.5136,2312368953.804,0.49099635644056944,48.72,0.0,90796.0536,1202184.5136,2312368953.804
