level,family,rmse_persistence,rmse_linear,mae_persistence,mae_linear,corr_persistence,corr_linear,increment_mean_abs,input_tendency_mean_abs,linear_rmse_improvement_frac,rank_group
T100,T,14.154654011097255,24.429602096903988,11.284159461802489,19.48146914516497,-0.00258172342583659,-0.0013198184261612187,11.284159461802489,11.246449524692883,-0.7259059866635502,best
U600,U,14.213681488454142,24.540105374561726,11.345910100358653,19.565900852828975,-0.0066608221727714485,-0.003951610783088032,11.345910100358653,11.241363611992442,-0.7265129653071092,best
U1000,U,14.175784973974416,24.4937002791954,11.320116399624697,19.546716151712314,-0.0031807916613781203,-0.00400242437359744,11.320116399624697,11.259363030562586,-0.7278549529471444,best
U250,U,14.167272426188067,24.488860073411967,11.306475742132791,19.541938185338534,-0.0021013288571172122,-0.003964134625129691,11.306475742132791,11.205724339251788,-0.7285515049562077,best
R250,R,14.130360736822084,24.42898757229557,11.252762907937122,19.455414009745912,0.0018933731683874271,0.0016871355890045426,11.252762907937122,11.242424142832526,-0.7288297183126016,best
U10,surface,14.200123159841018,24.55495547833218,11.347089492592534,19.5961359225054,-0.008335629937799583,-0.006883890108136716,11.347089492592534,11.280087643611855,-0.7292072189750706,best
V10,surface,14.10476812310392,24.390615461501366,11.264085477601508,19.46496116235844,-0.00034137059786966916,0.0007288700614794301,11.264085477601508,11.222861399769853,-0.7292461136988847,best
Z200,Z,14.110382151148661,24.400743375137328,11.26467854254625,19.474617729410657,0.0029721022218268138,0.0006472891374647181,11.26467854254625,11.200141974840317,-0.7292758703314761,best
TP,surface,8.521091772835927,14.737216104112402,6.61568320709227,11.562141233515703,-0.0015602028007789962,0.0015083062748487677,6.61568320709227,6.596712175295244,-0.7294985779982593,best
V400,V,14.113315781282106,24.410097170211355,11.251268867649472,19.468724590912736,0.002511743722657065,0.002896663777612931,11.251268867649472,11.239916106188623,-0.7295791824190199,best
U850,U,14.151270263534562,24.480754692901215,11.30499249962639,19.528869185023204,-0.0009012200000476662,0.0021447987224330425,11.30499249962639,11.27929551543382,-0.7299333725527095,best
U925,U,14.139535979547857,24.463531680939276,11.273892415947909,19.501256880666737,-0.003990842962614908,-0.004645840058808034,11.273892415947909,11.244416804305324,-0.730150955188669,best
Z925,Z,14.120553453023845,24.577480499244334,11.254725817859782,19.568494582570814,0.004560771583250582,0.0033652135853342686,11.254725817859782,11.317770636010774,-0.7405465430946824,worst
R150,R,14.202067379174961,24.690255925710566,11.322157316909404,19.7029277625263,-0.007731519405536657,-0.011307809126668693,11.322157316909404,11.345761480208392,-0.738497309336445,worst
T50,T,14.130469963509706,24.56462001279143,11.26875081463292,19.589359904486837,-0.002781661363056543,-0.002872683429731371,11.26875081463292,11.304787326752418,-0.7384149342680536,worst
V100,V,14.115311440847641,24.5347923286438,11.250102416859098,19.56893792919213,0.0012709721567821422,0.00029882677178071293,11.250102416859098,11.309081094744373,-0.7381686852224676,worst
T600,T,14.09406562902935,24.492926487458444,11.26238815235336,19.527262624234954,0.003667979625734994,0.0029793781649219246,11.26238815235336,11.299699437371727,-0.7378183933676813,worst
R600,R,14.098050911996857,24.485153735606378,11.2495566763898,19.513877369143135,0.010613321631780099,0.010721361682733773,11.2495566763898,11.3237738277985,-0.7367758059924813,worst
V300,V,14.139424085026652,24.552551048327672,11.264214514658713,19.554890699931757,0.0010124486546399323,-0.0009618793450026757,11.264214514658713,11.30117572572836,-0.7364604739685472,worst
Z250,Z,14.15285615714729,24.571992784030364,11.286759321274678,19.600429343723366,0.0012330496470151307,-0.0009325598325821104,11.286759321274678,11.28542057139612,-0.7361861458346933,worst
Z700,Z,14.154508942672434,24.5747585958174,11.282965272968088,19.605577849923016,-3.701335741920654e-05,0.0038980653817932373,11.282965272968088,11.351513223439941,-0.7361788173187996,worst
U500,U,14.029435925952024,24.3568877214857,11.217472972754015,19.44615863358583,0.010696621897303039,0.007563516885423913,11.217472972754015,11.269460404507715,-0.7361273717662219,worst
T250,T,14.065988845563382,24.413084193527357,11.23093632817069,19.498736680640352,0.003013731282503687,-0.00013944395146159246,11.23093632817069,11.245489372951454,-0.7356109450653802,worst
T400,T,14.170113951807373,24.592466848051572,11.301247871396837,19.594491007240503,-0.000907282371378967,-0.003193395944447254,11.301247871396837,11.318989548458424,-0.7355165196053237,worst
