R_p_n,R_p_p,D_s_n,D_s_p,k_n,k_p,eps_s_n,eps_s_p,eps_e,h,rho_cp,k_SEI,R_SEI_0
5.436174015176372e-06,5.469771471497163e-06,2.3376223177314805e-13,4.4082751450382195e-14,2.5759887216238547e-10,3.4880442035360427e-10,0.5405419555984191,0.5315797875926331,0.32685178824311995,25.660067729391844,2698057.669119535,2.5105996278271266e-20,3.146121456047106e-06
8.313509485133274e-06,6.799226751616811e-06,1.539638878560346e-13,1.2726678951309251e-13,9.982233674550723e-11,6.95766175536102e-10,0.4038283218020315,0.5618137049164247,0.460772288048325,10.77542262040399,3299228.884412242,1.533281116066165e-18,1.2156658036727749e-05
5.646647433847473e-06,1.0323387984034678e-05,3.8542714027776395e-14,7.986628757733014e-13,1.7269282836455357e-11,2.9197669924159945e-11,0.44797979419315814,0.6611773097704058,0.2216679633831582,7.041991088832139,3586066.600221729,1.9650674240252902e-20,5.119216067651311e-05
1.3535886390473094e-05,5.434225723503966e-06,1.024019343674694e-14,3.3257000145224e-14,2.4761759158239778e-11,2.747658470894855e-10,0.5325748412863244,0.59743336500692,0.20940151741023424,26.78285756696979,3160095.2680647145,7.609186465048073e-18,3.2675752878660887e-06
6.4340320932092646e-06,9.220558229658567e-06,1.2834437184518907e-13,2.660098458088116e-14,6.319165298609778e-10,2.5723584231840167e-10,0.61262002809975,0.47623360424885286,0.23452992757291827,12.883651930102634,3089232.6792681143,1.0420858635828726e-17,3.541104931287655e-05
1.1090243187252793e-05,1.2226095075319855e-05,1.2343180026450793e-14,1.871572276022329e-13,2.5653730741926777e-10,1.1662522558280886e-11,0.6677380814789897,0.6001310085995764,0.23301968655489153,20.08567652074334,3732541.5178158614,6.7092081705872916e-18,8.043537765446788e-06
7.600565530420745e-06,6.517352805166523e-06,6.735495453014065e-14,1.8282638283276433e-14,2.156292648914424e-10,9.953978182077917e-10,0.633650249248801,0.5537246462455451,0.3047565280945171,5.753622602717217,3324205.800186754,2.532881788796275e-20,3.920334582921207e-06
9.010320555979849e-06,6.253898030190177e-06,9.696620091441081e-14,1.7949503907778619e-13,1.208493398935155e-10,3.2465523345418875e-11,0.5298496086270308,0.4652489734794604,0.4287503327631855,45.74111149306695,3655125.1719494923,6.111793352973311e-17,2.5044610510345595e-06
5.024004062687009e-06,1.10632063291175e-05,4.500106291412683e-13,4.1296592621386173e-13,3.1252557643405355e-10,1.3027723696667007e-11,0.47078045991684114,0.6145828077751443,0.2014692756714931,7.444938776323786,2287515.054345937,4.169021120630655e-19,6.320279657223646e-05
7.011374257633732e-06,5.628301566527104e-06,1.835839281726601e-14,6.505598182124173e-14,3.82397393007403e-11,2.0806910517971386e-10,0.5128095153507043,0.5769181737709287,0.3541712538145862,24.632633012392088,3000634.8121027756,2.783711198842424e-18,8.926556501916793e-06
1.0766394882943195e-05,1.4046579631488095e-05,5.894549761719676e-14,3.116917603188732e-13,1.3841880170532827e-10,2.9006501694848647e-10,0.43611718622462226,0.6402394221713333,0.42013406964949235,48.353041838833015,2888899.3550995504,5.677582478282771e-19,1.3039301515223081e-05
1.2937626212687787e-05,7.149773636860018e-06,3.2054277486169247e-13,3.480159722679191e-13,2.3174401855938867e-10,1.706358254905264e-11,0.5850890196116201,0.5744786860908978,0.3914942240717684,29.513121359340108,3791138.244443637,1.8792029042978814e-19,7.126608717281275e-06
1.2537641561228117e-05,5.103260299423157e-06,5.762402389795969e-13,9.834637691347964e-13,1.4522819806533996e-11,2.3684363122388594e-11,0.48999456116937495,0.4956524835484775,0.4175593120068805,11.835891297827791,3202978.724680738,1.1695078134950407e-18,3.6188055107219815e-06
1.2803582320949228e-05,9.757745720725237e-06,8.331678689588413e-13,5.952642707847262e-14,3.4629663948295453e-10,7.44359297723812e-10,0.5862504562167572,0.4105240322729381,0.2883745795069027,44.691511778533794,2195585.8724387647,1.612165796646387e-20,3.374939349483076e-05
1.4963508937122753e-05,6.012760325734181e-06,1.3894543494069248e-13,3.164895251714322e-14,1.0062280232630705e-11,8.01477457004627e-10,0.4945339864918614,0.6694772340891904,0.4237590976886119,11.141789809801734,3031613.975061946,8.636890022864314e-17,2.1493606959591847e-06
9.977328988045347e-06,7.674278678665285e-06,9.328361736909692e-13,1.3041046934413905e-13,1.0526184372398478e-11,4.033323946645042e-10,0.4190774419986152,0.4671108858743488,0.2597009823708964,34.59497081277358,3530023.3347331504,3.3449377152340555e-18,2.070825527957615e-05
9.071478324760868e-06,5.420222665735242e-06,2.704120290986113e-14,9.15986220208859e-14,1.735143112347016e-10,2.3275375827459732e-10,0.4117314432612128,0.6206147132008439,0.2957959908518742,7.9051836857945235,2784759.20308928,1.2079913554480488e-18,9.157246823149165e-06
1.237208219555467e-05,1.0047478765124424e-05,1.4487466612775755e-13,1.0264722932452539e-14,1.4091246378186467e-11,2.4146585791072785e-10,0.4093868966313163,0.4312196878297549,0.4420412583447079,5.519727354832327,3624934.5990961255,2.117913608575776e-17,1.1234609987971915e-05
1.0109712644646897e-05,9.674504631526059e-06,1.2155179365358567e-14,8.388833422486842e-14,4.227650270356232e-11,2.0463421658878177e-11,0.47745556105591913,0.5354206093793062,0.45828505885158355,13.009289145513677,2632027.356491176,4.3490783467542635e-18,3.0053790249571267e-06
1.0692084289921074e-05,6.931540664747852e-06,1.4388925801989906e-13,1.4110125728587602e-13,2.9973614202388355e-11,1.4725288431086788e-10,0.5529062840097225,0.49889800578615756,0.3770553273244725,5.383552940010256,3731194.1397375506,2.013198733120224e-20,1.7513309353164928e-06
1.4613031992284705e-05,7.997862977228531e-06,6.579487523102227e-14,7.752666940979732e-14,5.721147553129154e-10,5.806280763282131e-10,0.4067483843216211,0.4438151611286636,0.22902604710039037,32.756029304085416,2277589.263934545,1.5578379905454024e-20,1.4560698341867055e-06
7.659519643715625e-06,7.2664474489688504e-06,2.8284339963813008e-14,7.921386445708968e-13,4.915534253036774e-10,7.751486538618198e-10,0.4104742200882607,0.5168677101719175,0.21484318595757632,14.320106547797216,2322513.5584581606,2.179610901935676e-19,6.94602452904071e-05
8.757330641376236e-06,5.2076258541389124e-06,1.3156112818668403e-14,5.92893795178537e-13,7.243180123569427e-10,4.4105151294026105e-10,0.6092115344056608,0.48378589620231705,0.2529814379204338,21.518564846541693,2310075.6987652816,1.9036755018283436e-18,3.7921800431784826e-06
1.0444705905119132e-05,6.618692719669736e-06,3.585402654722481e-13,7.754597202875539e-13,6.283317049877749e-11,9.525234411670357e-11,0.6078192331104585,0.5002102715995449,0.32644176445395057,19.892862532076435,2595686.131070049,1.0622622928524885e-20,2.342882900999549e-05
6.236241787126354e-06,7.802057844001144e-06,5.72750874771793e-13,2.05588080694186e-14,3.2629999319166363e-10,3.32999916096943e-11,0.48875451656646496,0.4208511189667072,0.4705813520105313,7.7356136871685415,2449142.051160121,2.3024997457796516e-18,1.8927915117023534e-05
5.8894380954146825e-06,1.1147769263551478e-05,5.093158557614916e-13,4.850664592596835e-13,1.9733879145775906e-11,4.902949871439258e-10,0.531070215932427,0.4429126949260946,0.20069229629881236,35.659015429836955,2846252.1035537547,7.654638607346386e-19,2.059692250595448e-06
1.2899309915079525e-05,6.504235636363325e-06,1.6604601422379632e-14,3.683886849992608e-13,8.035050194795107e-10,1.7805280214010167e-10,0.4069026280782714,0.5047521721680159,0.2627358875264276,10.19787355286823,3907196.5034867604,2.691122411344875e-20,3.0233290639242375e-05
1.2441597497345537e-05,6.698488596831502e-06,4.3374426829839074e-14,1.0677282873555537e-13,2.2552284764395044e-11,1.523326642253475e-11,0.5965487221028652,0.6718287334045692,0.30160814839913613,21.287293340033912,3103168.459289693,1.6680750027907676e-19,6.46345008622026e-05
