bus,total_demand_mwh,unserved_mwh
Bus1,109000.96938156913,0.0
Bus2,134075.88835947737,0.0
Bus3,103110.90861894267,0.0
Bus4,161906.33101969416,0.0
Bus5,118190.01476352112,0.0
Bus6,1073528.9850515255,524806.6402971627
Bus7,932081.9058792505,626070.7036207473
Bus8,1016091.4261388935,499578.3670226781
Bus9,1026833.5846312102,729330.9619639011
Bus10,880933.3164678924,528729.7464382418
Bus11,1197336.52191467,973933.3734862991
Bus12,1118933.5543792015,983024.3898204988
Bus13,1185205.9732386814,1608469.945385465
Bus14,1167194.3876924277,821566.0533326778
Bus15,1047473.2714566295,908416.3703123631
Bus16,1178099.6915613206,1053115.4674275853
Bus17,842080.1768273339,736563.805217116
Bus18,885420.2901273994,800860.8169746243
Bus19,824635.6428887291,732548.2740814578
Bus20,937573.1893637483,387290.30546723993
