hour,demand_mw,generation_mw,load_shed_mw,wind_dispatch_mw,gas_dispatch_mw,nuclear_dispatch_mw,wind_curtailment_mw,storage_charge_mw,storage_discharge_mw
0,113235.03081712821,24903.641559564385,88468.88925756379,14456.284977587062,8047.356581977324,2400.0,15325.528224131616,550.0,412.49999999999994
1,101604.81038085517,24450.941899027675,77291.36848182749,14003.58531705035,8047.356581977324,2400.0,11083.334634711462,550.0,412.49999999999994
2,86308.16927158141,23868.937565006236,62576.73170657518,13421.580983028916,8047.356581977324,2400.0,12033.330212861441,550.0,412.49999999999994
3,80522.35697790461,23593.27060477007,57204.08637313453,13145.914022792746,8047.356581977324,2400.0,12887.760074379334,550.0,274.9999999999999
4,90165.30637495837,23889.69080671698,66275.6155682414,13442.334224739654,8047.356581977324,2400.0,9779.890579284609,550.0,550.0
5,109380.90701161747,25220.672975530448,84297.73403608703,14773.316393553121,8047.356581977324,2400.0,11234.557582038771,550.0,412.49999999999994
6,124989.68566055656,25013.9691435637,100113.21651699286,14566.612561586373,8047.356581977324,2400.0,8190.566859903574,550.0,412.49999999999994
7,126516.00307208969,25374.99853828695,101278.50453380274,14927.641956309628,8047.356581977324,2400.0,10847.75351360683,550.0,412.49999999999994
8,114156.67664708235,24648.62655917368,89645.55008790866,14201.269977196358,8047.356581977324,2400.0,13982.645258896264,550.0,412.49999999999994
9,98623.42379830468,24282.96528383471,74615.45851446997,13835.608701857389,8047.356581977324,2400.0,14697.802119365104,550.0,274.9999999999999
10,92979.1398988091,23706.54465972173,69272.59523908739,13259.188077744408,8047.356581977324,2400.0,6831.90856016213,550.0,550.0
11,102684.2598795031,24600.234203139637,78221.52567636348,14152.877621162314,8047.356581977324,2400.0,8266.268504269716,550.0,412.49999999999994
12,121432.36935956641,24788.59761085046,96781.27174871595,14341.241028873132,8047.356581977324,2400.0,7388.606867680153,550.0,412.49999999999994
13,135946.04648064196,25943.78244074044,110139.7640399015,15496.425858763118,8047.356581977324,2400.0,7919.38775119036,550.0,412.49999999999994
14,136081.209903101,25892.21916327195,110388.99073982905,15444.862581294627,8047.356581977324,2400.0,7445.646329787996,550.0,349.9999999999999
15,122546.12188226433,25332.63945829051,97288.48242397382,14885.282876313182,8047.356581977324,2400.0,9876.864712270517,550.0,475.0
16,106357.49615029007,24632.226471142058,81862.76967914803,14184.869889164731,8047.356581977324,2400.0,5606.8659753545035,550.0,412.49999999999994
17,100447.87932489335,24526.291097556943,76134.08822733641,14078.934515579618,8047.356581977324,2400.0,9325.11889120063,550.0,337.4999999999999
18,109814.82762275719,24725.791644734243,85151.53597802293,14278.43506275692,8047.356581977324,2400.0,5205.793686955829,550.0,487.5
19,127712.73677207026,25640.2121910758,102210.02458099449,15192.855609098475,8047.356581977324,2400.0,6197.09450363279,550.0,412.49999999999994
20,140787.0447698484,26221.071752312564,114703.47301753584,15773.715170335243,8047.356581977324,2400.0,6602.603453570562,550.0,412.49999999999994
21,139241.418137539,25665.65208705484,113713.26605048416,15218.29550507752,8047.356581977324,2400.0,4670.987694710046,550.0,412.49999999999994
22,124296.19964579133,25421.241434655833,99012.4582111355,14973.88485267851,8047.356581977324,2400.0,10219.080166112355,550.0,412.49999999999994
23,107258.94126429211,24694.082749058412,82702.3585152337,14246.726167081088,8047.356581977324,2400.0,10999.399363839915,550.0,412.49999999999994
24,100914.75972337114,23952.344492953856,77174.91523041732,13504.987910976533,8047.356581977324,2400.0,9257.125051947554,550.0,337.4999999999999
25,109792.26415792527,24448.46516961601,85406.29898830924,14001.108587638688,8047.356581977324,2400.0,11507.069303556877,550.0,487.5
26,126716.98915249383,25520.394502756226,101334.09464973761,15073.037920778901,8047.356581977324,2400.0,13678.226627788292,550.0,412.49999999999994
27,138276.68711117023,25574.448587203464,112839.73852396676,15127.09200522614,8047.356581977324,2400.0,10499.928004495112,550.0,412.49999999999994
28,135036.95912951572,25812.051814672224,109362.40731484351,15364.695232694898,8047.356581977324,2400.0,7744.15503310561,550.0,412.49999999999994
29,118728.58895188865,24714.90395946315,94151.18499242551,14267.547377485827,8047.356581977324,2400.0,11438.75738169773,550.0,412.49999999999994
30,100933.81604945927,24414.56618477568,76656.74986468362,13967.20960279835,8047.356581977324,2400.0,12755.84936920418,550.0,412.49999999999994
31,94271.85215084272,24132.913061626576,70351.43908921613,13685.55647964925,8047.356581977324,2400.0,13644.46919518691,550.0,337.4999999999999
32,102795.33945361416,24130.347703944608,78727.49174966954,13682.991121967283,8047.356581977324,2400.0,15340.055916045825,550.0,487.5
33,118910.26848501833,24986.0039709127,94061.76451410564,14538.647388935377,8047.356581977324,2400.0,13589.666617289682,550.0,412.49999999999994
34,129164.62931452514,25194.091997065545,104108.03731745962,14746.73541508822,8047.356581977324,2400.0,11944.845556376798,550.0,412.49999999999994
35,124498.03395960807,25011.580673300625,99623.95328630743,14564.224091323296,8047.356581977324,2400.0,8222.202259757216,550.0,412.49999999999994
36,107147.77093531284,24766.861464544774,82518.40947076808,14319.504882567451,8047.356581977324,2400.0,7619.565752135901,550.0,412.49999999999994
37,88952.68630676813,23902.960324932417,65187.2259818357,13455.603742955092,8047.356581977324,2400.0,11383.898108337955,550.0,412.49999999999994
38,82346.34665525361,23295.601104034195,59188.24555121943,12848.24452205687,8047.356581977324,2400.0,14005.065477073655,550.0,412.49999999999994
39,90897.631231448,23740.798311908362,67294.33291953962,13293.441729931037,8047.356581977324,2400.0,14408.483251440422,550.0,412.49999999999994
40,106601.50580198779,24644.915761278215,82094.09004070955,14197.559179300892,8047.356581977324,2400.0,17853.648852431885,550.0,412.49999999999994
41,115982.85213231116,24435.575955904493,91684.77617640665,13988.219373927168,8047.356581977324,2400.0,11880.722623708627,550.0,412.49999999999994
42,110365.58823440973,24768.473147842953,85734.61508656679,14321.116565865628,8047.356581977324,2400.0,13574.67329980381,550.0,412.49999999999994
43,92487.68307308482,24065.793412197992,68559.38966088681,13618.436830220673,8047.356581977324,2400.0,14443.750006239214,550.0,412.49999999999994
44,74425.06130097854,23093.960514737028,51531.10078624152,12646.603932759705,8047.356581977324,2400.0,12915.114167701366,550.0,349.9999999999999
45,68405.17651583963,23257.520132352704,45222.65638348692,12810.163550375382,8047.356581977324,2400.0,8644.588835702762,550.0,475.0
46,77505.14232967069,23638.677754399338,54003.964575271355,13191.321172422011,8047.356581977324,2400.0,11898.640852473345,550.0,412.49999999999994
47,93317.21351106753,23740.034509485922,69714.67900158162,13292.677927508603,8047.356581977324,2400.0,13685.688239534433,550.0,412.49999999999994
48,102359.1715221246,24378.24198170352,78118.42954042109,13930.885399726196,8047.356581977324,2400.0,10756.330790709719,550.0,412.49999999999994
49,96348.42516060165,24377.21827620086,72108.70688440074,13929.861694223531,8047.356581977324,2400.0,12315.567398659794,550.0,412.49999999999994
50,78516.64012689084,23491.785004562935,55162.35512232789,13044.428422585606,8047.356581977324,2400.0,11138.093550802138,550.0,412.49999999999994
51,61156.62351454551,22903.13525113357,38390.98826341194,12455.778669156249,8047.356581977324,2400.0,9374.922347879203,550.0,412.49999999999994
52,56269.327285917825,22459.20295746687,33947.62432845096,12011.846375489544,8047.356581977324,2400.0,13020.714255484183,550.0,412.49999999999994
53,66432.70145556775,23010.087176382316,43560.11427918542,12562.73059440499,8047.356581977324,2400.0,10332.300750542352,550.0,412.49999999999994
54,82845.20399878778,23854.64243099768,59128.06156779011,13407.285849020354,8047.356581977324,2400.0,10324.370569655212,550.0,412.49999999999994
55,92033.6861581989,24459.605056713313,67711.5811014856,14012.248474735992,8047.356581977324,2400.0,13239.39688351497,550.0,412.49999999999994
