bus0,bus1,p_nom_mw,max_abs_flow_mw,mean_abs_flow_mw,max_loading_ratio
Bus1,Bus2,5000.0,2546.452353160799,2165.2070630917847,0.5092904706321597
Bus2,Bus3,5000.0,5000.0,3774.509397588387,1.0
Bus3,Bus4,5000.0,5000.0,3450.582959253819,1.0
Bus4,Bus5,5000.0,5000.0,2427.277706082636,1.0
Bus6,Bus7,5000.0,5000.0,3931.133195597623,1.0
Bus7,Bus8,5000.0,5000.0,4257.181887578975,1.0
Bus8,Bus9,5000.0,5000.0,4130.168849115048,1.0
Bus9,Bus10,5000.0,5000.0,4325.230620072542,1.0
Bus10,Bus11,5000.0,5000.0,4205.434112968927,1.0
Bus11,Bus12,5000.0,5000.0,4112.152537772197,1.0
Bus12,Bus13,5000.0,5000.0,4195.774333744715,1.0
Bus13,Bus14,5000.0,5000.0,4113.3159207139915,1.0
Bus14,Bus15,5000.0,5000.0,4098.475227306901,1.0
Bus15,Bus16,5000.0,5000.0,4173.647496898357,1.0
Bus16,Bus17,5000.0,5000.0,4169.099099677519,1.0
Bus17,Bus18,5000.0,5000.0,4321.03795765646,1.0
Bus18,Bus19,5000.0,5000.0,4209.492490473266,1.0
Bus19,Bus20,5000.0,5000.0,4349.21801120373,1.0
Bus1,Bus6,1500.0,1500.0,1500.0,1.0
Bus2,Bus7,1500.0,1500.0,1500.0,1.0
Bus3,Bus8,1500.0,1500.0,1500.0,1.0
Bus4,Bus9,1500.0,1500.0,1500.0,1.0
Bus5,Bus10,1500.0,1500.0,1500.0,1.0
