hour,demand_mw,generation_mw,load_shed_mw,wind_dispatch_mw,gas_dispatch_mw,nuclear_dispatch_mw,wind_curtailment_mw,storage_charge_mw,storage_discharge_mw,transfer_volume_mw
0,113235.03081712821,58883.302218053475,53850.361748303185,44672.71980257802,10610.582415475463,3600.0,0.0,0.0,501.36685077153004,40733.68359766164
1,101604.81038085517,51840.96234311818,49293.43417811463,37630.37992764272,10610.582415475463,3600.0,0.0,0.0,470.41385962236245,34110.95977655844
2,86308.16927158141,52392.94920931099,33565.901865167354,38182.36679383554,10610.582415475463,3600.0,0.0,0.0,349.31819710306684,35194.73345677352
3,80522.35697790461,53261.09356123358,27046.95898310468,39050.51114575813,10610.582415475463,3600.0,0.0,0.0,214.304433566343,36553.565074602906
4,90165.30637495837,49043.91962151186,40881.41830697738,34833.33720603638,10610.582415475463,3600.0,0.0,0.0,239.9684464691393,31694.364536859794
5,109380.90701161747,53222.3933788633,55985.328261771625,39011.81096338784,10610.582415475463,3600.0,0.0,0.0,173.18537098254518,34393.33031338985
6,124989.68566055656,48346.35154771039,76643.33411284618,34135.76913223492,10610.582415475463,3600.0,0.0,0.0,-2.4613922385709617e-14,29960.799711286047
7,126516.00307208969,52873.67562035014,73642.32745173955,38663.0932048747,10610.582415475463,3600.0,0.0,0.0,0.0,33976.56482278204
8,114156.67664708235,56486.45526961439,57670.221377467955,42275.872854138936,10610.582415475463,3600.0,0.0,0.0,0.0,38436.09840900064
9,98623.42379830468,57010.6986473092,41612.725150995466,42800.11623183374,10610.582415475463,3600.0,0.0,0.0,0.0,39409.926582912405
10,92979.1398988091,44347.22737233526,48631.91252647385,30136.6449568598,10610.582415475463,3600.0,0.0,0.0,0.0,27087.70197421992
11,102684.2598795031,47839.301603623506,54844.95827587959,33628.71918814803,10610.582415475463,3600.0,0.0,0.0,0.0,29636.1529489668
12,121432.36935956641,46805.354260305394,74627.01509926101,32594.771844829927,10610.582415475463,3600.0,0.0,0.0,0.0,28687.974786647246
13,135946.04648064196,49334.30283040568,86611.74365023625,35123.72041493022,10610.582415475463,3600.0,0.0,0.0,0.0,29921.758033774495
