bus,carrier,p_nom,marginal_cost,total_generation_gwh
Bus1,onshore wind,10000.0,0.0,767.0488000137243
Bus2,onshore wind,10000.0,0.0,764.7653970635931
Bus3,onshore wind,10000.0,0.0,743.129522974177
Bus4,onshore wind,10000.0,0.0,753.0035381107796
Bus5,onshore wind,10000.0,0.0,780.7539556189226
Bus6,onshore wind,500.0,0.0,26.09734670418047
Bus7,onshore wind,500.0,0.0,26.179648165962636
Bus8,onshore wind,500.0,0.0,25.245152717046427
Bus9,onshore wind,500.0,0.0,26.53295118945762
Bus10,onshore wind,500.0,0.0,25.914080654239157
Bus11,onshore wind,500.0,0.0,25.38975199226953
Bus12,onshore wind,500.0,0.0,25.379289836220757
Bus13,onshore wind,500.0,0.0,25.008396188272354
Bus14,onshore wind,500.0,0.0,25.30894986120691
Bus15,onshore wind,500.0,0.0,25.908030750094454
Bus16,onshore wind,500.0,0.0,26.235546441036362
Bus17,onshore wind,500.0,0.0,24.470856057197466
Bus18,onshore wind,500.0,0.0,25.360149915248805
Bus19,onshore wind,500.0,0.0,24.714722863537823
Bus20,onshore wind,500.0,0.0,26.215917662694196
Bus1,gas,494.338644844741,50.0,0.0
Bus2,gas,435.6745158869479,50.0,0.0
Bus3,gas,714.3687545759647,50.0,0.0
Bus4,gas,478.37666334679466,50.0,0.0
Bus5,gas,440.4672548436904,50.0,0.0
Bus6,gas,571.3480415791242,50.0,95.9864709852929
Bus7,gas,370.4621124873813,50.0,62.23763489788005
Bus8,gas,701.0984903770199,50.0,117.7845463833393
Bus9,gas,337.2753218398854,50.0,56.66225406910075
Bus10,gas,793.4434683002587,50.0,133.29850267444345
Bus11,gas,686.1223846483288,50.0,115.26856062091925
Bus12,gas,399.3578407670862,50.0,67.09211724887048
Bus13,gas,302.7610585618012,50.0,50.86385783838261
Bus14,gas,707.7307142274171,50.0,118.89875999020606
Bus15,gas,653.4286719238086,50.0,109.77601688319986
Bus16,gas,664.5035840204937,50.0,111.63660211544294
Bus17,gas,685.6351733429728,50.0,115.18670912161944
Bus18,gas,337.0223258670452,50.0,56.61975074566361
Bus19,gas,479.23286427213634,50.0,80.51112119771892
Bus20,gas,357.93452976256486,50.0,60.13300100011091
Bus2,nuclear,1200.0,10.0,0.0
Bus8,nuclear,1200.0,10.0,201.6
Bus14,nuclear,1200.0,10.0,201.6
