link,p_nom_mw,mean_flow_mw,max_flow_mw,min_flow_mw,utilization_pct
Bus1-Bus2,5000,-4551.3,5000.0,-5000.0,100.0
Bus2-Bus3,5000,-4067.5,5000.0,-5000.0,100.0
Bus3-Bus4,5000,-3370.0,5000.0,-5000.0,100.0
Bus4-Bus5,5000,-2358.3,5000.0,-5000.0,100.0
Bus6-Bus7,5000,-824.5,5000.0,-5000.0,100.0
Bus7-Bus8,5000,-647.6,5000.0,-5000.0,100.0
Bus8-Bus9,5000,-163.4,5000.0,-5000.0,100.0
Bus9-Bus10,5000,-83.2,5000.0,-5000.0,100.0
Bus10-Bus11,5000,-110.1,5000.0,-5000.0,100.0
Bus11-Bus12,5000,-156.8,5000.0,-5000.0,100.0
Bus12-Bus13,5000,-468.1,5000.0,-5000.0,100.0
Bus13-Bus14,5000,2205.1,5000.0,-5000.0,100.0
Bus14-Bus15,5000,2663.6,5000.0,-5000.0,100.0
Bus15-Bus16,5000,2912.8,5000.0,-5000.0,100.0
Bus16-Bus17,5000,2176.4,5000.0,-5000.0,100.0
Bus17-Bus18,5000,2607.1,5000.0,-5000.0,100.0
Bus18-Bus19,5000,2778.9,5000.0,-5000.0,100.0
Bus19-Bus20,5000,3016.4,5000.0,-5000.0,100.0
Bus1-Bus6,1500,1500.0,1500.0,1500.0,100.0
Bus2-Bus7,1500,1500.0,1500.0,1500.0,100.0
Bus3-Bus8,1500,1500.0,1500.0,1500.0,100.0
Bus4-Bus9,1500,1500.0,1500.0,1500.0,100.0
Bus5-Bus10,1500,1500.0,1500.0,1500.0,100.0
