scenario,time,bus,carrier,curtailment_mw
base,0,Bus1,onshore wind,1715.8062
base,0,Bus2,onshore wind,6247.222
base,0,Bus3,onshore wind,-0.0
base,0,Bus4,onshore wind,-0.0
base,0,Bus5,onshore wind,0.0
base,0,Bus6,onshore wind,-0.0
base,0,Bus7,onshore wind,-0.0
base,0,Bus8,onshore wind,-0.0
base,0,Bus9,onshore wind,-0.0
base,0,Bus10,onshore wind,-0.0
base,0,Bus11,onshore wind,-0.0
base,0,Bus12,onshore wind,-0.0
base,0,Bus13,onshore wind,-0.0
base,0,Bus14,onshore wind,-0.0
base,0,Bus15,onshore wind,-0.0
base,0,Bus16,onshore wind,-0.0
base,0,Bus17,onshore wind,-0.0
base,0,Bus18,onshore wind,-0.0
base,0,Bus19,onshore wind,0.0
base,0,Bus20,onshore wind,-0.0
base,1,Bus1,onshore wind,-0.0
base,1,Bus2,onshore wind,3720.8346
base,1,Bus3,onshore wind,-0.0
base,1,Bus4,onshore wind,-0.0
base,1,Bus5,onshore wind,0.0
base,1,Bus6,onshore wind,0.0
base,1,Bus7,onshore wind,-0.0
base,1,Bus8,onshore wind,-0.0
base,1,Bus9,onshore wind,-0.0
base,1,Bus10,onshore wind,-0.0
base,1,Bus11,onshore wind,-0.0
base,1,Bus12,onshore wind,-0.0
base,1,Bus13,onshore wind,-0.0
base,1,Bus14,onshore wind,-0.0
base,1,Bus15,onshore wind,-0.0
base,1,Bus16,onshore wind,-0.0
base,1,Bus17,onshore wind,-0.0
base,1,Bus18,onshore wind,-0.0
base,1,Bus19,onshore wind,0.0
base,1,Bus20,onshore wind,-0.0
base,2,Bus1,onshore wind,-0.0
base,2,Bus2,onshore wind,4670.8302
base,2,Bus3,onshore wind,-0.0
base,2,Bus4,onshore wind,-0.0
base,2,Bus5,onshore wind,0.0
base,2,Bus6,onshore wind,-0.0
base,2,Bus7,onshore wind,0.0
base,2,Bus8,onshore wind,-0.0
base,2,Bus9,onshore wind,-0.0
base,2,Bus10,onshore wind,-0.0
base,2,Bus11,onshore wind,-0.0
base,2,Bus12,onshore wind,-0.0
base,2,Bus13,onshore wind,-0.0
base,2,Bus14,onshore wind,-0.0
base,2,Bus15,onshore wind,-0.0
base,2,Bus16,onshore wind,-0.0
base,2,Bus17,onshore wind,-0.0
base,2,Bus18,onshore wind,0.0
base,2,Bus19,onshore wind,0.0
base,2,Bus20,onshore wind,-0.0
base,3,Bus1,onshore wind,-0.0
base,3,Bus2,onshore wind,5662.7601
base,3,Bus3,onshore wind,-0.0
base,3,Bus4,onshore wind,-0.0
base,3,Bus5,onshore wind,0.0
base,3,Bus6,onshore wind,0.0
base,3,Bus7,onshore wind,-0.0
base,3,Bus8,onshore wind,-0.0
base,3,Bus9,onshore wind,-0.0
base,3,Bus10,onshore wind,-0.0
base,3,Bus11,onshore wind,-0.0
base,3,Bus12,onshore wind,-0.0
base,3,Bus13,onshore wind,-0.0
base,3,Bus14,onshore wind,-0.0
base,3,Bus15,onshore wind,-0.0
base,3,Bus16,onshore wind,-0.0
base,3,Bus17,onshore wind,-0.0
base,3,Bus18,onshore wind,0.0
base,3,Bus19,onshore wind,0.0
base,3,Bus20,onshore wind,-0.0
base,4,Bus1,onshore wind,2279.8906
base,4,Bus2,onshore wind,-0.0
base,4,Bus3,onshore wind,-0.0
base,4,Bus4,onshore wind,0.0
base,4,Bus5,onshore wind,-0.0
base,4,Bus6,onshore wind,0.0
base,4,Bus7,onshore wind,-0.0
base,4,Bus8,onshore wind,-0.0
base,4,Bus9,onshore wind,-0.0
base,4,Bus10,onshore wind,-0.0
base,4,Bus11,onshore wind,-0.0
base,4,Bus12,onshore wind,-0.0
base,4,Bus13,onshore wind,-0.0
base,4,Bus14,onshore wind,-0.0
base,4,Bus15,onshore wind,-0.0
base,4,Bus16,onshore wind,-0.0
base,4,Bus17,onshore wind,-0.0
base,4,Bus18,onshore wind,0.0
base,4,Bus19,onshore wind,0.0
base,4,Bus20,onshore wind,-0.0
base,5,Bus1,onshore wind,3872.0576
base,5,Bus2,onshore wind,-0.0
base,5,Bus3,onshore wind,-0.0
base,5,Bus4,onshore wind,0.0
base,5,Bus5,onshore wind,-0.0
base,5,Bus6,onshore wind,-0.0
base,5,Bus7,onshore wind,-0.0
base,5,Bus8,onshore wind,-0.0
base,5,Bus9,onshore wind,-0.0
base,5,Bus10,onshore wind,-0.0
base,5,Bus11,onshore wind,-0.0
base,5,Bus12,onshore wind,-0.0
base,5,Bus13,onshore wind,-0.0
base,5,Bus14,onshore wind,-0.0
base,5,Bus15,onshore wind,-0.0
base,5,Bus16,onshore wind,-0.0
base,5,Bus17,onshore wind,-0.0
base,5,Bus18,onshore wind,-0.0
base,5,Bus19,onshore wind,0.0
base,5,Bus20,onshore wind,-0.0
base,6,Bus1,onshore wind,727.58591
base,6,Bus2,onshore wind,-0.0
base,6,Bus3,onshore wind,-0.0
base,6,Bus4,onshore wind,0.0
base,6,Bus5,onshore wind,-0.0
base,6,Bus6,onshore wind,-0.0
base,6,Bus7,onshore wind,-0.0
base,6,Bus8,onshore wind,-0.0
base,6,Bus9,onshore wind,-0.0
base,6,Bus10,onshore wind,-0.0
base,6,Bus11,onshore wind,-0.0
base,6,Bus12,onshore wind,-0.0
base,6,Bus13,onshore wind,-0.0
base,6,Bus14,onshore wind,-0.0
base,6,Bus15,onshore wind,-0.0
base,6,Bus16,onshore wind,-0.0
base,6,Bus17,onshore wind,-0.0
base,6,Bus18,onshore wind,-0.0
base,6,Bus19,onshore wind,0.0
base,6,Bus20,onshore wind,-0.0
base,7,Bus1,onshore wind,2986.4296
base,7,Bus2,onshore wind,-0.0
base,7,Bus3,onshore wind,-0.0
base,7,Bus4,onshore wind,0.0
base,7,Bus5,onshore wind,-0.0
base,7,Bus6,onshore wind,-0.0
base,7,Bus7,onshore wind,-0.0
base,7,Bus8,onshore wind,-0.0
base,7,Bus9,onshore wind,-0.0
base,7,Bus10,onshore wind,-0.0
base,7,Bus11,onshore wind,-0.0
base,7,Bus12,onshore wind,-0.0
base,7,Bus13,onshore wind,-0.0
base,7,Bus14,onshore wind,-0.0
base,7,Bus15,onshore wind,-0.0
base,7,Bus16,onshore wind,-0.0
base,7,Bus17,onshore wind,-0.0
base,7,Bus18,onshore wind,-0.0
base,7,Bus19,onshore wind,0.0
base,7,Bus20,onshore wind,-0.0
base,8,Bus1,onshore wind,6070.1453
base,8,Bus2,onshore wind,-0.0
base,8,Bus3,onshore wind,-0.0
base,8,Bus4,onshore wind,0.0
base,8,Bus5,onshore wind,-0.0
base,8,Bus6,onshore wind,-0.0
base,8,Bus7,onshore wind,-0.0
base,8,Bus8,onshore wind,-0.0
base,8,Bus9,onshore wind,-0.0
base,8,Bus10,onshore wind,-0.0
base,8,Bus11,onshore wind,-0.0
base,8,Bus12,onshore wind,-0.0
base,8,Bus13,onshore wind,-0.0
base,8,Bus14,onshore wind,-0.0
base,8,Bus15,onshore wind,-0.0
base,8,Bus16,onshore wind,-0.0
