scenario,time,bus,carrier,curtailment_mw
tight_lines,0,Bus1,onshore wind,4831.2634
tight_lines,0,Bus2,onshore wind,6247.222
tight_lines,0,Bus3,onshore wind,-0.0
tight_lines,0,Bus4,onshore wind,4384.5428
tight_lines,0,Bus5,onshore wind,-0.0
tight_lines,0,Bus6,onshore wind,-0.0
tight_lines,0,Bus7,onshore wind,-0.0
tight_lines,0,Bus8,onshore wind,-0.0
tight_lines,0,Bus9,onshore wind,-0.0
tight_lines,0,Bus10,onshore wind,-0.0
tight_lines,0,Bus11,onshore wind,-0.0
tight_lines,0,Bus12,onshore wind,-0.0
tight_lines,0,Bus13,onshore wind,-0.0
tight_lines,0,Bus14,onshore wind,-0.0
tight_lines,0,Bus15,onshore wind,-0.0
tight_lines,0,Bus16,onshore wind,-0.0
tight_lines,0,Bus17,onshore wind,-0.0
tight_lines,0,Bus18,onshore wind,-0.0
tight_lines,0,Bus19,onshore wind,-0.0
tight_lines,0,Bus20,onshore wind,-0.0
tight_lines,1,Bus1,onshore wind,5775.4011
tight_lines,1,Bus2,onshore wind,5248.1877
tight_lines,1,Bus3,onshore wind,-0.0
tight_lines,1,Bus4,onshore wind,-0.0
tight_lines,1,Bus5,onshore wind,197.24584
tight_lines,1,Bus6,onshore wind,-0.0
tight_lines,1,Bus7,onshore wind,-0.0
tight_lines,1,Bus8,onshore wind,-0.0
tight_lines,1,Bus9,onshore wind,-0.0
tight_lines,1,Bus10,onshore wind,-0.0
tight_lines,1,Bus11,onshore wind,-0.0
tight_lines,1,Bus12,onshore wind,-0.0
tight_lines,1,Bus13,onshore wind,-0.0
tight_lines,1,Bus14,onshore wind,-0.0
tight_lines,1,Bus15,onshore wind,-0.0
tight_lines,1,Bus16,onshore wind,-0.0
tight_lines,1,Bus17,onshore wind,-0.0
tight_lines,1,Bus18,onshore wind,-0.0
tight_lines,1,Bus19,onshore wind,-0.0
tight_lines,1,Bus20,onshore wind,-0.0
tight_lines,2,Bus1,onshore wind,4613.7592
tight_lines,2,Bus2,onshore wind,5712.3419
tight_lines,2,Bus3,onshore wind,-0.0
tight_lines,2,Bus4,onshore wind,1844.7292
tight_lines,2,Bus5,onshore wind,-0.0
tight_lines,2,Bus6,onshore wind,-0.0
tight_lines,2,Bus7,onshore wind,-0.0
tight_lines,2,Bus8,onshore wind,-0.0
tight_lines,2,Bus9,onshore wind,-0.0
tight_lines,2,Bus10,onshore wind,-0.0
tight_lines,2,Bus11,onshore wind,-0.0
tight_lines,2,Bus12,onshore wind,-0.0
tight_lines,2,Bus13,onshore wind,-0.0
tight_lines,2,Bus14,onshore wind,-0.0
tight_lines,2,Bus15,onshore wind,-0.0
tight_lines,2,Bus16,onshore wind,-0.0
tight_lines,2,Bus17,onshore wind,-0.0
tight_lines,2,Bus18,onshore wind,-0.0
tight_lines,2,Bus19,onshore wind,-0.0
tight_lines,2,Bus20,onshore wind,-0.0
tight_lines,3,Bus1,onshore wind,5186.9479
tight_lines,3,Bus2,onshore wind,7165.3798
tight_lines,3,Bus3,onshore wind,810.43239
tight_lines,3,Bus4,onshore wind,-0.0
tight_lines,3,Bus5,onshore wind,0.0
tight_lines,3,Bus6,onshore wind,-0.0
tight_lines,3,Bus7,onshore wind,-0.0
tight_lines,3,Bus8,onshore wind,-0.0
tight_lines,3,Bus9,onshore wind,-0.0
tight_lines,3,Bus10,onshore wind,-0.0
tight_lines,3,Bus11,onshore wind,-0.0
tight_lines,3,Bus12,onshore wind,-0.0
tight_lines,3,Bus13,onshore wind,-0.0
tight_lines,3,Bus14,onshore wind,-0.0
tight_lines,3,Bus15,onshore wind,-0.0
tight_lines,3,Bus16,onshore wind,-0.0
tight_lines,3,Bus17,onshore wind,-0.0
tight_lines,3,Bus18,onshore wind,-0.0
tight_lines,3,Bus19,onshore wind,0.0
tight_lines,3,Bus20,onshore wind,-0.0
tight_lines,4,Bus1,onshore wind,4526.2191
tight_lines,4,Bus2,onshore wind,5253.6715
tight_lines,4,Bus3,onshore wind,-0.0
tight_lines,4,Bus4,onshore wind,-0.0
tight_lines,4,Bus5,onshore wind,-0.0
tight_lines,4,Bus6,onshore wind,-0.0
tight_lines,4,Bus7,onshore wind,-0.0
tight_lines,4,Bus8,onshore wind,-0.0
tight_lines,4,Bus9,onshore wind,-0.0
tight_lines,4,Bus10,onshore wind,-0.0
tight_lines,4,Bus11,onshore wind,-0.0
tight_lines,4,Bus12,onshore wind,-0.0
tight_lines,4,Bus13,onshore wind,-0.0
tight_lines,4,Bus14,onshore wind,-0.0
tight_lines,4,Bus15,onshore wind,-0.0
tight_lines,4,Bus16,onshore wind,-0.0
tight_lines,4,Bus17,onshore wind,-0.0
tight_lines,4,Bus18,onshore wind,-0.0
tight_lines,4,Bus19,onshore wind,-0.0
tight_lines,4,Bus20,onshore wind,-0.0
tight_lines,5,Bus1,onshore wind,4670.6919
tight_lines,5,Bus2,onshore wind,6683.5413
tight_lines,5,Bus3,onshore wind,-0.0
tight_lines,5,Bus4,onshore wind,17.824359
tight_lines,5,Bus5,onshore wind,-0.0
tight_lines,5,Bus6,onshore wind,-0.0
tight_lines,5,Bus7,onshore wind,-0.0
tight_lines,5,Bus8,onshore wind,-0.0
tight_lines,5,Bus9,onshore wind,-0.0
tight_lines,5,Bus10,onshore wind,-0.0
tight_lines,5,Bus11,onshore wind,-0.0
tight_lines,5,Bus12,onshore wind,-0.0
tight_lines,5,Bus13,onshore wind,-0.0
tight_lines,5,Bus14,onshore wind,-0.0
tight_lines,5,Bus15,onshore wind,-0.0
tight_lines,5,Bus16,onshore wind,-0.0
tight_lines,5,Bus17,onshore wind,-0.0
tight_lines,5,Bus18,onshore wind,-0.0
tight_lines,5,Bus19,onshore wind,-0.0
tight_lines,5,Bus20,onshore wind,-0.0
tight_lines,6,Bus1,onshore wind,6882.8685
tight_lines,6,Bus2,onshore wind,1445.1984
tight_lines,6,Bus3,onshore wind,-0.0
tight_lines,6,Bus4,onshore wind,0.0
tight_lines,6,Bus5,onshore wind,-0.0
tight_lines,6,Bus6,onshore wind,-0.0
tight_lines,6,Bus7,onshore wind,-0.0
tight_lines,6,Bus8,onshore wind,-0.0
tight_lines,6,Bus9,onshore wind,-0.0
tight_lines,6,Bus10,onshore wind,-0.0
tight_lines,6,Bus11,onshore wind,-0.0
tight_lines,6,Bus12,onshore wind,-0.0
tight_lines,6,Bus13,onshore wind,-0.0
tight_lines,6,Bus14,onshore wind,-0.0
tight_lines,6,Bus15,onshore wind,-0.0
tight_lines,6,Bus16,onshore wind,-0.0
tight_lines,6,Bus17,onshore wind,-0.0
tight_lines,6,Bus18,onshore wind,-0.0
tight_lines,6,Bus19,onshore wind,-0.0
tight_lines,6,Bus20,onshore wind,-0.0
tight_lines,7,Bus1,onshore wind,7594.5274
tight_lines,7,Bus2,onshore wind,-0.0
tight_lines,7,Bus3,onshore wind,3390.7261
tight_lines,7,Bus4,onshore wind,-0.0
tight_lines,7,Bus5,onshore wind,-0.0
tight_lines,7,Bus6,onshore wind,-0.0
tight_lines,7,Bus7,onshore wind,-0.0
tight_lines,7,Bus8,onshore wind,-0.0
tight_lines,7,Bus9,onshore wind,-0.0
tight_lines,7,Bus10,onshore wind,-0.0
tight_lines,7,Bus11,onshore wind,-0.0
tight_lines,7,Bus12,onshore wind,-0.0
tight_lines,7,Bus13,onshore wind,-0.0
tight_lines,7,Bus14,onshore wind,-0.0
tight_lines,7,Bus15,onshore wind,-0.0
tight_lines,7,Bus16,onshore wind,-0.0
tight_lines,7,Bus17,onshore wind,-0.0
tight_lines,7,Bus18,onshore wind,-0.0
tight_lines,7,Bus19,onshore wind,-0.0
tight_lines,7,Bus20,onshore wind,-0.0
tight_lines,8,Bus1,onshore wind,6294.9259
tight_lines,8,Bus2,onshore wind,7825.2193
tight_lines,8,Bus3,onshore wind,-0.0
tight_lines,8,Bus4,onshore wind,-0.0
tight_lines,8,Bus5,onshore wind,-0.0
tight_lines,8,Bus6,onshore wind,-0.0
tight_lines,8,Bus7,onshore wind,-0.0
tight_lines,8,Bus8,onshore wind,-0.0
tight_lines,8,Bus9,onshore wind,-0.0
tight_lines,8,Bus10,onshore wind,-0.0
tight_lines,8,Bus11,onshore wind,-0.0
tight_lines,8,Bus12,onshore wind,-0.0
tight_lines,8,Bus13,onshore wind,-0.0
tight_lines,8,Bus14,onshore wind,-0.0
tight_lines,8,Bus15,onshore wind,-0.0
tight_lines,8,Bus16,onshore wind,-0.0
tight_lines,8,Bus17,onshore wind,-0.0
tight_lines,8,Bus18,onshore wind,-0.0
tight_lines,8,Bus19,onshore wind,-0.0
tight_lines,8,Bus20,onshore wind,-0.0
tight_lines,9,Bus1,onshore wind,7456.9134
tight_lines,9,Bus2,onshore wind,6550.5847
tight_lines,9,Bus3,onshore wind,965.30411
tight_lines,9,Bus4,onshore wind,-0.0
tight_lines,9,Bus5,onshore wind,-0.0
tight_lines,9,Bus6,onshore wind,-0.0
tight_lines,9,Bus7,onshore wind,-0.0
tight_lines,9,Bus8,onshore wind,-0.0
tight_lines,9,Bus9,onshore wind,-0.0
tight_lines,9,Bus10,onshore wind,-0.0
tight_lines,9,Bus11,onshore wind,-0.0
tight_lines,9,Bus12,onshore wind,-0.0
tight_lines,9,Bus13,onshore wind,-0.0
tight_lines,9,Bus14,onshore wind,-0.0
tight_lines,9,Bus15,onshore wind,-0.0
tight_lines,9,Bus16,onshore wind,-0.0
tight_lines,9,Bus17,onshore wind,-0.0
tight_lines,9,Bus18,onshore wind,-0.0
tight_lines,9,Bus19,onshore wind,-0.0
tight_lines,9,Bus20,onshore wind,-0.0
tight_lines,10,Bus1,onshore wind,6748.3505
tight_lines,10,Bus2,onshore wind,-0.0
tight_lines,10,Bus3,onshore wind,-0.0
tight_lines,10,Bus4,onshore wind,-0.0
tight_lines,10,Bus5,onshore wind,0.0
tight_lines,10,Bus6,onshore wind,-0.0
tight_lines,10,Bus7,onshore wind,-0.0
tight_lines,10,Bus8,onshore wind,-0.0
tight_lines,10,Bus9,onshore wind,-0.0
tight_lines,10,Bus10,onshore wind,-0.0
tight_lines,10,Bus11,onshore wind,-0.0
tight_lines,10,Bus12,onshore wind,-0.0
tight_lines,10,Bus13,onshore wind,-0.0
tight_lines,10,Bus14,onshore wind,-0.0
tight_lines,10,Bus15,onshore wind,-0.0
tight_lines,10,Bus16,onshore wind,-0.0
tight_lines,10,Bus17,onshore wind,-0.0
tight_lines,10,Bus18,onshore wind,-0.0
