scenario,time,bus,carrier,generator_id,dispatch_mw
base,0,Bus1,onshore wind,0,3115.4572
base,1,Bus1,onshore wind,0,5775.4011
base,2,Bus1,onshore wind,0,4613.7592
base,3,Bus1,onshore wind,0,5186.9479
base,4,Bus1,onshore wind,0,2246.3285
base,5,Bus1,onshore wind,0,798.63433
base,6,Bus1,onshore wind,0,6155.2826
base,7,Bus1,onshore wind,0,4608.0978
base,8,Bus1,onshore wind,0,224.78066
base,9,Bus1,onshore wind,0,534.11124
base,10,Bus1,onshore wind,0,6857.3025
base,11,Bus1,onshore wind,0,5847.7183
base,12,Bus1,onshore wind,0,6806.3548
base,13,Bus1,onshore wind,0,7884.2611
base,14,Bus1,onshore wind,0,6183.5476
base,15,Bus1,onshore wind,0,5709.5455
base,16,Bus1,onshore wind,0,3219.4478
base,17,Bus1,onshore wind,0,4935.629
base,18,Bus1,onshore wind,0,5425.6476
base,19,Bus1,onshore wind,0,4757.8909
base,20,Bus1,onshore wind,0,4854.3673
base,21,Bus1,onshore wind,0,2474.8094
base,22,Bus1,onshore wind,0,1224.2486
base,23,Bus1,onshore wind,0,728.95439
base,24,Bus1,onshore wind,0,3239.4646
base,25,Bus1,onshore wind,0,2306.6596
base,26,Bus1,onshore wind,0,781.37849
base,27,Bus1,onshore wind,0,2404.8799
base,28,Bus1,onshore wind,0,3658.8162
base,29,Bus1,onshore wind,0,0.0
base,30,Bus1,onshore wind,0,1130.3325
base,31,Bus1,onshore wind,0,0.0
base,32,Bus1,onshore wind,0,0.0
base,33,Bus1,onshore wind,0,2032.141
base,34,Bus1,onshore wind,0,756.39054
base,35,Bus1,onshore wind,0,1750.2841
base,36,Bus1,onshore wind,0,2585.2488
base,37,Bus1,onshore wind,0,1725.4716
base,38,Bus1,onshore wind,0,2312.7249
base,39,Bus1,onshore wind,0,1406.7861
base,40,Bus1,onshore wind,0,1106.8052
base,41,Bus1,onshore wind,0,4040.1487
base,42,Bus1,onshore wind,0,2867.5393
base,43,Bus1,onshore wind,0,3995.7054
