Bus,Total_Demand_MWh,Wind_Generation_MWh,Gas_Generation_MWh,Load_Shedding_MWh,Net_Import_MWh
Bus1,109000.96938156913,392822.0154535007,1756.79573761125,118.10301538069109,-285695.94482492347
Bus2,134075.88835947737,418268.39664045756,0.0,0.0,-284192.50828098017
Bus3,103110.90861894267,384945.75128732587,0.0,0.0,-281834.8426683832
Bus4,161906.33101969416,507372.2145250933,0.0,0.0,-345465.88350539916
Bus5,118190.01476352112,184921.9019830767,0.0,0.0,-66731.88721955559
Bus6,1073528.9850515255,26097.34670418047,95986.4709852929,699445.1673620522,251999.99999999988
Bus7,932081.9058792505,26179.648165962637,62237.63489788005,591664.6228154078,252000.0
Bus8,1016091.4261388935,25245.152717046425,117784.5463833393,632169.074348724,240892.65268978372
Bus9,1026833.5846312102,26532.95118945762,56662.254069100745,869122.2871692851,74516.09220336669
Bus10,880933.3164678924,25914.08065423916,133298.50267444344,726802.5596927572,-5081.826553547406
Bus11,1197336.52191467,25389.751992269532,115268.56062091925,475525.9463027783,581152.2629987029
Bus12,1118933.5543792015,25379.289836220756,67092.11724887048,1065112.4166884026,-38650.26939429226
Bus13,1185205.9732386814,25008.396188272352,50863.85783838261,1022609.7598113413,86723.95940068504
Bus14,1167194.3876924277,25308.949861206907,118898.75999020606,933111.5900200778,89875.08782093704
Bus15,1047473.2714566295,25908.030750094455,109776.01688319986,916335.2834970255,-4546.059673690237
Bus16,1178099.6915613206,26235.546441036364,111636.60211544295,921149.8132468238,119077.72975801746
Bus17,842080.1768273339,24470.856057197467,115186.70912161944,845641.752083895,-143219.14043537807
Bus18,885420.2901273994,25360.149915248803,56619.75074566361,730755.9673533703,72684.4221131166
Bus19,824635.6428887291,24714.722863537823,80511.12119771892,832005.3430197093,-112595.54419223696
Bus20,937573.1893637483,26215.917662694195,60133.00100011091,652853.6374364076,198370.63326453557
