hour,demand,wind_gen,nuclear_gen,gas_gen,storage_discharge,storage_charge,wind_curtail,load_shed
0,113235.03081712821,29781.813201718676,3600.0,10610.582415475463,750.0,0.0,0.0,68492.63519993407
1,101604.81038085517,25086.91995176181,3600.0,10610.582415475463,750.0,0.0,0.0,61557.30801361789
2,86308.16927158141,25454.911195890352,3600.0,10610.582415475463,187.5,0.0,0.0,46455.175660215595
3,80522.35697790461,26033.67409717208,3600.0,10610.582415475463,0.0,0.0,0.0,40278.10046525707
4,90165.30637495837,23222.22480402426,3600.0,10610.582415475463,0.0,0.0,0.0,52732.499155458645
5,109380.90701161747,26007.873975591898,3600.0,10610.582415475463,0.0,0.0,0.0,69162.45062055011
6,124989.68566055656,22757.17942148995,3600.0,10610.582415475463,0.0,0.0,0.0,88021.92382359113
7,126516.00307208969,25775.395469916457,3600.0,10610.582415475463,0.0,0.0,0.0,86530.02518669776
8,114156.67664708235,28183.915236092624,3600.0,10610.582415475463,0.0,0.0,0.0,71762.17899551426
9,98623.42379830468,28533.41082122249,3600.0,10610.582415475463,0.0,0.0,0.0,55879.43056160673
10,92979.1398988091,20091.09663790654,3600.0,10610.582415475463,0.0,0.0,0.0,58677.46084542709
11,102684.2598795031,22419.146125432027,3600.0,10610.582415475463,0.0,0.0,0.0,66054.5313385956
12,121432.36935956641,21729.84789655329,3600.0,10610.582415475463,0.0,0.0,0.0,85491.93904753766
13,135946.04648064196,23415.813609953475,3600.0,10610.582415475463,0.0,0.0,0.0,98319.65045521302
14,136081.209903101,22890.508911082627,3600.0,10610.582415475463,0.0,0.0,0.0,98980.11857654291
15,122546.12188226433,24762.147588583695,3600.0,10610.582415475463,0.0,0.0,0.0,83573.39187820516
16,106357.49615029007,19791.735864519233,3600.0,10610.582415475463,0.0,0.0,0.0,72355.17787029537
17,100447.87932489335,23404.053406780244,3600.0,10610.582415475463,0.0,0.0,0.0,62833.24350263765
18,109814.82762275719,19484.228749712744,3600.0,10610.582415475463,0.0,0.0,0.0,76120.01645756899
19,127712.73677207026,21389.950112731265,3600.0,10610.582415475463,0.0,0.0,0.0,92112.20424386353
20,140787.0447698484,22376.318623905805,3600.0,10610.582415475463,0.0,0.0,0.0,104200.14373046714
21,139241.418137539,19889.283199787562,3600.0,10610.582415475463,0.0,0.0,0.0,105141.55252227598
22,124296.19964579133,25192.965018790866,3600.0,10610.582415475463,0.0,0.0,0.0,84892.652211525
23,107258.94126429211,25246.12553092101,3600.0,10610.582415475463,0.0,0.0,0.0,67802.23331789563
24,100914.75972337114,22762.112962924082,3600.0,10610.582415475463,0.0,0.0,0.0,63942.0643449716
25,109792.26415792527,25508.177891195563,3600.0,10610.582415475463,0.0,0.0,0.0,70073.50385125424
26,126716.98915249383,28751.26454856719,3600.0,10610.582415475463,0.0,0.0,0.0,83755.14218845118
27,138276.68711117023,25627.02000972125,3600.0,10610.582415475463,0.0,0.0,0.0,98439.08468597352
28,135036.95912951572,23108.85026580051,3600.0,10610.582415475463,0.0,0.0,0.0,97717.52644823973
29,118728.58895188865,25706.304759183557,3600.0,10610.582415475463,0.0,0.0,0.0,78811.70177722962
30,100933.81604945927,26723.058972002535,3600.0,10610.582415475463,0.0,0.0,0.0,60000.17466198128
31,94271.85215084272,27330.025674836164,3600.0,10610.582415475463,0.0,0.0,0.0,52731.2440605311
32,102795.33945361416,29023.047038013105,3600.0,10610.582415475463,0.0,0.0,0.0,59561.71000012559
33,118910.26848501833,28128.314006225057,3600.0,10610.582415475463,0.0,0.0,0.0,76571.3720633178
34,129164.62931452514,26691.580971465013,3600.0,10610.582415475463,0.0,0.0,0.0,88262.46592758466
35,124498.03395960807,22786.426351080514,3600.0,10610.582415475463,0.0,0.0,0.0,87501.02519305209
36,107147.77093531284,21939.07063470335,3600.0,10610.582415475463,0.0,0.0,0.0,70998.11788513402
37,88952.68630676813,24839.501851293044,3600.0,10610.582415475463,0.0,0.0,0.0,49902.60203999962
38,82346.34665525361,26853.30999913052,3600.0,10610.582415475463,0.0,0.0,0.0,41282.454240647625
39,90897.631231448,27701.92498137146,3600.0,10610.582415475463,0.0,0.0,0.0,48985.12383460108
40,106601.50580198779,32051.20803173277,3600.0,10610.582415475463,0.0,0.0,0.0,60339.715354779546
41,115982.85213231116,25868.941997635793,3600.0,10610.582415475463,0.0,0.0,0.0,75903.32771919991
42,110365.58823440973,27895.789865669434,3600.0,10610.582415475463,0.0,0.0,0.0,68259.21595326484
43,92487.68307308482,28062.18683645988,3600.0,10610.582415475463,0.0,0.0,0.0,50214.91382114947
44,74425.06130097854,25561.71810046106,3600.0,10610.582415475463,0.0,0.0,0.0,34652.76078504202
45,68405.17651583963,21454.75238607814,3600.0,10610.582415475463,0.0,0.0,0.0,32739.84171428603
46,77505.14232967069,25089.962024895358,3600.0,10610.582415475463,0.0,0.0,0.0,38204.59788929987
47,93317.21351106753,26978.36616704303,3600.0,10610.582415475463,0.0,0.0,0.0,52128.26492854903
48,102359.1715221246,24687.21619043591,3600.0,10610.582415475463,0.0,0.0,0.0,63461.37291621322
49,96348.42516060165,26245.429092883332,3600.0,10610.582415475463,0.0,0.0,0.0,55892.413652242845
50,78516.64012689084,24182.52197338775,3600.0,10610.582415475463,0.0,0.0,0.0,40123.535738027625
51,61156.62351454551,21830.701017035455,3600.0,10610.582415475463,0.0,0.0,0.0,25115.34008203459
