snapshot,MW
2025-01-06 00:00:00,21437.576801326173
2025-01-06 01:00:00,16966.902766082207
2025-01-06 02:00:00,17616.389562012264
2025-01-06 03:00:00,18494.65477034876
2025-01-06 04:00:00,15301.224967250218
2025-01-06 05:00:00,17270.890317889785
2025-01-06 06:00:00,14533.540447836114
2025-01-06 07:00:00,17220.71223248049
2025-01-06 08:00:00,20112.799946054376
2025-01-06 09:00:00,20660.299689731713
2025-01-06 10:00:00,12408.521860640716
2025-01-06 11:00:00,14171.042863333803
2025-01-06 12:00:00,13661.695519309029
2025-01-06 13:00:00,14477.603536680233
2025-01-06 14:00:00,14069.017456093785
2025-01-06 15:00:00,16109.333488555476
2025-01-06 16:00:00,11583.802566025832
2025-01-06 17:00:00,15260.958637937394
2025-01-06 18:00:00,11175.650971006817
2025-01-06 19:00:00,12593.56354639087
2025-01-06 20:00:00,13255.922633997003
2025-01-06 21:00:00,11293.94240664148
2025-01-06 22:00:00,16548.429937136665
2025-01-06 23:00:00,16994.045213132904
2025-01-07 00:00:00,15202.13685541146
2025-01-07 01:00:00,17476.48331909611
2025-01-07 02:00:00,20055.1338005633
2025-01-07 03:00:00,17103.930180125742
2025-01-07 04:00:00,14284.511425094199
2025-01-07 05:00:00,17658.72915937388
2025-01-07 06:00:00,18626.235542002203
2025-01-07 07:00:00,19458.978357531138
2025-01-07 08:00:00,21172.012478856945
2025-01-07 09:00:00,19813.20756383533
2025-01-07 10:00:00,18369.83762302819
2025-01-07 11:00:00,14555.517148575818
2025-01-07 12:00:00,13612.027614765288
2025-01-07 13:00:00,17018.910078206405
2025-01-07 14:00:00,19510.293197614046
2025-01-07 15:00:00,20081.70446127372
2025-01-07 16:00:00,23835.379112691047
2025-01-07 17:00:00,18046.753276529114
2025-01-07 18:00:00,19630.350501738736
2025-01-07 19:00:00,20148.208436007488
2025-01-07 20:00:00,18327.22499179862
2025-01-07 21:00:00,13813.436556615252
2025-01-07 22:00:00,17308.761130408137
2025-01-07 23:00:00,19406.443134647732
2025-01-08 00:00:00,16654.71865579177
2025-01-08 01:00:00,18095.871688633386
2025-01-08 02:00:00,16568.08511741327
2025-01-08 03:00:00,14463.869275067449
2025-01-08 04:00:00,18013.64824574587
2025-01-08 05:00:00,15524.898390696126
2025-01-08 06:00:00,15839.398547110573
2025-01-08 07:00:00,18934.936357870138
2025-01-08 08:00:00,17599.257062778357
2025-01-08 09:00:00,15817.674027050387
2025-01-08 10:00:00,15559.993416511807
2025-01-08 11:00:00,11495.958511198953
2025-01-08 12:00:00,17831.45003270236
2025-01-08 13:00:00,16859.88583309689
2025-01-08 14:00:00,17496.294689511848
2025-01-08 15:00:00,10569.678768114409
2025-01-08 16:00:00,14019.222045940012
