scenario,hour,demand_MWh,load_shed_MWh,storage_charge_MWh,storage_discharge_MWh,wind_curtailment_MWh,gas_MWh,nuclear_MWh,onshore wind_MWh
baseline_2025,0,113235.03081712821,88468.88925756379,0.0,0.0,15463.028224131616,8047.356581977324,2400.0,14318.784977587062
baseline_2025,1,101604.81038085517,77291.36848182749,0.0,0.0,11220.834634711462,8047.356581977324,2400.0,13866.08531705035
baseline_2025,2,86308.16927158141,62576.73170657516,0.0,0.0,12170.830212861441,8047.356581977324,2400.0,13284.080983028913
baseline_2025,3,80522.3569779046,57204.08637313453,0.0,0.0,13162.760074379334,8047.356581977324,2400.0,12870.914022792746
baseline_2025,4,90165.30637495837,66275.6155682414,0.0,0.0,9779.890579284609,8047.356581977324,2400.0,13442.334224739654
baseline_2025,5,109380.90701161747,84297.73403608703,0.0,0.0,11372.057582038771,8047.356581977324,2400.0,14635.816393553121
baseline_2025,6,124989.68566055656,100113.21651699286,0.0,0.0,8328.066859903574,8047.356581977324,2400.0,14429.112561586373
baseline_2025,7,126516.00307208969,101278.50453380274,0.0,0.0,10985.25351360683,8047.356581977324,2400.0,14790.141956309628
baseline_2025,8,114156.67664708235,89645.55008790868,0.0,0.0,14120.145258896264,8047.356581977324,2400.0,14063.769977196358
baseline_2025,9,98623.42379830468,74615.45851446997,0.0,0.0,14972.802119365104,8047.356581977324,2400.0,13560.608701857389
baseline_2025,10,92979.1398988091,69272.59523908739,0.0,0.0,6831.90856016213,8047.356581977324,2400.0,13259.188077744408
baseline_2025,11,102684.2598795031,78221.52567636345,0.0,0.0,8403.768504269716,8047.356581977324,2400.0,14015.377621162314
baseline_2025,12,121432.3693595664,96781.27174871594,0.0,0.0,7526.106867680153,8047.356581977324,2400.0,14203.741028873132
baseline_2025,13,135946.04648064196,110139.7640399015,0.0,0.0,8056.88775119036,8047.356581977324,2400.0,15358.925858763118
baseline_2025,14,136081.209903101,110388.99073982905,0.0,0.0,7645.646329787996,8047.356581977324,2400.0,15244.862581294627
baseline_2025,15,122546.12188226433,97288.48242397382,0.0,0.0,9951.864712270517,8047.356581977324,2400.0,14810.282876313182
baseline_2025,16,106357.49615029007,81862.76967914801,0.0,0.0,5744.3659753545035,8047.356581977324,2400.0,14047.369889164731
baseline_2025,17,100447.87932489335,76134.0882273364,0.0,0.0,9537.61889120063,8047.356581977324,2400.0,13866.434515579618
baseline_2025,18,109814.82762275719,85151.53597802295,0.0,0.0,5268.293686955829,8047.356581977324,2400.0,14215.93506275692
baseline_2025,19,127712.73677207028,102210.02458099448,0.0,0.0,6334.59450363279,8047.356581977324,2400.0,15055.355609098475
baseline_2025,20,140787.0447698484,114703.47301753584,0.0,0.0,6740.103453570562,8047.356581977324,2400.0,15636.215170335243
baseline_2025,21,139241.418137539,113713.26605048415,0.0,0.0,4808.487694710046,8047.356581977324,2400.0,15080.79550507752
baseline_2025,22,124296.19964579133,99012.4582111355,0.0,0.0,10356.580166112355,8047.356581977324,2400.0,14836.38485267851
baseline_2025,23,107258.94126429211,82702.35851523369,0.0,0.0,11136.899363839915,8047.356581977324,2400.0,14109.22616708109
baseline_2025,24,100914.75972337114,77174.91523041729,0.0,0.0,9469.625051947554,8047.356581977324,2400.0,13292.487910976533
baseline_2025,25,109792.26415792525,85406.29898830924,0.0,0.0,11569.569303556877,8047.356581977324,2400.0,13938.608587638688
baseline_2025,26,126716.98915249384,101334.09464973761,0.0,0.0,13815.726627788292,8047.356581977324,2400.0,14935.5379207789
baseline_2025,27,138276.68711117023,112839.73852396675,0.0,0.0,10637.428004495112,8047.356581977324,2400.0,14989.59200522614
baseline_2025,28,135036.95912951572,109362.4073148435,0.0,0.0,7881.65503310561,8047.356581977324,2400.0,15227.195232694898
baseline_2025,29,118728.58895188865,94151.18499242551,0.0,0.0,11576.25738169773,8047.356581977324,2400.0,14130.047377485827
baseline_2025,30,100933.81604945929,76656.74986468362,0.0,0.0,12893.34936920418,8047.356581977324,2400.0,13829.70960279835
baseline_2025,31,94271.8521508427,70351.43908921612,0.0,0.0,13856.96919518691,8047.356581977324,2400.0,13473.05647964925
baseline_2025,32,102795.33945361416,78727.49174966954,0.0,0.0,15402.555916045825,8047.356581977324,2400.0,13620.491121967283
baseline_2025,33,118910.26848501831,94061.76451410561,0.0,0.0,13727.16661728968,8047.356581977324,2400.0,14401.147388935377
baseline_2025,34,129164.62931452517,104108.03731745962,0.0,0.0,12082.345556376798,8047.356581977324,2400.0,14609.23541508822
baseline_2025,35,124498.03395960806,99623.95328630744,0.0,0.0,8359.702259757216,8047.356581977324,2400.0,14426.724091323296
baseline_2025,36,107147.77093531283,82518.40947076806,0.0,0.0,7757.065752135901,8047.356581977324,2400.0,14182.004882567451
baseline_2025,37,88952.68630676813,65187.22598183568,0.0,0.0,11521.398108337955,8047.356581977324,2400.0,13318.103742955092
baseline_2025,38,82346.34665525363,59188.24555121943,0.0,0.0,14142.565477073655,8047.356581977324,2400.0,12710.74452205687
baseline_2025,39,90897.63123144799,67294.33291953964,0.0,0.0,14545.983251440422,8047.356581977324,2400.0,13155.941729931037
baseline_2025,40,106601.50580198776,82094.09004070955,0.0,0.0,17991.148852431885,8047.356581977324,2400.0,14060.059179300892
baseline_2025,41,115982.85213231115,91684.77617640665,0.0,0.0,12018.222623708627,8047.356581977324,2400.0,13850.719373927168
baseline_2025,42,110365.58823440972,85734.61508656677,0.0,0.0,13712.17329980381,8047.356581977324,2400.0,14183.616565865628
